
Lenoir, NC
Number of Stations = 51


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	5     	320   	1994-12-06	1998-12-14	  1.00E+01  	  9.50E+00  	  1.83E+01
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	2     	1984-10-23	1984-10-23	  1.50E+03  	  1.50E+03  	  1.50E+03
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	6     	321   	1980-06-10	1998-12-14	  1.00E+02  	  9.98E+01  	  1.13E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	5     	320   	1994-12-06	1998-12-14	  1.00E+01  	  9.80E+00  	  8.02E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	5     	320   	1994-12-06	1998-12-14	  1.00E+02  	  9.80E+01  	  8.25E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	6     	321   	1980-06-10	1998-12-14	  5.30E+00  	  8.20E+00  	  6.63E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	5     	170   	1994-12-06	1997-11-07	  5.70E+00  	  8.50E+00  	  6.84E+00
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	1     	1     	1980-06-10	1980-06-10	  1.44E+02  	  1.44E+02  	  1.44E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	1     	1     	1980-06-10	1980-06-10	  1.00E+00  	  1.00E+00  	  1.00E+00
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	5     	230   	1994-12-06	1998-12-14	  1.00E+01  	  9.80E+01  	  1.79E+01
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	5     	230   	1994-12-06	1998-12-14	  1.01E+00  	  9.90E-01  	  1.83E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	5     	230   	1994-12-06	1998-12-14	  1.00E-01  	  9.00E-02  	  1.87E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	5     	230   	1994-12-06	1998-12-14	  1.00E-04  	  9.95E-05  	  4.25E-04
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	5     	230   	1994-12-06	1998-12-14	  1.01E-04  	  9.99E-05  	  5.16E-04
00623	KJELDL N DISS     MG/L    	NITROGEN, KJELDAHL, DISSOLVED (MG/L AS N)         	1     	1     	1980-06-10	1980-06-10	  2.00E-01  	  2.00E-01  	  2.00E-01
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	5     	230   	1994-12-06	1998-12-14	  1.00E+00  	  9.90E-01  	  7.17E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	5     	230   	1994-12-06	1998-12-14	  1.00E+00  	  9.90E-01  	  1.19E+00
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	1     	1     	1980-06-10	1980-06-10	  5.00E-02  	  5.00E-02  	  5.00E-02
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	5     	230   	1994-12-06	1998-12-14	  1.00E+00  	  9.00E-02  	  1.64E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	1     	1     	1980-06-10	1980-06-10	  4.00E-01  	  4.00E-01  	  4.00E-01
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	1     	1     	1980-06-10	1980-06-10	  7.20E+01  	  7.20E+01  	  7.20E+01
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	1     	1     	1980-06-10	1980-06-10	  1.00E+00  	  1.00E+00  	  1.00E+00
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	1     	1     	1980-06-10	1980-06-10	  1.40E+01  	  1.40E+01  	  1.40E+01
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	1     	1     	1980-06-10	1980-06-10	  7.40E+00  	  7.40E+00  	  7.40E+00
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	1     	1     	1980-06-10	1980-06-10	  1.50E+01  	  1.50E+01  	  1.50E+01
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	1     	1     	1980-06-10	1980-06-10	  4.00E+00  	  4.00E+00  	  4.00E+00
00946	SULFATE  S04-DISS MG/L    	SULFATE, DISSOLVED (MG/L AS SO4)                  	1     	1     	1980-06-10	1980-06-10	  5.00E+00  	  5.00E+00  	  5.00E+00
00951	FLUORIDE F,TOTAL  MG/L    	FLUORIDE, TOTAL (MG/L AS F)                       	1     	1     	1980-06-10	1980-06-10	  1.00E-01  	  1.00E-01  	  1.00E-01
00955	SILICA   DISOLVED MG/L    	SILICA, DISSOLVED (MG/L AS SI02)                  	1     	1     	1980-06-10	1980-06-10	  6.30E+00  	  6.30E+00  	  6.30E+00
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	1     	46    	1994-12-06	1998-12-14	  3.00E+00  	  5.00E+00  	  3.53E+00
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	1     	46    	1994-12-06	1998-12-14	  1.10E+00  	  5.00E-01  	  4.09E-01
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	1     	46    	1994-12-06	1998-12-14	  1.00E+01  	  8.80E+00  	  5.55E+00
01042	COPPER   CU,TOT   UG/L    	COPPER, TOTAL (UG/L AS CU)                        	1     	46    	1994-12-06	1998-12-14	  2.00E+00  	  8.10E+00  	  3.54E+00
01045	IRON     FE,TOT   UG/L    	IRON, TOTAL (UG/L AS FE)                          	1     	46    	1994-12-06	1998-12-14	  1.03E+03  	  9.60E+02  	  9.74E+02
01046	IRON     FE,DISS  UG/L    	IRON, DISSOLVED (UG/L AS FE)                      	1     	1     	1980-06-10	1980-06-10	  1.00E+02  	  1.00E+02  	  1.00E+02
01051	LEAD     PB,TOT   UG/L    	LEAD, TOTAL (UG/L AS PB)                          	1     	46    	1994-12-06	1998-12-14	  1.20E+01  	  9.00E-01  	  2.22E+00
01056	MANGNESE MN,DISS  UG/L    	MANGANESE, DISSOLVED (UG/L AS MN)                 	1     	1     	1980-06-10	1980-06-10	  5.00E+01  	  5.00E+01  	  5.00E+01
01067	NICKEL   NI,TOTAL UG/L    	NICKEL, TOTAL (UG/L AS NI)                        	1     	46    	1994-12-06	1998-12-14	  1.00E+01  	  8.00E+00  	  8.67E+00
01092	ZINC     ZN,TOT   UG/L    	ZINC, TOTAL (UG/L AS ZN)                          	1     	45    	1994-12-06	1998-12-14	  1.00E+01  	  9.00E+00  	  1.05E+01
01105	ALUMINUM AL,TOT   UG/L    	ALUMINUM, TOTAL (UG/L AS AL)                      	1     	46    	1994-12-06	1998-12-14	  1.18E+03  	  7.30E+02  	  3.96E+02
01106	ALUMINUM AL,DISS  UG/L    	ALUMINUM, DISSOLVED (UG/L AS AL)                  	1     	1     	1980-06-10	1980-06-10	  1.00E+02  	  1.00E+02  	  1.00E+02
