Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 667500E-2  	 	03050101	00008	1973-03-29	      1410	          	        	          71	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 667600E-2  	 	03050101	00008	1973-03-29	      1410	          	        	          55	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 667700E-2  	 	03050101	00008	1973-03-29	      1410	          	        	          40	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 668000E-2  	 	03050101	00008	1973-03-29	      1410	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 668100E-2  	 	03050101	00008	1973-03-29	      1410	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 667900E-2  	 	03050101	00008	1973-03-29	      1410	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 667800E-2  	 	03050101	00008	1973-03-29	      1410	          	        	          25	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 109010E-1  	 	03050101	00008	1973-07-11	      1520	          	        	          65	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 109000E-1  	 	03050101	00008	1973-07-11	      1520	          	        	          50	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 108990E-1  	 	03050101	00008	1973-07-11	      1520	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 108970E-1  	 	03050101	00008	1973-07-11	      1520	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 108980E-1  	 	03050101	00008	1973-07-11	      1520	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 142140E-1  	 	03050101	00008	1973-09-19	      1050	          	        	          57	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 142130E-1  	 	03050101	00008	1973-09-19	      1050	          	        	          40	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 142110E-1  	 	03050101	00008	1973-09-19	      1050	          	        	          10	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 142100E-1  	 	03050101	00008	1973-09-19	      1050	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 142120E-1  	 	03050101	00008	1973-09-19	      1050	          	        	          25	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 101000E-4  	 	03050101	00010	1973-03-29	      1410	          	        	          71	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 121000E-4  	 	03050101	00010	1973-03-29	      1410	          	        	          25	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 132000E-4  	 	03050101	00010	1973-03-29	      1410	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 133000E-4  	 	03050101	00010	1973-03-29	      1410	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333                               	 132000E-4  	 	03050101	00010	1973-03-29	      1410	          	        	          15	        	                	  	                     	B 	                                                            	
