Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11EPALES	371303         	LAKE NORMAN /  /                                                                                                                                                              	USEPA                    	North Carolina                	Lincoln                       	    35.525	-80.958333 	03050101	            015	         63.47	OFF     	L NORMAN                                                    	none                                    	/TYPA/AMBNT/LAKE                                                 	           75	FEET                	S	 	200 YDS 310 DEGREES FM TRIANGULAR CHANNEL MARKER ABOUT HALFWAY UP THE LAKE; 120 DEGREES FM LIGHT GRAY BOATHOUSE AND DARK RED BOATHOUSE ON W SHORE, 250 DEGREES FM CENTER OF LARGER ISLAND. COMMENTS: 3-29 ULE APPR 18-20; NO VISIBLE AQUATIC VEGETATION; VERY TURBID WATER FM RECENT STORM. 7-11 ULE 15; 1% LIGHT AT 15 FT, 2.4% LIGHT AT SURF; VERY CLEAR; DEPTH 68 FT. MAP: USGS CHARLOTTE QUAD
21NC37GW	LI1106         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.483333	-81.244444 	03050102	               	              	        	                                                            	O70E2,100LI1106                         	/TYPA/AMBNT/WELL                                                 	          398	FEET                	 	G	LINCOLNTON EDMOS CORP. LINCOLNTON , NORTH CAROLINA C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1975 MEASURED MONTHLY AQUIFER MGN OFF HIGHWAY 321
21NC37GW	LI2044         	FLAY / SOUTHEAST / CATAWBA                                                                                                                                                    	NC DE&NR                 	North Carolina                	Lincoln                       	 35.463333	-81.435556 	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          305	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2047         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	   35.4625	-81.295833 	03050102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          180	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2048         	TRIANGLE / SOUTHEAST / CATAWBA                                                                                                                                                	NC DE&NR                 	North Carolina                	Lincoln                       	 35.485833	-80.996944 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          290	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2049         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.456667	-81.305833 	03050102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           33	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2050         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	      35.5	-81.083333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           65	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2051         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	      35.5	-81.083333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           71	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2052         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.505556	-81.455556 	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           43	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2053         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.416667	-81.25     	03050102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           35	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2054         	HIGH SHOALS / SOUTHEAST / CATAWBA                                                                                                                                             	NC DE&NR                 	North Carolina                	Lincoln                       	 35.416667	-81.25     	03050102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           52	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2055         	DENVER / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Lincoln                       	 35.466667	-80.983333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2056         	DENVER / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Lincoln                       	 35.433333	-81.05     	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2057         	DENVER / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Lincoln                       	 35.408333	-81.041667 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2058         	MOUNT HOLLY / SOUTHEAST / CATAWBA                                                                                                                                             	NC DE&NR                 	North Carolina                	Lincoln                       	 35.416667	-81        	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          450	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2059         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.519444	-81.301389 	03050102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          170	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2060         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.416667	-81        	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          275	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2062         	LOWESVILLE / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.433333	-81.033333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2063         	LOWESVILLE / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.433333	-81.033333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2064         	LOWESVILLE / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.416667	-81.05     	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2065         	DENVER / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Lincoln                       	 35.433333	-81        	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          450	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2066         	DENVER / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Lincoln                       	 35.530556	-80.986111 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	LI2067         	LINCOLNTON / SOUTHEAST / CATAWBA                                                                                                                                              	NC DE&NR                 	North Carolina                	Lincoln                       	 35.458333	-80.9625   	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
