
Lincoln, NC
Number of Stations = 36


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	17    	1973-03-29	1973-09-19	  1.09E+04  	  6.68E+03  	  1.01E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	1     	27    	1973-03-29	1973-09-19	  1.01E+01  	  3.02E+01  	  2.02E+01
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	1     	20    	1973-07-11	1973-09-19	  7.00E+01  	  9.60E+01  	  8.69E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	1     	3     	1973-03-29	1973-09-19	  2.00E+01  	  7.20E+01  	  5.23E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	1     	20    	1973-07-11	1973-09-19	  4.20E+01  	  6.10E+01  	  5.02E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	1     	7     	1973-03-29	1973-03-29	  5.00E+01  	  5.20E+01  	  5.09E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	26    	1973-03-29	1973-09-19	  1.40E+00  	  9.90E+00  	  4.70E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	1     	26    	1973-03-29	1973-09-19	  1.21E+02  	  9.87E+01  	  5.09E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	1     	17    	1973-03-29	1973-09-19	  6.20E+00  	  8.10E+00  	  6.77E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	1     	17    	1973-03-29	1973-09-19	  1.00E+01  	  2.50E+01  	  1.51E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	1     	17    	1973-03-29	1973-09-19	  1.00E-01  	  9.00E-02  	  8.12E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	1     	17    	1973-03-29	1973-09-19	  1.21E-04  	  8.37E-03  	  6.38E-04
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	1     	17    	1973-03-29	1973-09-19	  1.02E-02  	  8.29E-05  	  7.76E-04
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	1     	17    	1973-03-29	1973-09-19	  1.80E+00  	  8.00E-01  	  4.53E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	1     	17    	1973-03-29	1973-09-19	  1.10E-01  	  4.10E-01  	  2.39E-01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	1     	17    	1973-03-29	1973-09-19	  1.00E-02  	  9.00E-03  	  2.48E-02
00671	PHOS-DIS ORTHO    MG/L P  	PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)  	1     	17    	1973-03-29	1973-09-19	  1.10E-02  	  8.00E-03  	  5.59E-03
32217	CHLRPHYL A        UG/L    	CHLOROPHYLL A  UG/L FLUOROMETRIC UNCORRECTED      	1     	3     	1973-03-29	1973-09-19	  4.20E+00  	  7.80E+00  	  5.73E+00
50042	DISCHARG RATE IN  GPM     	DISCHARGE RATE                      GALLONS/MINUTE	1     	1     	1982-05-18	1982-05-18	  3.00E+01  	  3.00E+01  	  3.00E+01
72001	TOT DPTH OF HOLE  FT      	DEPTH, TOTAL OF HOLE (FT BELOW LAND SURFACE DATUM)	35    	35    	1970-05-12	1982-12-03	   .00E+00  	  7.10E+01  	  1.96E+02
