Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1118ATL8	110608         	CLIFFSIDE LAKE SWIMMING BEACH / TENNESSEE R / LITTLE TENNESSEE R                                                                                                              	US FOREST SERVICE        	North Carolina                	Macon                         	 35.078333	-83.237778 	06010202	            040	          5.15	OFF     	GULLASAJA R                                                 	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA.FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M. F. METHOD.PH BY HACH COLOR/METER.ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 ESTABLISHED SWIMMING AREA CLIFFSIDE LAKE SWIMMING BEACH IS LOCATED IN CLIFFSIDE LAKE RECREATION AREA ON CLIFFSIDE LAKE WHICH IS OFF OF US64 21/2 MILES NW OF HIGHLANDS NC
1118ATL8	111104         	PARK CREEK / TENNESSEE RIVER / LITTLE TENNESSEE RIVER                                                                                                                         	US FOREST SERVICE        	North Carolina                	Macon                         	 35.087222	-83.543056 	06010202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION 3480 FT
1118ATL8	111105         	STANDING INDIAN / TENNESSEE R / LITTLE TENNESSEE R                                                                                                                            	US FOREST SERVICE        	North Carolina                	Macon                         	 35.071389	-83.533611 	06010202	               	              	        	                                                            	080300003501                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA,FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M, F. METHOD.PH BY HACH COLOR/METER,ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 NOT AN ESTABLISHED SWIMMING AREA,IS IN THE NANTAHALA RIVER.STANDING INDIAN RECREATION AREA IS LOCATED OFF OF US64,14 MILES SW OF FRANKLIN NC
1118ATL8	111106         	STANDING INDIAN WELL / TENNESSEE RIVER / LITTLE TENNESSEE RIVER                                                                                                               	US FOREST SERVICE        	North Carolina                	Macon                         	   35.0675	-83.532222 	06010202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL/SUPPLY                                          	            0	FEET                	 	G	none
1118ATL8	111111         	LBJ SWIMMING BEACH PT 2 / TENNESSEE R / LITTLE TENNESSEE R                                                                                                                    	US FOREST SERVICE        	North Carolina                	Macon                         	 35.166667	-83.516111 	06010202	            034	          2.38	OFF     	CARTOOGECHAUE CR                                            	080300004901,1105                       	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA.FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M. F. METHOD.PH BY HACH COLOR/METER.ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 ESTABLISHED SWIMMING AREA TWO STATIONS WERE SET UP IN THIS SWIMMING AREA ARROWOOD SWIMMING BEACH IS LOCATED ON WAYAH RIVER OFF OF US64 6 MILES WEST OF FRANKLIN NC
1118ATL8	111112         	LBJ SWIMMING BEACH PT 1 / TENNESSEE R / LITTLE TENNESSEE R                                                                                                                    	US FOREST SERVICE        	North Carolina                	Macon                         	 35.166667	-83.516111 	06010202	            034	          2.38	OFF     	CARTOOGECHAUE CR                                            	080300004902                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SWIMMING AREA.FECAL COLIFORM MONITORED WEEKLY DURING PERIOD OF USE BY M. F. METHOD.PH BY HACH COLOR/METER.ORIGINAL DATA AND MORE INFORMATION AVAILABLE AT NATIONAL FORESTS IN NORTH CAROLINA SUPERVISORS OFFICE ASHEVILLE,NC FTS 6720601 OR COMMERCIAL 7042582850 ESTABLISHED SWIMMING AREA TWO STATIONS WERE SET UP IN THIS SWIMMING AREA ARROWOOD SWIMMING BEACH IS LOCATED ON THE WAYAH RIVER OFF OF US64 6 MILES WEST OF FRANKLIN NC
1118ATL8	111115         	TROUGH BRANCH / TENNESSEE RIVER / LITTLE TENNESSEE RIVER                                                                                                                      	US FOREST SERVICE        	North Carolina                	Macon                         	 35.105278	-83.539722 	06010202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SAMPLING SITE IS A SMALL STREAM (<.01CFS) FLOWING FROM A CLEARCUT ON THE MOORE CREEK SALE TREATED WITH TORDON OCT 82. PART OF A STUDY TO MONITOR POSSIBLE CONTAMINATION OF GROUND WATER BY SITE PREPARATION CHEMICALS.  STATIONS 110911-110914, 111115, 111116.  ELEV 3760
1118ATL8	111116         	LEE CREEK / TENNESSEE RIVER / LITTLE TENNESSEE RIVER                                                                                                                          	US FOREST SERVICE        	North Carolina                	Macon                         	   35.0875	-83.470556 	06010202	            035	          5.02	OFF     	JONES CR                                                    	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SAMPLING SITE IS A SMALL STREAM (<.01CFS) FLOWING FROM A CLEARCUT TREATED WITH TORDON AND BANVEL AUG. 1982.  STATIONS 110911-110914, 111115 AND 111116 ARE MONITORED FOR POSSIBLE CONTAMINATION OF GROUND WATER WITH SITE PREPARATION CHEMICALS.  ELEVATION 2900
11BIOACC	3166           	NANTHALIA RIVER @ MACON COUNTY /  /                                                                                                                                           	U.S. EPA MDSD            	North Carolina                	Macon                         	 35.133333	-83.6375   	06010202	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
