
Macon, NC
Number of Stations = 270


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	32    	1046  	1966-05-01	1985-05-09	  1.00E+01  	  9.90E+01  	  4.69E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	48    	1984-08-29	1986-12-03	  1.22E+04  	  9.71E+03  	  1.13E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	53    	1440  	1966-05-01	1986-12-03	  1.00E+01  	  9.90E+00  	  1.56E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	4     	245   	1974-06-15	1978-08-20	  5.00E+01  	  9.50E+01  	  6.94E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	4     	32    	1980-07-07	1980-08-25	  1.80E+01  	  3.80E+01  	  2.69E+01
00029	FIELD    IDENT    NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	2     	1987-05-27	1987-05-27	  1.57E+04  	  1.57E+04  	  1.57E+04
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	3     	35    	1966-05-01	1975-09-17	  1.13E+03  	  9.70E+01  	  8.37E+02
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	9     	32    	1985-03-17	1985-07-14	  1.70E-01  	  9.00E-01  	  5.23E-01
00065	STREAM   STAGE    FEET    	STAGE, STREAM (FEET)                              	2     	12    	1983-04-22	1985-05-09	  1.02E+01  	  8.50E-01  	  2.33E+00
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	9     	87    	1966-05-01	1975-09-17	  1.00E+01  	  9.00E+00  	  2.17E+01
00075	TURB     HLGE     PPM SIO2	TURBIDITY, HELLIGE (PPM AS SILICON DIOXIDE)       	1     	1     	1983-04-22	1983-04-22	  2.20E+01  	  2.20E+01  	  2.20E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	3     	3     	1984-11-25	1984-11-29	  1.85E+00  	  4.40E+00  	  3.18E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	35    	181   	1966-05-01	1986-12-03	  1.00E+02  	  9.40E+01  	  2.04E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	16    	73    	1971-09-13	1986-12-03	  1.00E+02  	  9.40E+01  	  5.32E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	4     	24    	1966-05-01	1971-11-08	  1.00E+00  	  1.00E+00  	  1.00E+00
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	24    	974   	1982-10-19	1986-12-03	   .00E+00  	  9.00E+00  	  1.64E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	35    	186   	1966-05-01	1986-12-03	  1.00E+01  	  9.91E+00  	  2.39E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	23    	975   	1982-10-19	1986-12-03	  1.00E+01  	  9.00E+00  	  1.52E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	3     	3     	1984-11-25	1984-11-29	  1.10E+00  	  8.80E-01  	  1.29E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	9     	32    	1985-03-17	1985-07-14	  1.00E+01  	  9.90E+00  	  9.68E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	33    	1082  	1966-05-01	1986-12-03	  1.00E+01  	  9.90E+00  	  8.04E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	42    	1114  	1966-05-01	1986-12-03	  1.00E+02  	  9.92E+01  	  7.74E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	9     	74    	1966-05-01	1971-11-08	  1.00E+00  	  4.80E+00  	  1.47E+00
00335	COD      LOWLEVEL MG/L    	COD, .025N K2CR2O7                            MG/L	1     	14    	1967-01-30	1975-09-17	  1.00E+01  	  8.00E+00  	  1.64E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	36    	1116  	1966-05-01	1986-12-03	  4.10E+00  	  8.70E+00  	  6.30E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	26    	103   	1982-10-19	1986-12-03	  5.70E+00  	  7.62E+00  	  6.60E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	12    	35    	1984-11-25	1985-07-14	  1.11E+02  	  9.37E+01  	  1.01E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	23    	145   	1966-05-01	1986-12-03	  1.00E+01  	  9.00E+00  	  5.93E+00
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	12    	81    	1966-05-01	1983-04-26	   .00E+00  	   .00E+00  	   .00E+00
00431	T ALK    FIELD    MG/L    	ALKALINITY TOATL FIELD, (MG/L AS CACO3)           	14    	25    	1982-10-19	1986-12-03	  1.00E+00  	  8.00E+00  	  5.26E+00
00435	T ACDITY CACO3    MG/L    	ACIDITY, TOTAL (MG/L AS CACO3)                    	8     	8     	1982-10-19	1982-10-20	  1.00E+01  	  9.00E+00  	  9.00E+00
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	9     	32    	1985-03-17	1985-07-14	  1.10E+01  	  5.99E+00  	  4.68E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	8     	61    	1966-05-01	1969-03-23	  1.00E+02  	  8.00E+01  	  3.54E+01
00515	RESIDUE  DISS-105 C MG/L  	RESIDUE, TOTAL FILTRABLE  (DRIED AT 105C),MG/L    	8     	61    	1966-05-01	1969-03-23	  1.00E+02  	  6.00E+01  	  2.48E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	1     	13    	1974-10-23	1975-09-17	  1.00E+01  	  9.00E+00  	  6.72E+01
00605	ORG N    N        MG/L    	NITROGEN, ORGANIC, TOTAL (MG/L AS N)              	9     	87    	1966-05-01	1975-09-17	  1.00E-01  	  9.00E-02  	  2.37E-01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	9     	87    	1966-05-01	1975-09-17	  1.00E-01  	  9.00E-02  	  8.15E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	8     	77    	1966-05-01	1975-09-17	  1.07E-03  	  9.94E-05  	  3.54E-04
00615	NO2-N    TOTAL    MG/L    	NITRITE NITROGEN, TOTAL (MG/L AS N)               	8     	68    	1966-05-01	1969-03-23	  1.00E-02  	  7.00E-02  	  1.38E-02
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	8     	77    	1966-05-01	1975-09-17	  1.01E-04  	  9.40E-05  	  4.30E-04
