Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1965-01-07	      0932	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1965-02-25	      1010	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1965-04-14	      0950	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1965-06-14	      0900	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1965-07-15	      0900	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1965-08-23	      1035	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1965-09-23	      1105	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1965-10-26	      1350	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333                               	 500000E-4  	 	06010105	00002	1967-02-10	      0830	          	        	           1	        	                	  	                     	B 	                                                            	
