Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12NSS   	2A07802L       	PUNCHEON FORK /  /                                                                                                                                                            	EPA ENVIRONMENTAL RES LAB	North Carolina                	Madison                       	 35.909722	-82.548611 	06010105	               	              	        	                                                            	2AS2A07802L                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07802U       	PUNCHEON FORK /  /                                                                                                                                                            	EPA ENVIRONMENTAL RES LAB	North Carolina                	Madison                       	 35.964167	-82.529444 	06010108	               	              	        	                                                            	2AS2A07802U                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07806L       	ROARING FORK /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Madison                       	 35.821111	-82.892222 	06010105	               	              	        	                                                            	2AS2A07806L                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07806U       	ROARING FORK /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Madison                       	 35.820278	-82.934444 	06010105	               	              	        	                                                            	2AS2A07806U                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07813L       	LITTLE SANDYMUSH CREEK /  /                                                                                                                                                   	EPA ENVIRONMENTAL RES LAB	North Carolina                	Madison                       	 35.703333	-82.760556 	06010105	               	              	        	                                                            	2AS2A07813L                             	/TYPA/AMBNT/STREAM                                               	            3	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07813U       	LITTLE SANDYMUSH CREEK /  /                                                                                                                                                   	EPA ENVIRONMENTAL RES LAB	North Carolina                	Madison                       	 35.695278	-82.828333 	06010105	               	              	        	                                                            	2AS2A07813U                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07881L       	WALNUT CREEK /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Madison                       	 35.815556	-82.727778 	06010105	               	              	        	                                                            	2AS2A07881L                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07881U       	WALNUT CREEK /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Madison                       	 35.831667	-82.666944 	06010105	               	              	        	                                                            	2AS2A07881U                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
131TVAC 	360065         	US HWY 25-70 BR. AT HOT SPRINGS / TENNESSEE RIVER BASIN / FRENCH BROAD RIVER 108.9                                                                                            	TENN VALLEY AUTHORITY    	North Carolina                	Madison                       	 35.894444	-82.823333 	06010105	               	              	        	                                                            	5191                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
