Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
12FSHPCB	025ERL         	ROANOKE R. AT RALEIGH / SOUTHEAST / ROANOKE RIVER                                                                                                                             	USEPA - ERL              	North Carolina                	Martin                        	     36.06	-77.316667                               	 270000E-5  	 	03010107	34690	1976-05-11	      0059	          	        	         641	        	                	  	                     	B 	                                                            	
12FSHPCB	025ERL         	ROANOKE R. AT RALEIGH / SOUTHEAST / ROANOKE RIVER                                                                                                                             	USEPA - ERL              	North Carolina                	Martin                        	     36.06	-77.316667                               	 116000E-5  	 	03010107	39376	1976-05-11	      0059	          	        	         641	        	                	  	                     	B 	                                                            	
12FSHPCB	025ERL         	ROANOKE R. AT RALEIGH / SOUTHEAST / ROANOKE RIVER                                                                                                                             	USEPA - ERL              	North Carolina                	Martin                        	     36.06	-77.316667                               	 292000E-5  	 	03010107	39515	1976-05-11	      0059	          	        	         641	        	                	  	                     	B 	                                                            	
12FSHPCB	025ERL         	ROANOKE R. AT RALEIGH / SOUTHEAST / ROANOKE RIVER                                                                                                                             	USEPA - ERL              	North Carolina                	Martin                        	     36.06	-77.316667                               	 500000E-5  	K	03010107	39703	1976-05-11	      0059	          	        	         641	        	                	  	                     	B 	                                                            	
21NC37GW	MR1041         	OAK CITY / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.959444	-77.3                                    	 880000E-4  	 	03010107	72001	1980-09-28	      2500	          	        	          88	        	                	  	                     	B 	                                                            	
21NC37GW	MR1550         	ROBERSONVILLE / SOUTHEAST / TAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Martin                        	 35.833333	-77.3                                    	 300000E-3  	 	03020103	72001	1981-10-22	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1628         	HAMILTON / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.916667	-77.166667                               	 302000E-3  	 	03010107	72001	1982-06-29	      2500	          	        	         302	        	                	  	                     	B 	                                                            	
21NC37GW	MR1628         	HAMILTON / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.916667	-77.166667                               	 275000E-3  	 	03010107	72002	1982-06-29	      2500	          	        	         302	        	                	  	                     	B 	                                                            	
21NC37GW	MR1628         	HAMILTON / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.916667	-77.166667                               	 295000E-3  	 	03010107	72003	1982-06-29	      2500	          	        	         302	        	                	  	                     	B 	                                                            	
21NC37GW	MR1041         	OAK CITY / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.959444	-77.3                                    	 880000E-4  	 	03010107	72008	1980-09-28	      2500	          	        	          88	        	                	  	                     	B 	                                                            	
21NC37GW	MR1550         	ROBERSONVILLE / SOUTHEAST / TAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Martin                        	 35.833333	-77.3                                    	 300000E-3  	 	03020103	72008	1981-10-22	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1628         	HAMILTON / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.916667	-77.166667                               	 302000E-3  	 	03010107	72008	1982-06-29	      2500	          	        	         302	        	                	  	                     	B 	                                                            	
21NC37GW	MR1041         	OAK CITY / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.959444	-77.3                                    	 129200E-4  	 	03010107	72019	1980-09-28	      2500	          	        	          88	        	                	  	                     	B 	                                                            	
21NC37GW	MR1529         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.830556	-77.2375                                 	 550000E-4  	 	03020103	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1529         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.830556	-77.2375                                 	 530000E-4  	 	03020103	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1529         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.830556	-77.2375                                 	 500000E-4  	 	03020103	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1529         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.830556	-77.2375                                 	 510000E-4  	 	03020103	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1529         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.830556	-77.2375                                 	 500000E-4  	 	03020103	72019	1979-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1530         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.855556	-77.063889                               	 350000E-4  	 	03010107	72019	1975-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1530         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.855556	-77.063889                               	 340000E-4  	 	03010107	72019	1976-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1530         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.855556	-77.063889                               	 310000E-4  	 	03010107	72019	1977-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1530         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.855556	-77.063889                               	 270000E-4  	 	03010107	72019	1978-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1530         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.855556	-77.063889                               	 280000E-4  	 	03010107	72019	1979-11-11	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
21NC37GW	MR1550         	ROBERSONVILLE / SOUTHEAST / TAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Martin                        	 35.833333	-77.3                                    	 510000E-4  	 	03020103	72019	1981-10-22	      2500	          	        	         300	        	                	  	                     	B 	                                                            	
