Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12FSHPCB	025ERL         	ROANOKE R. AT RALEIGH / SOUTHEAST / ROANOKE RIVER                                                                                                                             	USEPA - ERL              	North Carolina                	Martin                        	     36.06	-77.316667 	03010107	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	          276	FEET                	S	 	DATA FROM ENVIRONMENTAL RESEARCH LAB-DULUTH "SUMMARY OF PCB AND RELATED CHEMICALS IN FISH FROM MAJOR US WATERSHEDS FISH SAMPLES ANALIZED FOR PCB, DDT, HCB + CHLORINATED ORGANICS ROANOKE R., RALEIGH, N.C.
21NC37GW	MR1041         	OAK CITY / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.959444	-77.3      	03010107	               	              	        	                                                            	I23N1,100MR1041                         	/TYPA/AMBNT/WELL                                                 	           88	FEET                	 	G	none
21NC37GW	MR1239         	ROBERSON STORE / SOUTHEAST / ROANOKE                                                                                                                                          	NC DE&NR                 	North Carolina                	Martin                        	 35.738889	-76.98     	03010107	               	              	        	                                                            	L19G3,100MR1239                         	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	MR1529         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.830556	-77.2375   	03020103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          303	FEET                	 	G	none
21NC37GW	MR1530         	MARTIN COUNTY / SOUTHEAST / ROANOKE RIVER                                                                                                                                     	NC DE&NR                 	North Carolina                	Martin                        	 35.855556	-77.063889 	03010107	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          605	FEET                	 	G	none
21NC37GW	MR1550         	ROBERSONVILLE / SOUTHEAST / TAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Martin                        	 35.833333	-77.3      	03020103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MR1628         	HAMILTON / SOUTHEAST / ROANOKE                                                                                                                                                	NC DE&NR                 	North Carolina                	Martin                        	 35.916667	-77.166667 	03010107	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          302	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MR1630         	JAMESVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Martin                        	 35.738889	-76.98     	03010107	               	              	        	                                                            	L19G2,100MR1630                         	/TYPA/AMBNT/WELL                                                 	          145	FEET                	 	G	none
21NCGWNW	MR1239         	ROBERSON STORE / SOUTHEAST / ROANOKE                                                                                                                                          	NC ENV. HTH. NAT. RES.   	North Carolina                	Martin                        	 35.738889	-76.98     	03010107	               	              	        	                                                            	L19G3,100MR1239                         	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
