
Martin, NC
Number of Stations = 9


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
34690	PCB-1254 TISMG/KG WET WGT 	PCB - 1254                         WET WGTTISMG/KG	1     	1     	1976-05-11	1976-05-11	  2.70E+00  	  2.70E+00  	  2.70E+00
39376	DDT SUM  TISSUE   UG/G    	DDT SUM ANALOGS INTISSUE WET WGT BASIS            	1     	1     	1976-05-11	1976-05-11	  1.16E+00  	  1.16E+00  	  1.16E+00
39515	PCBS     FISH     MG/KG   	PCBS     (MG/KG)                 FISH TISSUE MG/KG	1     	1     	1976-05-11	1976-05-11	  2.92E+00  	  2.92E+00  	  2.92E+00
39703	HCB      FISH WWT UG/KG   	HEXACHLOROBENZENE IN FISH OR ANIMALS WET WGT  UG/K	1     	1     	1976-05-11	1976-05-11	  5.00E+00  	  5.00E+00  	  5.00E+00
72001	TOT DPTH OF HOLE  FT      	DEPTH, TOTAL OF HOLE (FT BELOW LAND SURFACE DATUM)	3     	3     	1980-09-28	1982-06-29	  3.00E+02  	  8.80E+01  	  2.30E+02
72002	TOP DPTH WB ZONE  FT      	DEPTH TO TOP OF WATER-BEARING ZONE SAMPLED (FT)   	1     	1     	1982-06-29	1982-06-29	  2.75E+02  	  2.75E+02  	  2.75E+02
72003	BOT DPTH WB ZONE  FT      	DEPTH TO BOTTOM OF WATER-BEARING ZONE SAMPLED (FT)	1     	1     	1982-06-29	1982-06-29	  2.95E+02  	  2.95E+02  	  2.95E+02
72008	TOT DPTH OF WELL  FT      	DEPTH, TOTAL OF WELL (FT BELOW LAND SURFACE DATUM)	3     	3     	1980-09-28	1982-06-29	  3.00E+02  	  8.80E+01  	  2.30E+02
72019	DEPTH-FT BL LAND  SURFACE 	DEPTH TO WATER LEVEL (FEET BELOW LAND SURFACE)    	5     	13    	1975-11-11	1982-06-29	  1.29E+01  	  9.60E+01  	  4.41E+01
72057	SCREEN   TOP 1ST  FR MP FT	DEPTH TO TOP OF FIRST SCREEN FROM M.P.  FEET      	3     	3     	1980-09-28	1982-06-29	  2.70E+02  	  8.40E+01  	  2.11E+02
72058	CASING   TOP 1ST  FR MP FT	DEPTH TO TOP OF 1ST CASING FROM M.P.  (FEET)      	3     	3     	1980-09-28	1982-06-29	   .00E+00  	  1.00E+00  	  3.33E-01
72059	SCREEN   BOT 1ST  FR MP FT	DEPTH TO BOTTOM OF 1ST SCREEN FROM M.P.  (FEET)   	3     	3     	1980-09-28	1982-06-29	  2.90E+02  	  8.80E+01  	  2.26E+02
72060	CASING   BOT 1ST  FR MP FT	DEPTH TO BOTTOM OF 1ST CASING FROM M.P.  (FEET)   	3     	3     	1980-09-28	1982-06-29	  1.72E+02  	  8.40E+01  	  1.75E+02
72065	GROUT    TOP 1ST  FR MP FT	DEPTH TO TOP OF FIRST GROUT FROM M.P. (FEET)      	2     	2     	1981-10-22	1982-06-29	   .00E+00  	   .00E+00  	   .00E+00
