Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370062A        	CORPENING CREEK STP AT MARION NC TO CORPENING CR / SANTEE-COOPER RIV BASIN / INFLUENT    PLANT INFLUENT@ RECEIVNG BOX                                                         	USEPA REGION 4           	North Carolina                	Mcdowell                      	 35.686667	-82.011667 	03050101	               	              	        	                                                            	NC0021130 A,M-I      COR                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370062B        	CORPENING CREEK STP AT MARION NC TO CORPENING CR / SANTEE-COOPER RIV BASIN / EFFLUENT    FROM FINAL CLARIFIER TROUGH                                                          	USEPA REGION 4           	North Carolina                	Mcdowell                      	 35.686667	-82.011667 	03050101	               	              	        	                                                            	NC0021130 B,M-001    COR                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370062C        	CORPENING CREEK STP AT MARION NC TO CORPENING CR / YADKIN-PEE DEE R BASIN / VACUUM FILTER CAKE                                                                                	USEPA REGION 4           	North Carolina                	Mcdowell                      	 35.686667	-82.033333 	03050101	               	              	        	                                                            	NC0021130 C,MAR-VF   COR                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1118ATL8	110501         	UPPER ARMSTRONG CREEK INTAKE / SOUTHEAST / CATAWBA-WATEREE           N FORK CATAWBA                                                                                           	US FOREST SERVICE        	North Carolina                	Mcdowell                      	     35.79	-82.127222 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY TO MONITOR THE EFFECTS OF TIMBER HARVESTING ON WATER QUALITY. ONE BASE FLOW SAMPLE AND STORM SAMPLE COLLECTED PER MONTH.  WATER SAMPLES ANALYZED FOR TEMPERATURE, CONDUCTIVITY, DISSOLVED OXYGEN, AND PH AT ARMSTRONG CREEK FISH HATCHERY.  TURBIDITY, TOTAL NONFILTERABLE RESIDUE, AND ALL CHEMICAL ANALYSES ARE RUN BY THE USFS R-9 WATER QUALITY LAB.  STUDY DURATION WILL BE FOUR YEARS, TWO YEARS PREHARVEST AND TWO YEARS POSTHARVEST.  LOCATED 12 MILES NW OF MARION NC.
1118ATL8	110502         	BEE ROCK BRANCH INTAKE - ARMSTRONG CREEK / SOUTHEAST / CATAWBA-WATEREE           N FORK CATAWBA                                                                               	US FOREST SERVICE        	North Carolina                	Mcdowell                      	 35.791667	-82.128333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY TO MONITOR THE EFFECTS OF TIMBER HARVESTING ON WATER QUALITY. ONE BASE FLOW SAMPLE AND STORM SAMPLE COLLECTED PER MONTH.  WATER SAMPLES ANALYZED FOR TEMPERATURE, CONDUCTIVITY, DISSOLVED OXYGEN, AND PH AT ARMSTRONG CREEK FISH HATCHERY.  TURBIDITY, TOTAL NONFILTERABLE RESIDUE, AND ALL CHEMICAL ANALYSES ARE RUN BY THE USFS R-9 WATER QUALITY LAB.  STUDY DURATION WILL BE FOUR YEARS, TWO YEARS PREHARVEST AND TWO YEARS POSTHARVEST.  LOCATED 12 MILES NW OF MARION NC.
1118ATL8	110503         	UPPER RACEWAY OUTFALL - ARMSTRONG CREEK / SOUTHEAST / CATAWBA-WATEREE           N FORK CATAWBA                                                                                	US FOREST SERVICE        	North Carolina                	Mcdowell                      	 35.792778	-82.123333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY TO MONITOR THE EFFECTS OF TIMBER HARVESTING ON WATER QUALITY. ONE BASE FLOW SAMPLE AND STORM SAMPLE COLLECTED PER MONTH.  WATER SAMPLES ANALYZED FOR TEMPERATURE, CONDUCTIVITY, DISSOLVED OXYGEN, AND PH AT ARMSTRONG CREEK FISH HATCHERY.  TURBIDITY, TOTAL NONFILTERABLE RESIDUE, AND ALL CHEMICAL ANALYSES ARE RUN BY THE USFS R-9 WATER QUALITY LAB.  STUDY DURATION WILL BE FOUR YEARS, TWO YEARS PREHARVEST AND TWO YEARS POSTHARVEST.  LOCATED 12 MILES NW OF MARION NC.
1118ATL8	110504         	COW CREEK - ARMSTRONG CREEK / SOUTHEAST / CATAWBA-WATEREE           N FORK CATAWBA                                                                                            	US FOREST SERVICE        	North Carolina                	Mcdowell                      	 35.794444	-82.118333 	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY TO MONITOR THE EFFECTS OF TIMBER HARVESTING ON WATER QUALITY. ONE BASE FLOW SAMPLE AND STORM SAMPLE COLLECTED PER MONTH.  WATER SAMPLES ANALYZED FOR TEMPERATURE, CONDUCTIVITY, DISSOLVED OXYGEN, AND PH AT ARMSTRONG CREEK FISH HATCHERY.  TURBIDITY, TOTAL NONFILTERABLE RESIDUE, AND ALL CHEMICAL ANALYSES ARE RUN BY THE USFS R-9 WATER QUALITY LAB.  STUDY DURATION WILL BE FOUR YEARS, TWO YEARS PREHARVEST AND TWO YEARS POSTHARVEST.  LOCATED 12 MILES NW OF MARION NC.
1118ATL8	110505         	PUPS BRANCH INTAKE - ARMSTRONG CREEK / SOUTHEAST / CATAWBA-WATEREE           N FORK CATAWBA                                                                                   	US FOREST SERVICE        	North Carolina                	Mcdowell                      	 35.796111	-82.11     	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY TO MONITOR THE EFFECTS OF TIMBER HARVESTING ON WATER QUALITY. ONE BASE FLOW SAMPLE AND STORM SAMPLE COLLECTED PER MONTH.  WATER SAMPLES ANALYZED FOR TEMPERATURE, CONDUCTIVITY, DISSOLVED OXYGEN, AND PH AT ARMSTRONG CREEK FISH HATCHERY.  TURBIDITY, TOTAL NONFILTERABLE RESIDUE, AND ALL CHEMICAL ANALYSES ARE RUN BY THE USFS R-9 WATER QUALITY LAB.  STUDY DURATION WILL BE FOUR YEARS, TWO YEARS PREHARVEST AND TWO YEARS POSTHARVEST.  LOCATED 12 MILES NW OF MARION NC.
1118ATL8	110506         	BAD FORK INTAKE - ARMSTRONG CREEK / SOUTHEAST / CATAWBA-WATEREE           N FORK CATAWBA                                                                                      	US FOREST SERVICE        	North Carolina                	Mcdowell                      	 35.796667	-82.105    	03050101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	STUDY TO MONITOR THE EFFECTS OF TIMBER HARVESTING ON WATER QUALITY. ONE BASE FLOW SAMPLE AND STORM SAMPLE COLLECTED PER MONTH.  WATER SAMPLES ANALYZED FOR TEMPERATURE, CONDUCTIVITY, DISSOLVED OXYGEN, AND PH AT ARMSTRONG CREEK FISH HATCHERY.  TURBIDITY, TOTAL NONFILTERABLE RESIDUE, AND ALL CHEMICAL ANALYSES ARE RUN BY THE USFS R-9 WATER QUALITY LAB.  STUDY DURATION WILL BE FOUR YEARS, TWO YEARS PREHARVEST AND TWO YEARS POSTHARVEST.  LOCATED 12 MILES NW OF MARION NC.
