
Mcdowell, NC
Number of Stations = 55


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	5     	40    	1973-03-24	1981-08-25	  1.04E+03  	  6.44E+03  	  9.72E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	19    	385   	1973-03-24	1985-07-16	   .00E+00  	  9.80E+00  	  1.03E+01
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	8     	8     	1977-07-11	1979-02-07	  6.26E+01  	  7.10E+01  	  6.66E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	7     	303   	1980-11-19	1984-09-10	   .00E+00  	 -7.00E+00  	  1.05E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	3     	6     	1979-02-07	1981-08-25	  1.98E+03  	  1.98E+03  	  1.98E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	6     	15    	1985-03-20	1985-07-16	  1.00E+00  	  7.90E-01  	  9.92E-01
00065	STREAM   STAGE    FEET    	STAGE, STREAM (FEET)                              	5     	196   	1978-02-10	1984-06-25	  1.00E+00  	  9.60E-01  	  2.91E+00
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	2     	37    	1973-03-24	1973-09-24	  4.20E+01  	  9.90E+01  	  7.89E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	7     	313   	1980-11-19	1984-09-10	  1.00E+00  	  9.50E-01  	  2.83E+00
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	2     	6     	1973-03-24	1973-09-24	  1.80E+01  	  8.40E+01  	  5.58E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	2     	2     	1984-11-21	1984-11-21	  2.95E+00  	  3.75E+00  	  3.35E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	8     	17    	1984-11-21	1985-07-16	  1.00E+01  	  5.00E+00  	  1.34E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	2     	8     	1973-09-24	1973-09-24	  4.10E+01  	  8.60E+01  	  6.81E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	17    	292   	1973-03-24	1985-07-16	  1.00E+01  	  8.10E+00  	  2.67E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	2     	2     	1984-11-21	1984-11-21	  1.55E+00  	  3.97E+00  	  2.76E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	6     	15    	1985-03-20	1985-07-16	  1.05E+01  	  9.80E+00  	  9.46E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	9     	298   	1973-03-24	1984-09-10	  1.00E+01  	  9.90E+00  	  1.04E+01
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	15    	313   	1973-03-24	1985-07-16	  1.00E+02  	  9.92E+01  	  9.07E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	2     	2     	1979-02-07	1979-02-07	  1.91E+02  	  2.60E+02  	  2.26E+02
