Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113MONO	MC19           	IRWIN CREEK AT U.S. HWY 21 AT CHARLOTTE, N.C. / SOUTHEAST / CATAWBA RIVER BASIN                                                                                               	USEPA REGION 4           	North Carolina                	Mecklenburg                   	   35.2625	-80.8375   	03050103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113MONO	MC21           	IRWIN CREEK AT N.C. HWY 16 AT CHARLOTTE, N.C. / SOUTHEAST / CATAWBA RIVER BASIN                                                                                               	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.245833	-80.870833 	03050103	            033	          10.3	OFF     	SUGAR CR, KING'S BR                                         	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113MONO	MC22           	IRWIN CREEK AT WEST BOULEVARD IN CHARLOTTE, N.C. / SOUTHEAST / CATAWBA RIVER BASIN                                                                                            	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.216667	-80.875    	03050103	            033	          8.08	OFF     	SUGAR CR, KING'S BR                                         	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113MONO	MC22A          	IRWIN CREEK AT IRWIN CREEK TREATMENT PLANT / SOUTHEAST / CATAWBA RIVER BASIN                                                                                                  	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.195833	-80.904167 	03050103	            033	          5.72	OFF     	SUGAR CR, KING'S BR                                         	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113MONO	MC22B          	SUGAR CREEK AT YORKMONT RD (SR 1156) / SOUTHEAST / CATAWBA RIVER BASIN                                                                                                        	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.191667	-80.9125   	03050103	            033	          5.03	OFF     	SUGAR CR, KING'S BR                                         	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113MONO	MC23           	SUGAR CREEK AT N.C. HWY 49 AT CHARLOTTE, N.C. / SOUTHEAST / CATAWBA RIVER BASIN                                                                                               	USEPA REGION 4           	North Carolina                	Mecklenburg                   	   35.1625	-80.9125   	03050103	            033	          2.68	OFF     	SUGAR CR, KING'S BR                                         	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372000         	CATAWBA R AT NC 49 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                                   	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.103333	-81.041111 	03050101	            007	          1.98	OFF     	CATAWBA R                                                   	CR-C-178                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372005         	CATAWBA R AT US 29 & 74 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                              	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.246111	-81.010556 	03050101	               	              	        	                                                            	CR-C-102                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372010         	CATAWBA R AT NC 16 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                                   	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.349722	-80.972778 	03050101	            012	          5.83	OFF     	CATAWBA R                                                   	CR-C-087                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372015         	CATAWBA R AT NC 73 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                                   	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.427222	-80.956389 	03050101	            012	         17.94	OFF     	CATAWBA R                                                   	CR-C-083                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372020         	SUGAR CK AT NC 51 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                                    	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.089444	-80.900556 	03050103	            032	          3.76	OFF     	SUGAR CR                                                    	CR-C-208                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372025         	SUGAR CK AT NC SR 1126 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                               	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.117222	-80.9075   	03050103	            032	          6.26	OFF     	SUGAR CR                                                    	CR-C-206                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372030         	STEEL CK AT NC SR 1124 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                               	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.099167	-80.955556 	03050103	            035	          7.76	OFF     	STEELE CR                                                   	CR-C-228                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372035         	MCALPINE CK AT US 521 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                                	USEPA REGION 4           	North Carolina                	Mecklenburg                   	   35.0625	-80.877778 	03050103	            027	          2.25	OFF     	MCALPINE CR                                                 	CR-C-225                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372040         	MCALPINE CK AT NC 51 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                                 	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.085556	-80.834167 	03050103	            029	          1.04	ON      	MCALPINE CR                                                 	CR-C-220                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
1113S000	372045         	L. SUGAR CK AT US 521 / MECKLENBURG / CATAWBA RIVER            CHARLOTTE STUDY                                                                                                	USEPA REGION 4           	North Carolina                	Mecklenburg                   	 35.078611	-80.885833 	03050103	            031	          3.22	OFF     	LITTLE SUGAR CR                                             	CR-C-214                                	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
