
Mecklenburg, NC
Number of Stations = 214


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	18    	205   	1973-07-17	1998-12-14	  5.00E+01  	  5.00E+01  	  5.00E+01
00004	STREAM   WIDTH    FEET    	STREAM WIDTH (FEET)                               	6     	30    	1980-10-09	1980-10-14	  2.07E+01  	  4.67E+01  	  3.37E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	66    	424   	1969-01-06	1981-08-25	  1.09E+04  	  9.10E+03  	  4.62E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	90    	554   	1973-03-29	1998-12-22	  1.00E+01  	  9.90E+00  	  2.02E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	5     	165   	1989-11-21	1998-12-14	  1.00E+01  	  9.00E+00  	  2.25E+01
00021	AIR      TEMP     FAHN    	TEMPERATURE, AIR (DEGREES FAHRENHEIT)             	3     	6     	1981-07-21	1981-07-22	  3.20E+01  	  3.30E+01  	  3.25E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	26    	90    	1977-05-16	1981-08-25	  1.98E+03  	  1.98E+03  	  1.98E+03
00027	COLLECT  AGENCY   CODE    	CODE NO FOR AGENCY COLLECTING SAMPLE-SEE APPEND.  	1     	1     	1998-05-06	1998-05-06	  9.86E+04  	  9.86E+04  	  9.86E+04
00041	WEATHER  WMO CODE 4501    	WEATHER (WMO CODE 4501)                           	6     	172   	1981-07-21	1998-12-14	   .00E+00  	  2.20E+01  	  2.40E+00
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	6     	30    	1980-10-09	1980-10-14	  1.00E+00  	  9.80E-01  	  7.92E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	17    	70    	1973-07-17	1973-08-01	  1.00E+03  	  9.50E+01  	  6.50E+01
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	4     	55    	1973-04-02	1973-09-19	  4.20E+01  	  9.90E+01  	  8.12E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	6     	159   	1989-11-21	1998-12-22	  1.00E+01  	  9.90E+00  	  3.50E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	4     	12    	1973-03-29	1973-09-19	  1.06E+02  	  9.60E+01  	  4.88E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	1     	2     	1973-07-17	1973-07-19	  3.50E+01  	  4.00E+01  	  3.75E+01
00090	REDOX    ORP      MV      	OXIDATION REDUCTION POTENTIAL (MILLIVOLTS)        	6     	30    	1980-10-09	1980-10-14	  2.09E+02  	  4.00E+02  	  2.73E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	40    	123   	1973-07-11	1998-12-22	  1.00E+02  	  9.93E+01  	  2.71E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	11    	37    	1973-03-29	1979-11-06	  1.00E+02  	  8.70E+01  	  6.43E+01
00116	INTNSVE  SURVEY   IDENT   	INTENSIVE SURVEY IDENTIFICATION NUMBER            	3     	6     	1981-07-21	1981-07-22	  8.15E+05  	  8.15E+05  	  8.15E+05
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	6     	30    	1980-10-09	1980-10-14	  1.18E+01  	  8.38E+00  	  7.73E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	36    	431   	1973-03-29	1998-12-22	  1.00E+01  	  9.90E+00  	  7.23E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	42    	463   	1973-03-29	1998-12-22	  1.00E+02  	  9.94E+01  	  7.65E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	53    	334   	1973-07-16	1998-12-14	  1.00E+02  	  9.70E+00  	  3.03E+01
00339	COD MUD  DRY WGT  MG/KG   	COD, BOTTOM DEPOSITS, DRY WEIGHT             MG/KG	3     	3     	1973-07-18	1973-07-18	  2.82E+03  	  6.86E+03  	  1.88E+04
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	42    	122   	1973-07-16	1979-11-07	  1.00E+01  	  9.80E+01  	  6.74E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	90    	481   	1973-03-29	1998-12-22	  4.90E+00  	  9.50E+00  	  6.89E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	31    	186   	1973-07-16	1998-12-14	  1.09E+01  	  8.90E+00  	  7.52E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	48    	333   	1973-03-29	1998-12-14	   .00E+00  	  9.90E+01  	  6.20E+01
00430	CO3 ALK  CACO3    MG/L    	ALKALINITY, CARBONATE (MG/L AS CACO3)             	1     	1     	1976-02-25	1976-02-25	  7.10E+00  	  7.10E+00  	  7.10E+00
00435	T ACDITY CACO3    MG/L    	ACIDITY, TOTAL (MG/L AS CACO3)                    	19    	40    	1973-07-16	1973-07-31	   .00E+00  	  9.70E+00  	  1.63E+01
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	10    	10    	1976-02-25	1979-03-13	  1.10E+02  	  8.00E+00  	  3.62E+01
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	10    	10    	1976-02-25	1979-03-13	  1.00E+00  	  1.00E+00  	  1.00E+00
00495	% MOIST. SEDIMENT SAMPLE  	MOISTURE CONTENT (PERCENT OF TOTAL DRY WEIGHT)    	7     	7     	1973-07-18	1980-02-27	  1.50E+01  	  4.60E+01  	  2.59E+01
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	25    	76    	1973-07-16	1980-10-14	  1.39E+02  	  8.66E+02  	  1.06E+03
00505	RESIDUE  TOT VOL  MG/L    	RESIDUE, TOTAL VOLATILE (MG/L)                    	19    	41    	1973-07-16	1973-07-31	  1.08E+02  	  8.90E+02  	  1.08E+03
