Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-01-25	      0940	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-02-10	      1530	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-02-25	      1000	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-03-14	      0825	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-03-29	      0900	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-04-07	      1655	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-04-28	      1011	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-05-05	      1915	          	        	           1	        	                	  	                     	B 	                                                            	
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435                                  	 500000E-4  	 	06010105	00002	1967-05-25	      1315	          	        	           1	        	                	  	                     	B 	                                                            	
