Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370074A        	LAWSON-UNITED FELDSPAR/MINERAL AT SPRUCE PINE NC / FRENCH BROAD RIVER BASIN / EFFLUENT @ TREATMENT SYSTEM @ 90 WEIR                                                           	USEPA REGION 4           	North Carolina                	Mitchell                      	 35.929722	-82.103611 	06010108	            026	          2.91	OFF     	N TOE R                                                     	NC0000400 A,LU-001   LUF                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370076A        	FELDSPAR CORPORATION AT SPRUCE PINE NC / FRENCH BROAD RIVER BASIN / EFFLUENT FROM TREATMENT SYSTEM @ WEIR                                                                     	USEPA REGION 4           	North Carolina                	Mitchell                      	 35.887778	-82.063056 	06010108	               	              	        	                                                            	NC0000353 A,FC-001   FCS                	/TYPA/IND/OUTFL/NONAMB/PIPE                                      	            0	FEET                	 	 	none
1114PEST	370078A        	SOBIN CHEM/SPRUCE PINE PLT 1 AT SPRUCE PINE NC / FRENCH BROAD RIVER BASIN / EFFLUENT FROM TREATMENT SYSTEM @ WEIR                                                             	USEPA REGION 4           	North Carolina                	Mitchell                      	 35.932778	-82.102778 	06010108	            026	          3.05	OFF     	N TOE R                                                     	NC0000175 A,SC-001   SOB                	/TYPA/IND/OUTFL/NONAMB/PIPE                                      	            0	FEET                	 	 	none
131TVAC 	360074         	BRIDGE 0.45 MILE NE OF MOUTH OF GRAVELLY CREEK / FRENCH BROAD RIVER BASIN / CANE CREEK 8.5                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.480833	-82.435    	06010105	               	              	        	                                                            	5810                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360095         	N.CAROLINA HWY 80 BRIDGE / FRENCH BROAD RIVER BASIN / CANE CREEK 0.68                                                                                                         	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 36.013056	-82.187778 	06010108	               	              	        	                                                            	5521                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360098         	BRIDGE 0.7 MILE EAST OF UNION HILL CHURCH / FRENCH BROAD RIVER BASIN / BIG ROCK CREEK 1.68                                                                                    	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 36.024444	-82.252778 	06010108	               	              	        	                                                            	5371                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360104         	 / FRENCH BROAD RIVER BASIN / NORTH TOE RIVER 35.04                                                                                                                           	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.905278	-82.045278 	06010108	            026	          7.58	OFF     	N TOE R                                                     	5356                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360105         	0.2 MILE WEST OF PENLAND / FRENCH BROAD RIVER BASIN / NORTH TOE RIVER 27.61                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.929444	-82.100556 	06010108	               	              	        	                                                            	5353                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360208         	AT ROAD CROSSING 0.7 MILE WEST OF BAKERSVILLE / FRENCH BROAD RIVER BASIN / CANE CREEK 2.6                                                                                     	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 36.016111	-82.171944 	06010108	               	              	        	                                                            	5524                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360209         	BRIDGE 0.3 MILE SE OF BAKERSVILLE / FRENCH BROAD RIVER BASIN / CANE CREEK 3.96                                                                                                	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 36.011944	-82.155    	06010108	               	              	        	                                                            	5527                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	360210         	FOOTBRIDGE 0.5 MILE SE OF WING / FRENCH BROAD RIVER BASIN / NORTH TOE RIVER 25.7                                                                                              	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.937778	-82.140556 	06010108	               	              	        	                                                            	5350                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
131TVAC 	370136         	DEER PARK LAKE / FRENCH BROAD RIVER BASIN / BIG BRANCH 0.66                                                                                                                   	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.921944	-82.100278 	06010108	            026	           3.6	OFF     	N TOE R                                                     	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION MSL FEET,  2650 SURFACE AREA ACRES,  >5 MAP (QUAD NO.)       209NE
131TVAC 	370137         	UNNAMED LAKE, TRIBUTARY TO NORTH TOE RIVER 27.55 / FRENCH BROAD RIVER BASIN / UNNAMED TRIBUTARY 0.70                                                                          	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	 35.920833	-82.117222 	06010108	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION MSL FEET,  2580 SURFACE AREA ACRES,  >5 MAP (QUAD NO.)       209NE
131TVAC 	370138         	SAYLOR LAKE / FRENCH BROAD RIVER BASIN / DUCK BRANCH 1.0                                                                                                                      	TENN VALLEY AUTHORITY    	North Carolina                	Mitchell                      	   35.9975	-82.155278 	06010108	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	ELEVATION MSL FEET,  2600 SURFACE AREA ACRES,  >5 MAP (QUAD NO.)       209NW
21NC37GW	MI1018         	BULADEAN / SOUTHEAST / FRENCH BROAD                                                                                                                                           	NC DE&NR                 	North Carolina                	Mitchell                      	   36.1075	-82.190833 	06010108	               	              	        	                                                            	G82S3,100MI1018                         	/TYPA/AMBNT/WELL                                                 	          145	FEET                	 	G	none
21NC37GW	MI1271         	SPRUCE PINE NC / TENNESSEE / FRENCH BROAD                                                                                                                                     	NC DE&NR                 	North Carolina                	Mitchell                      	 35.943056	-82.170556 	06010108	               	              	        	                                                            	I82T1                                   	/TYPA/AMBNT/WELL                                                 	           65	FEET                	 	G	none
21NC37GW	MI1284         	REBEL CREEK / TENNESSEE / LITTLE TENNESSEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Mitchell                      	    35.945	-82.169444 	06010108	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           65	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MI1285         	SPRUCE PINE / TENNESSEE / FRENCH BROAD                                                                                                                                        	NC DE&NR                 	North Carolina                	Mitchell                      	    35.875	-82.063889 	06010108	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          350	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MI1286         	SPRUCE PINE / TENNESSEE / FRENCH BROAD                                                                                                                                        	NC DE&NR                 	North Carolina                	Mitchell                      	 35.916667	-82        	06010108	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MI1289         	BAKERSVILLE / TENNESSEE / FRENCH BROAD                                                                                                                                        	NC DE&NR                 	North Carolina                	Mitchell                      	 35.966667	-82.166667 	06010108	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
