
Mitchell, NC
Number of Stations = 35


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	11    	83    	1967-01-25	1983-05-04	  3.00E+01  	  5.00E+01  	  4.78E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	3     	10    	1979-04-24	1979-04-26	  1.09E+03  	  1.10E+03  	  1.10E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	11    	83    	1967-01-25	1983-05-04	  1.03E+01  	  9.50E+00  	  1.42E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	3     	10    	1979-04-24	1979-04-26	  1.98E+03  	  1.98E+03  	  1.98E+03
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	8     	56    	1967-01-25	1975-09-08	  1.00E+01  	  9.60E+02  	  1.68E+02
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	5     	45    	1967-01-25	1975-09-08	  1.00E+02  	  9.00E+00  	  3.05E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	3     	5     	1979-04-25	1979-04-26	  1.00E+01  	  3.60E+01  	  2.66E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	9     	46    	1967-01-25	1983-05-04	  1.00E+01  	  7.00E+00  	  1.45E+01
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	4     	12    	1975-01-13	1983-05-04	  1.00E+01  	  7.00E+01  	  3.68E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	1     	1     	1967-01-25	1967-01-25	  1.00E+00  	  1.00E+00  	  1.00E+00
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	3     	24    	1983-05-04	1983-05-04	  3.10E+01  	  6.20E+01  	  4.03E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	8     	46    	1967-01-25	1983-05-04	  2.30E+01  	  6.90E+01  	  4.49E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	3     	24    	1983-05-04	1983-05-04	  1.00E+01  	  9.00E+00  	  3.33E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	11    	81    	1967-01-25	1983-05-04	  1.02E+01  	  9.90E+00  	  9.75E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	11    	81    	1967-01-25	1983-05-04	  1.00E+02  	  9.91E+01  	  9.21E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	4     	25    	1968-01-10	1975-05-12	  1.00E+00  	  3.00E+00  	  1.51E+00
00335	COD      LOWLEVEL MG/L    	COD, .025N K2CR2O7                            MG/L	3     	21    	1968-01-10	1975-09-08	  1.00E+01  	  8.00E+00  	  1.38E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	8     	66    	1967-01-25	1983-05-04	  5.50E+00  	  8.40E+00  	  6.99E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	3     	3     	1983-05-04	1983-05-04	  6.68E+00  	  7.41E+00  	  6.97E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	8     	45    	1967-01-25	1983-05-04	  1.00E+01  	  9.00E+00  	  1.47E+01
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	8     	45    	1967-01-25	1983-05-04	   .00E+00  	  1.00E+00  	  2.22E-02
00431	T ALK    FIELD    MG/L    	ALKALINITY TOATL FIELD, (MG/L AS CACO3)           	3     	3     	1983-05-04	1983-05-04	  1.00E+00  	  1.75E+01  	  9.67E+00
00435	T ACDITY CACO3    MG/L    	ACIDITY, TOTAL (MG/L AS CACO3)                    	3     	3     	1983-05-04	1983-05-04	  1.00E+00  	  5.00E+00  	  3.67E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	5     	32    	1967-01-25	1968-08-27	  1.00E+02  	  9.00E+01  	  1.21E+02
00515	RESIDUE  DISS-105 C MG/L  	RESIDUE, TOTAL FILTRABLE  (DRIED AT 105C),MG/L    	5     	31    	1967-01-25	1968-08-27	  1.00E+02  	  9.00E+01  	  6.81E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	4     	14    	1975-01-13	1979-04-25	  1.07E+02  	  8.00E+01  	  6.93E+01
00545	RESIDUE  SETTLBLE ML/L    	RESIDUE, SETTLEABLE (ML/L)                        	3     	5     	1979-04-25	1979-04-26	  1.00E-01  	  1.00E-01  	  1.00E-01
00605	ORG N    N        MG/L    	NITROGEN, ORGANIC, TOTAL (MG/L AS N)              	5     	41    	1967-01-25	1975-09-08	  1.00E+00  	  9.00E-02  	  3.37E-01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	5     	41    	1967-01-25	1975-09-08	  1.00E-01  	  9.00E-02  	  5.27E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	5     	41    	1967-01-25	1975-09-08	  1.02E-03  	  9.94E-04  	  3.73E-04
00615	NO2-N    TOTAL    MG/L    	NITRITE NITROGEN, TOTAL (MG/L AS N)               	5     	32    	1967-01-25	1968-07-31	  1.00E-01  	  3.00E-02  	  1.53E-02
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	5     	41    	1967-01-25	1975-09-08	  1.05E-04  	  9.70E-04  	  4.54E-04
00620	NO3-N    TOTAL    MG/L    	NITRATE NITROGEN, TOTAL (MG/L AS N)               	5     	32    	1967-01-25	1968-07-31	  1.00E-01  	  9.00E-02  	  2.82E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	1     	9     	1975-01-13	1975-09-08	  1.80E-01  	  5.40E-01  	  3.41E-01
00653	SOLPO4-T PO4      MG/L    	PHOSPHATE, TOTAL SOLUBLE (MG/L)                   	3     	3     	1983-05-04	1983-05-04	  4.00E-02  	  4.00E-02  	  4.00E-02
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	5     	40    	1967-01-25	1975-09-08	  1.00E-02  	  9.13E-02  	  8.10E-02
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	5     	38    	1967-01-25	1975-09-08	  1.00E-02  	  9.78E-02  	  3.26E-02
00680	T ORG C  C        MG/L    	CARBON, TOTAL ORGANIC (MG/L AS C)                 	1     	3     	1975-02-10	1975-08-11	  1.80E+00  	  4.00E-01  	  1.53E+00
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	3     	3     	1983-05-04	1983-05-04	  1.40E+00  	  4.50E+00  	  2.70E+00
00916	CALCIUM  CA-TOT   MG/L    	CALCIUM, TOTAL (MG/L AS CA)                       	4     	35    	1967-01-25	1975-09-08	  1.00E+00  	  5.00E-01  	  2.31E+00
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	3     	3     	1983-05-04	1983-05-04	  1.30E+00  	  9.30E-01  	  1.58E+00
00927	MGNSIUM  MG,TOT   MG/L    	MAGNESIUM, TOTAL (MG/L AS MG)                     	4     	35    	1967-01-25	1975-09-08	  1.00E+00  	  9.50E+00  	  1.57E+00
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	3     	26    	1968-01-10	1975-09-08	  1.00E+00  	  4.60E+00  	  2.15E+00
00930	SODIUM   NA,DISS  MG/L    	SODIUM, DISSOLVED (MG/L AS NA)                    	3     	3     	1983-05-04	1983-05-04	  1.40E+00  	  2.30E+00  	  1.77E+00
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	3     	3     	1983-05-04	1983-05-04	  4.40E-01  	  9.80E-01  	  6.37E-01
00937	PTSSIUM  K,TOT    MG/L    	POTASSIUM, TOTAL MG/L AS  K)                      	3     	26    	1968-01-10	1975-09-08	  1.00E+00  	  9.00E-01  	  1.38E+00
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	4     	28    	1968-01-10	1975-09-08	  1.00E+00  	  4.00E+00  	  2.39E+00
