Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 637200E-2  	 	03040104	00008	1973-03-22	      1630	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 637100E-2  	 	03040104	00008	1973-03-22	      1630	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 637000E-2  	 	03040104	00008	1973-03-22	      1630	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 107270E-1  	 	03040104	00008	1973-07-07	      1445	          	        	          13	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 107280E-1  	 	03040104	00008	1973-07-07	      1445	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 107290E-1  	 	03040104	00008	1973-07-07	      1445	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 143650E-1  	 	03040104	00008	1973-09-21	      1020	          	        	          17	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 143640E-1  	 	03040104	00008	1973-09-21	      1020	          	        	          10	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 143630E-1  	 	03040104	00008	1973-09-21	      1020	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 139000E-4  	 	03040104	00010	1973-03-22	      1630	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 139000E-4  	 	03040104	00010	1973-03-22	      1630	          	        	           4	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 139000E-4  	 	03040104	00010	1973-03-22	      1630	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 262000E-4  	 	03040104	00010	1973-07-07	      1445	          	        	          13	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 265000E-4  	 	03040104	00010	1973-07-07	      1445	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 264000E-4  	 	03040104	00010	1973-07-07	      1445	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 251000E-4  	 	03040104	00010	1973-09-21	      1020	          	        	          17	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 251000E-4  	 	03040104	00010	1973-09-21	      1020	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 251000E-4  	 	03040104	00010	1973-09-21	      1020	          	        	          10	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 220000E-4  	 	03040104	00010	1998-06-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 245000E-4  	 	03040104	00010	1998-07-17	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 280000E-4  	 	03040104	00010	1998-08-06	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 260000E-4  	 	03040104	00010	1998-08-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 205000E-4  	 	03040104	00010	1998-09-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 200000E-4  	 	03040104	00010	1998-10-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 950000E-5  	 	03040104	00010	1998-10-23	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 150000E-4  	 	03040104	00010	1998-11-20	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q7210000       	Clarks Creek @ SR 1187 near Mt. Gilead /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Montgomery                    	 35.204444	-80.057778                               	 550000E-5  	 	03040104	00010	1998-12-28	      2500	          	        	            	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 750000E-4  	 	03040104	00074	1973-07-07	      1445	          	        	          13	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 750000E-4  	 	03040104	00074	1973-07-07	      1445	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	371705         	LAKE TILLERY /  /                                                                                                                                                             	USEPA                    	North Carolina                	Montgomery                    	 35.372222	-80.051389                               	 750000E-4  	 	03040104	00074	1973-07-07	      1445	          	        	           0	        	                	  	                     	B 	                                                            	
