
Montgomery, NC
Number of Stations = 8


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	9     	1973-03-22	1973-09-21	  1.07E+04  	  6.37E+03  	  1.05E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	2     	18    	1973-03-22	1998-12-28	  1.39E+01  	  9.50E+00  	  2.04E+01
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	1     	6     	1973-07-07	1973-09-21	  7.50E+01  	  9.30E+01  	  8.35E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	1     	7     	1998-06-05	1998-12-28	  1.01E+02  	  9.10E+00  	  3.65E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	1     	3     	1973-03-22	1973-09-21	  1.70E+01  	  4.80E+01  	  2.97E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	2     	12    	1973-09-21	1998-12-28	  1.12E+02  	  9.38E+01  	  9.17E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	1     	6     	1973-03-22	1973-07-07	  6.50E+01  	  7.00E+01  	  6.83E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	2     	16    	1973-03-22	1998-12-28	  1.08E+01  	  8.50E+00  	  7.19E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	2     	16    	1973-03-22	1998-12-28	  1.04E+02  	  9.24E+01  	  7.62E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	2     	18    	1973-03-22	1998-12-28	  6.60E+00  	  8.17E+00  	  7.04E+00
