Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 420000E-4  	K	03040203	00662	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 420000E-4  	K	03030004	00662	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 137000E-5  	 	03040203	00918	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 260000E-4  	 	03030004	00918	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 613000E-6  	 	03040203	00921	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 937000E-5  	 	03030004	00921	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 383000E-5  	 	03040203	00923	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 537000E-4  	 	03030004	00923	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 427000E-6  	 	03040203	00939	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 626000E-5  	 	03030004	00939	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 500000E-5  	K	03040203	00978	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 500000E-5  	K	03030004	00978	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 600000E-5  	K	03040203	00979	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 600000E-5  	K	03030004	00979	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 780000E-4  	 	03040203	00980	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 470000E-4  	 	03030004	00980	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 500000E-5  	K	03040203	00981	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4                                    	 500000E-5  	K	03030004	00981	1985-02-19	      1200	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667                               	 800000E-5  	K	03040203	00982	1984-10-09	      0930	          	        	            	        	                	  	                     	B 	                                                            	
