Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12OWNIRS	NC0363030      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	      35.1	-79.466667 	03040203	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           22	FEET                	 	 	none
12OWNIRS	NC0363109      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Moore                         	 35.233333	-79.4      	03030004	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	          102	FEET                	 	 	none
21NC37GW	MO1447         	SOUTHERN PINES / SOUTHEAST / CAPE FEAR                                                                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.174444	-79.388889 	03030004	               	              	        	                                                            	R48X3,100MO1447                         	/TYPA/AMBNT/WELL                                                 	          280	FEET                	 	G	none
21NC37GW	MO1448         	SOUTHERN PINES / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Moore                         	    35.175	-79.408333 	03040203	               	              	        	                                                            	R48Y3,100MO1448                         	/TYPA/AMBNT/WELL                                                 	          220	FEET                	 	G	none
21NC37GW	MO1581         	HOG ISLAND RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                           	NC DE&NR                 	North Carolina                	Moore                         	 35.196667	-79.300833 	03030004	               	              	        	                                                            	R47Q2,100MO1581                         	/TYPA/AMBNT/WELL                                                 	          142	FEET                	 	G	EXPLORATORY PILOT HOLE ELECTRIC AND GAMMA LOGS TO 174'
21NC37GW	MO1582         	PINEWILD RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                             	NC DE&NR                 	North Carolina                	Moore                         	 35.209722	-79.513056 	03030004	               	              	        	                                                            	R50K1,100MO1582                         	/TYPA/AMBNT/WELL                                                 	           82	FEET                	 	G	EXPLORATORY PILOT HOLE ELECTRIC AND GAMMA LOGS TO 231'
21NC37GW	MO1583         	ROSLAND RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                              	NC DE&NR                 	North Carolina                	Moore                         	    35.145	-79.569722 	03040203	               	              	        	                                                            	S50F4,100MO1583                         	/TYPA/AMBNT/WELL                                                 	           94	FEET                	 	G	EXPLORATORY PILOT HOLE ELECTRIC AND GAMMA LOGS TO 188'
21NC37GW	MO1587         	JACKSON HAMLET RESEARCH STATION (VIENA VISTA) / SOUTHEAST / YASDKIN - PEE DEE - LUMBER                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.144722	-79.369722 	03030004	               	              	        	                                                            	S48H2,100MO1587                         	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	EXPLORATORY PILOT HOLE BASEMENT = 236 FT BLS
21NC37GW	MO1588         	WEYMOUTH WOOD RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.144722	-79.369722 	03030004	               	              	        	                                                            	S48H1,100MO1588                         	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	EXPLORATORY PILOT HOLE ELECTRIC AND GAMMAL LOGS TO 269' BASEMENT =268 FT BLS
21NC37GW	MO1605         	CAMERON / SOUTHEAST / CAPE FEAR                                                                                                                                               	NC DE&NR                 	North Carolina                	Moore                         	     35.25	-79.166667 	03030004	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          140	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1607         	ABERDEEN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Moore                         	 35.083333	-79.416667 	03040203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1608         	ABERDEEN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Moore                         	 35.083333	-79.416667 	03040203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           85	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1609         	WHISPERING PINES / SOUTHEAST / CAPE FEAR                                                                                                                                      	NC DE&NR                 	North Carolina                	Moore                         	     35.25	-79.333333 	03030004	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1610         	CARTHAGE / SOUTHEAST / CAPE FEAR                                                                                                                                              	NC DE&NR                 	North Carolina                	Moore                         	 35.333333	-79.333333 	03030004	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          210	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1611         	FOXFIRE VILLAGE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                  	NC DE&NR                 	North Carolina                	Moore                         	 35.166667	-79.5      	03040203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          108	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1612         	PINEBLUFF / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.083333	-79.45     	03040203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           44	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1613         	CARTHAGE / SOUTHEAST / CAPE FEAR                                                                                                                                              	NC DE&NR                 	North Carolina                	Moore                         	 35.434722	-79.434722 	03030003	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          180	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1618         	VASS / SOUTHEAST / CAPE FEAR                                                                                                                                                  	NC DE&NR                 	North Carolina                	Moore                         	     35.25	-79.333333 	03030004	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           24	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	MO1619         	SOUTHERN PINES / SOUTHEAST / CAPE FEAR                                                                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.196667	-79.300833 	03030004	               	              	        	                                                            	R47Q3,100MO1619                         	/TYPA/AMBNT/WELL                                                 	           30	FEET                	 	G	none
21NC37GW	MO1620         	SOUTHERN PINES / SOUTHEAST / CAPE FEAR                                                                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.196667	-79.300833 	03030004	               	              	        	                                                            	R47Q4,100MO1620                         	/TYPA/AMBNT/WELL                                                 	           65	FEET                	 	G	none
21NC37GW	MO1621         	SOUTHERN PINES / SOUTHEAST / CAPE FEAR                                                                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.218611	-79.3925   	03030004	               	              	        	                                                            	R48G2,100MO1621                         	/TYPA/AMBNT/WELL                                                 	           30	FEET                	 	G	none
21NC37GW	MO1622         	SOUTHERN PINES / SOUTHEAST / CAPE FEAR                                                                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.218611	-79.3925   	03030004	               	              	        	                                                            	R48G1,100MO1622                         	/TYPA/AMBNT/WELL                                                 	           90	FEET                	 	G	none
21NC37GW	MO1623         	SOUTHERN PINES / SOUTHEAST / CAPE FEAR                                                                                                                                        	NC DE&NR                 	North Carolina                	Moore                         	 35.174444	-79.388889 	03030004	               	              	        	                                                            	R48X4,100MO1623                         	/TYPA/AMBNT/WELL                                                 	           50	FEET                	 	G	none
21NC37GW	MO1624         	SOUTHERN PINES / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Moore                         	    35.175	-79.408333 	03040203	               	              	        	                                                            	R48Y4,100MO1624                         	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	MO1625         	EASTWOOD / SOUTHEAST / CAPE FEAR                                                                                                                                              	NC DE&NR                 	North Carolina                	Moore                         	 35.239167	-79.457778 	03030004	               	              	        	                                                            	R49C3,100MO1625                         	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	none
21NC37GW	MO1626         	PINEHURST / SOUTHEAST / CAPE FEAR                                                                                                                                             	NC DE&NR                 	North Carolina                	Moore                         	 35.209722	-79.513056 	03030004	               	              	        	                                                            	R50K2,100MO1626                         	/TYPA/AMBNT/WELL                                                 	           28	FEET                	 	G	none
21NC37GW	MO1627         	ABERDEEN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Moore                         	 35.163889	-79.481944 	03040203	               	              	        	                                                            	S49D2,100MO1627                         	/TYPA/AMBNT/WELL                                                 	          110	FEET                	 	G	none
21NC37GW	MO1628         	ABERDEEN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Moore                         	 35.163889	-79.481944 	03040203	               	              	        	                                                            	S49D3,100MO1628                         	/TYPA/AMBNT/WELL                                                 	           35	FEET                	 	G	none
21NC37GW	MO1629         	ROSELAND / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Moore                         	    35.145	-79.569722 	03040203	               	              	        	                                                            	S50F5,100MO1629                         	/TYPA/AMBNT/WELL                                                 	           25	FEET                	 	G	none
