Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	NA1210         	RED OAK SR #1603 & 1604 / SOUTHEAST / TAR                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	 36.009444	-77.903056 	03020101	               	              	        	                                                            	H30Y4,100NA1210                         	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1975 MEASURED MONTHLY AQUIFER WT
21NC37GW	NA1455         	NASH COUNTY / SOUTHEAST / TAR RIVER                                                                                                                                           	NC DE&NR                 	North Carolina                	Nash                          	        36	-78        	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          700	FEET                	 	G	none
21NC37GW	NA2162         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.75     	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           52	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2163         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     35.85	-77.916667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           39	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2164         	STAN HOPE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.833333	-78.083333 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2165         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.916667	-77.9      	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           50	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2166         	RED OAK / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	      36.1	-77.916667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           43	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2167         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.916667	-78        	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           48	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2168         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	        36	-78        	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           48	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2169         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	      35.9	-77.883333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	DALE BONE C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2174         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     35.97	-77.968889 	03020101	               	              	        	                                                            	I31G1,100NA2174                         	/TYPA/AMBNT/WELL                                                 	           50	FEET                	 	G	none
21NC37GW	NA2176         	STANHOPE / SOUTHEAST / NEUSE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Nash                          	 35.861667	-78.073611 	03020101	               	              	        	                                                            	J32P2,100NA2176                         	/TYPA/AMBNT/WELL                                                 	           18	FEET                	 	G	none
21NC37GW	NA2177         	STAN HOPE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	     35.85	-78.116667 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	HAL PERRY C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2178         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.916667	-77.883333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	JULIAN DEMPSEY C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2179         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.916667	-77.883333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	JULIAN DEMPSEY C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2180         	RD 1710 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	 35.916667	-77.883333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           37	FEET                	 	G	JULIAN DEMPSEY C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2181         	CASTALIA / SOUTHEAST / TAR                                                                                                                                                    	NC DE&NR                 	North Carolina                	Nash                          	     36.05	-78.016667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           45	FEET                	 	G	BOBBY ANSTEAD C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2182         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	        36	-78        	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           38	FEET                	 	G	WAYNE MOORE C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2183         	CASTALIA / SOUTHEAST / TAR                                                                                                                                                    	NC DE&NR                 	North Carolina                	Nash                          	     36.05	-78.033333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           47	FEET                	 	G	LIZZIE DREWERY C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2184         	RED OAK / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	     36.15	-77.916667 	03020102	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           50	FEET                	 	G	BEN ARRINGTON C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2185         	NASHVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.833333	-78        	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           33	FEET                	 	G	ROBERT LEWIS, JR. C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2186         	CASTALIA / SOUTHEAST / TAR                                                                                                                                                    	NC DE&NR                 	North Carolina                	Nash                          	        36	-78        	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           42	FEET                	 	G	BEN LAYTON C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2187         	STAN HOPE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.833333	-78.166667 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           42	FEET                	 	G	ROBBIE PRICE C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2189         	BAILEY / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Nash                          	 35.816667	-78.05     	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           27	FEET                	 	G	ROBERT GRIFFIN C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2190         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.966667	-77.783333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           43	FEET                	 	G	WILLIE COOPER C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2192         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     35.95	-77.916667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           45	FEET                	 	G	BEN LAYTON C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2193         	MIDDLESEX / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.783333	-78.183333 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           47	FEET                	 	G	BEN LAYTON C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2194         	SR 1954 / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.816667	-78.05     	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          107	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2195         	SR 1524 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.833333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          353	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2196         	SR 1604 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.883333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          126	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2197         	SR 1152 / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.866667	-78.2      	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          210	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2198         	SR 1416 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	 36.066667	-77.966667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          133	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2199         	SIMS / SOUTHEAST / TAR                                                                                                                                                        	NC DE&NR                 	North Carolina                	Nash                          	 35.976389	-78.083333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           59	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2200         	SR 1411 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	   36.0625	-78.001389 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          107	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2201         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 36.033333	-77.783333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2202         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.866667	-77.95     	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          148	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2204         	MIDDLESEX / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.833333	-78.166667 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2206         	GOLD ROCK / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 36.083333	-77.75     	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          210	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2207         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.916667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          272	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2215         	SPRING HOPE / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	        36	-78.133333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          292	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2216         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     36.05	-77.966667 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          168	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2217         	SR 231 / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Nash                          	 35.833333	-78.233333 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          127	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2218         	SR 1305 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	 35.994444	-78.080556 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2219         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 36.006944	-77.855556 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          127	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2220         	SPRING HOPE / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	     35.85	-78        	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          312	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2221         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.833333 	03020101	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          127	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	NA2222         	ZEBULON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     35.85	-78.183333 	03020203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          107	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NCGWNW	NA1210         	RED OAK SR #1603 & 1604 / SOUTHEAST / TAR                                                                                                                                     	NC ENV. HTH. NAT. RES.   	North Carolina                	Nash                          	 36.009444	-77.903056 	03020101	               	              	        	                                                            	H30Y4,100NA1210                         	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1975 MEASURED MONTHLY AQUIFER WT
