Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114GBL 	3716           	WRIGHTSVILLE BEACH-WRIGHTSVILLE SOUND / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	USEPA HQ                 	North Carolina                	New Hanover                   	 34.208333	-77.794444 	03030001	            014	          8.33	OFF     	ONSLOW BAY                                                  	none                                    	/TYPA/AMBNT/ESTURY                                               	            0	FEET                	S	 	DATA FROM NATIONAL PESTICIDES MONITORING PROGRAM "ORGANOCHLORINE RESIDUES IN ESTUARINE MOLLUSCS, 1965-72" SAMPLE TAKEN FROM WRIGHTSVILLE BEACH-WRIGHTSVILLE SOUND IF CONTAMINENT WAS TESTED FOR BUT NOT DETECTED, IT IS STORED AS "K5.0", MEANING "LESS THAN THE DETECTION LIMIT OF 5".  IF A TRACE OF THE CONTAMINENT HAS BEEN DETECTED, IT IS STORED AS "J7.5", MEANING "APPROXIMATELY 7.5", BUT ACTUALLY MEANING "BETWEEN 5 AND 10 PPB".
1114PEST	370004A        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / RAW PROCESS WATER FR COMPANY DEEP WELL                                                                	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	               	              	        	                                                            	NC0001112 A,H001R/H2 HER                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370004B        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / TREATMENT PL EFFL@ 6 INCH PARSHALL FLUME                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	            014	         14.23	OFF     	ONSLOW BAY                                                  	NC0001112 B,H-001E   HER                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370004C        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / TRTMENT PL EFF@BASIN DWNSTRM OF CHLORNTN                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	            014	         14.23	OFF     	ONSLOW BAY                                                  	NC0001112 C,H-002E   HER                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370004D        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / FACILITY DRINKING WATER WELLS                                                                         	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	               	              	        	                                                            	NC0001112 D,HF-1     HER                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370004E        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / NPDES OUTFALL 001-COOLING WATER & RUNOFF                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	            014	         14.23	OFF     	ONSLOW BAY                                                  	NC0001112 E,HF-3     HER                	/TYPA/IND/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370004F        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / NPDES OUTFALL 002-PROCESS WATER EFFLUENT                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	            014	         14.23	OFF     	ONSLOW BAY                                                  	NC0001112 F,HF-4     HER                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370004G        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / DEWATERING WELL Z-2 WELL DEPTH 21-51 FT.                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	               	              	        	                                                            	NC0001112 G,HF-5     HER                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370004H        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / MONITORING WELL M-45 WELL DEPTH 40-45 FT                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	               	              	        	                                                            	NC0001112 H,HF-6     HER                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370004I        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / MONITORING WELL M-35 - DEPTH 30-35 FT.                                                                	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	               	              	        	                                                            	NC0001112 I,HF-7     HER                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370004J        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / MONITORING WELL M-25 DEPTH 20-25 FT.                                                                  	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	               	              	        	                                                            	NC0001112 J,HF-8     HER                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370004K        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / DEEP OBSERVATION WELL OB-3 DEPTH 700 FT.                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	               	              	        	                                                            	NC0001112 K,HF-9     HER                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370004L        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / DEEP OBSERVATION WELL OB-9 DEPTH 700 FT.                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	               	              	        	                                                            	NC0001112 L,HF-10    HER                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370004M        	HERCOFINA AT WILMINGTON NC TO CAPE FEAR RIVER / CAPE FEAR RIVER BASIN / SLUDGE FRM FACILITY SLUDGE DEWATER PRESS                                                              	USEPA REGION 4           	North Carolina                	New Hanover                   	     34.15	-77.85     	03030001	            014	         14.23	OFF     	ONSLOW BAY                                                  	NC0001112 M,HF-11    HER                	/TYPA/IND/INPLNT/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
1114PEST	370024A        	NEW HANOVER CNTY LANDFILL NEAR WILMINGTON NC / CAPE FEAR RIVER BASIN / WELL ON A KEMP PROPRTY DOWNGR OF LANDFLL                                                               	USEPA REGION 4           	North Carolina                	New Hanover                   	 34.273611	-77.821667 	03030007	               	              	        	                                                            	CC31/R53 NHC,R-53                       	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370024B        	NEW HANOVER CNTY LANDFILL NEAR WILMINGTON NC / CAPE FEAR RIVER BASIN / WELL ON CARTER PROPRTY DOWNGR OF LANDFLL                                                               	USEPA REGION 4           	North Carolina                	New Hanover                   	 34.273611	-77.821667 	03030007	               	              	        	                                                            	CC31/R57 NHC,R-57                       	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370024C        	NEW HANOVER CNTY LANDFILL NEAR WILMINGTON NC / CAPE FEAR RIVER BASIN / WELL ON YATES PROPERTY DOWNGR OF LANDFLL                                                               	USEPA REGION 4           	North Carolina                	New Hanover                   	 34.273611	-77.821667 	03030007	               	              	        	                                                            	CC31/R58 NHC,R-58                       	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370024D        	NEW HANOVER CNTY LANDFILL NEAR WILMINGTON NC / CAPE FEAR RIVER BASIN / WELL ON MALPASS PROPRTY DOWNGR OF LANDFL                                                               	USEPA REGION 4           	North Carolina                	New Hanover                   	 34.273611	-77.821667 	03030007	               	              	        	                                                            	CC31/R68 NHC,R-68                       	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370024E        	NEW HANOVER CNTY LANDFILL NEAR WILMINGTON NC / CAPE FEAR RIVER BASIN / WELL ON SMITH PROPRTY DOWNGR.OF LANDFILL                                                               	USEPA REGION 4           	North Carolina                	New Hanover                   	 34.273611	-77.821667 	03030007	               	              	        	                                                            	CC31/Q10 NHC,R-69                       	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370024F        	NEW HANOVER CNTY LANDFILL NEAR WILMINGTON NC / CAPE FEAR RIVER BASIN / STATE MONITOR WELL UPGRADIENT OF LANDFIL                                                               	USEPA REGION 4           	North Carolina                	New Hanover                   	 34.273611	-77.821667 	03030007	               	              	        	                                                            	Q-10                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
1114PEST	370024G        	NEW HANOVER CNTY LANDFILL NEAR WILMINGTON NC / CAPE FEAR RIVER BASIN / STATE MONITOR WELL DWNGRADIENT OF LNDFL                                                                	USEPA REGION 4           	North Carolina                	New Hanover                   	 34.273611	-77.821667 	03030007	               	              	        	                                                            	CC31/R36 NHC,R-36                       	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
