
New Hanover, NC
Number of Stations = 130


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	71    	105   	1977-11-08	1982-08-12	  1.04E+03  	  8.32E+02  	  2.34E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	10    	419   	1980-12-10	1998-12-03	  1.12E+01  	  9.90E+00  	  2.19E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	71    	105   	1977-11-08	1982-08-12	  1.98E+03  	  1.98E+03  	  1.98E+03
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	4     	24    	1998-03-10	1998-08-06	   .00E+00  	  6.00E-01  	  7.08E-02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	4     	402   	1996-02-19	1998-12-03	  1.00E+03  	  9.90E+01  	  9.59E+03
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	4     	4     	1981-08-11	1981-08-11	  1.30E+02  	  7.50E+01  	  7.64E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	4     	404   	1996-02-19	1998-12-03	   .00E+00  	  9.90E+00  	  5.57E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	4     	404   	1996-02-19	1998-12-03	   .00E+00  	  9.87E+01  	  6.06E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	5     	7     	1977-11-08	1982-08-11	  1.70E+01  	  4.90E+01  	  2.30E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	4     	6     	1977-11-08	1982-08-11	  1.10E+02  	  7.00E+01  	  1.12E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	6     	387   	1980-12-10	1998-12-03	  5.10E+00  	  8.10E+00  	  6.87E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	4     	116   	1996-07-09	1998-12-03	  5.80E+00  	  7.80E+00  	  6.79E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	4     	386   	1996-02-19	1998-12-03	   .00E+00  	  9.90E+00  	  5.74E+00
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	10    	40    	1977-11-08	1998-12-03	  1.00E+01  	  8.00E+00  	  1.54E+01
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	4     	116   	1996-07-09	1998-12-03	  1.00E+00  	  9.60E-01  	  1.22E+00
