Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
12NSS   	3B070058L      	RAMSEY CREEK /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Northampton                   	 36.391389	-77.348611 	03010204	               	              	        	                                                            	3B03B070058L                            	/TYPA/AMBNT/STREAM                                               	            3	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	3B070058U      	RAMSEY CREEK /  /                                                                                                                                                             	EPA ENVIRONMENTAL RES LAB	North Carolina                	Northampton                   	 36.465556	-77.445278 	03010204	               	              	        	                                                            	3B03B070058U                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	3B070059L      	NO NAME /  /                                                                                                                                                                  	EPA ENVIRONMENTAL RES LAB	North Carolina                	Northampton                   	 36.374722	-77.210556 	03010204	               	              	        	                                                            	3B03B070059L                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	3B070059U      	NO NAME /  /                                                                                                                                                                  	EPA ENVIRONMENTAL RES LAB	North Carolina                	Northampton                   	 36.403889	-77.208611 	03010204	               	              	        	                                                            	3B03B070059U                            	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
21NC37GW	NO1024         	SEVERN / SOUTHEAST / CHOWAN                                                                                                                                                   	NC DE&NR                 	North Carolina                	Northampton                   	 36.522778	-77.183056 	03010204	               	              	        	                                                            	B22T1,100NO1024                         	/TYPA/AMBNT/WELL                                                 	            9	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1971 AQUIFER WT
21NC37GW	NO1027         	SEVERN / SOUTHEAST / CHOWAN                                                                                                                                                   	NC DE&NR                 	North Carolina                	Northampton                   	 36.513333	-77.187222 	03010204	               	              	        	                                                            	B22V1,100NO1027                         	/TYPA/AMBNT/WELL                                                 	          258	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1966 AQUIFER KT
21NC37GW	NO1127         	GARYSBURG / SOUTHEAST / ROANOKE                                                                                                                                               	NC DE&NR                 	North Carolina                	Northampton                   	 36.455556	-77.564444 	03010107	               	              	        	                                                            	C36N2                                   	/TYPA/AMBNT/WELL                                                 	           45	FEET                	 	G	none
21NC37GW	NO1189         	JACKSON / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Northampton                   	 36.395833	-77.42     	03010204	               	              	        	                                                            	D25J1,100NO1189                         	/TYPA/AMBNT/WELL                                                 	          233	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1964 AQUIFER KT
21NC37GW	NO1192         	JACKSON / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Northampton                   	 36.398889	-77.422778 	03010204	               	              	        	                                                            	D25J4,100NO1192                         	/TYPA/AMBNT/WELL                                                 	           47	FEET                	 	G	WATER LEVEL MONITORING NETWORK SINCE 1964 AQUIFER MY
