
Northampton, NC
Number of Stations = 36


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	2     	367   	1968-02-26	1998-12-02	   .00E+00  	  5.00E+00  	  4.97E+01
00005	VSAMPLOC DEPTH    % OF TOT	X-SEC. LOC., VERTICAL (PERCENT OF TOTAL DEPTH)    	1     	96    	1968-02-26	1978-04-19	   .00E+00  	  5.00E+01  	  4.84E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	6     	663   	1968-02-26	1998-12-02	  1.00E+01  	  9.90E+00  	  1.61E+01
00041	WEATHER  WMO CODE 4501    	WEATHER (WMO CODE 4501)                           	2     	457   	1968-02-26	1998-12-02	  1.00E+00  	  3.00E+00  	  2.21E+00
00054	RESVOIR  STORAGE  AC-FT   	RESERVOIR STORAGE - ACRE FEET                     	1     	1     	1981-02-03	1981-02-03	  5.00E+00  	  5.00E+00  	  5.00E+00
00057	IND OF   FLOW     CHECKED 	FLOW, INDICATES IT HAS BEEN CHECKED               	1     	101   	1968-02-26	1979-01-11	   .00E+00  	   .00E+00  	   .00E+00
00060	STREAM   FLOW     CFS     	FLOW, STREAM, MEAN DAILY                       CFS	1     	93    	1968-02-26	1977-08-17	  1.01E+02  	  9.92E+01  	  1.36E+03
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	1     	27    	1979-08-01	1980-07-30	  1.01E+03  	  9.20E+02  	  1.18E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	4     	8     	1986-03-18	1986-04-02	  1.31E+00  	  6.60E-01  	  1.27E+00
00067	TIDE     STAGE    CODE    	TIDE STAGE (REFER TO APPENDIX FOR CODES)          	2     	19    	1968-08-29	1988-10-27	  1.00E+00  	  4.00E+00  	  2.37E+00
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	2     	41    	1971-04-26	1992-06-02	  1.00E+01  	  9.10E+01  	  1.98E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	1     	53    	1994-07-19	1998-12-02	  1.00E+01  	  9.80E+00  	  1.69E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	5     	31    	1986-03-18	1993-03-01	  1.00E+02  	  9.50E+01  	  1.36E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	2     	269   	1979-06-19	1998-12-02	   .00E+00  	  9.95E+01  	  9.31E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	5     	118   	1986-03-18	1998-12-02	  1.00E+02  	  9.77E+01  	  9.33E+01
00096	SALINITY AT 25C   MG/ML   	SALINITY AT 25 DEGREES C (MG/ML)                  	1     	78    	1992-06-30	1998-12-02	   .00E+00  	  1.00E-01  	  3.85E-03
00116	INTNSVE  SURVEY   IDENT   	INTENSIVE SURVEY IDENTIFICATION NUMBER            	2     	336   	1979-07-10	1986-03-19	  7.95E+05  	  7.95E+05  	  7.95E+05
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	5     	87    	1986-03-18	1998-12-02	  1.02E+01  	  9.70E+00  	  8.22E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	2     	570   	1968-02-26	1992-06-02	  1.00E+01  	  9.90E+00  	  9.22E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	6     	651   	1968-02-26	1998-12-02	  1.00E+02  	  9.93E+01  	  8.72E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	2     	310   	1968-10-01	1998-12-02	  1.00E+00  	  5.90E+00  	  1.49E+00
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	2     	189   	1979-06-19	1998-12-02	  1.00E+01  	  9.60E+00  	  2.00E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	2     	628   	1968-02-26	1998-12-02	  4.78E+00  	  9.10E+00  	  7.23E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	6     	231   	1968-04-30	1998-12-02	  4.76E+00  	  7.75E+00  	  6.69E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	4     	8     	1986-03-18	1986-04-02	  1.31E+02  	 -2.33E+01  	  1.72E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	2     	222   	1968-02-26	1998-12-02	  1.00E+01  	  9.74E+00  	  2.08E+01
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	4     	8     	1986-03-18	1986-04-02	  1.02E+01  	  8.93E+00  	  1.04E+01
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	1     	42    	1988-02-02	1992-06-02	   .00E+00  	  8.00E+01  	  1.90E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	2     	143   	1968-02-26	1998-12-02	  1.00E+02  	  9.90E+01  	  1.03E+02
00505	RESIDUE  TOT VOL  MG/L    	RESIDUE, TOTAL VOLATILE (MG/L)                    	2     	142   	1968-02-26	1998-12-02	   .00E+00  	  8.00E+00  	  3.96E+01
00510	RESIDUE  TOT FIX  MG/L    	RESIDUE, TOTAL FIXED (MG/L)                       	2     	140   	1968-02-26	1998-12-02	  1.00E+02  	  9.90E+01  	  6.98E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	2     	245   	1968-02-26	1998-12-02	   .00E+00  	  9.00E+00  	  1.79E+01
00535	RESIDUE  VOL NFLT MG/L    	RESIDUE, VOLATILE NONFILTRABLE (MG/L)             	2     	247   	1968-02-26	1998-12-02	   .00E+00  	  9.00E+00  	  5.68E+00
00540	RESIDUE  FIX NFLT MG/L    	RESIDUE, FIXED NONFILTRABLE (MG/L)                	2     	243   	1968-02-26	1998-12-02	   .00E+00  	  9.00E+00  	  1.32E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	2     	422   	1970-02-18	1998-12-02	  1.00E-01  	  1.00E-02  	  3.46E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	2     	392   	1970-02-18	1998-12-02	  1.95E-06  	  9.79E-04  	  6.50E-04
00613	NO2-N    DISS     MG/L    	NITRITE NITROGEN, DISSOLVED (MG/L AS N)           	2     	99    	1985-02-27	1992-06-02	  1.00E-02  	  6.00E-02  	  1.18E-02
00615	NO2-N    TOTAL    MG/L    	NITRITE NITROGEN, TOTAL (MG/L AS N)               	2     	421   	1970-02-18	1998-12-02	  1.00E-02  	  1.00E-02  	  1.28E-02
00618	NO3-N    DISS     MG/L    	NITRATE NITROGEN, DISSOLVED (MG/L AS N)           	2     	99    	1985-02-27	1992-06-02	  1.00E-01  	  9.00E-02  	  1.88E-01
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	2     	392   	1970-02-18	1998-12-02	  1.00E-03  	  9.91E-04  	  7.91E-04
00620	NO3-N    TOTAL    MG/L    	NITRATE NITROGEN, TOTAL (MG/L AS N)               	2     	398   	1970-02-18	1998-12-02	   .00E+00  	  1.00E-02  	  1.88E-01
00623	KJELDL N DISS     MG/L    	NITROGEN, KJELDAHL, DISSOLVED (MG/L AS N)         	2     	99    	1985-02-27	1992-06-02	  2.00E-01  	  9.00E-01  	  5.02E-01
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	2     	420   	1970-02-18	1998-12-02	  1.00E+00  	  1.00E-01  	  4.45E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	1     	24    	1976-07-05	1979-05-16	  1.00E-01  	  1.00E-01  	  1.50E-01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	2     	350   	1979-06-19	1998-12-02	  1.00E-01  	  9.00E-02  	  9.70E-02
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	6     	106   	1985-02-27	1992-06-02	  1.00E-01  	  9.00E-02  	  5.58E-02
00671	PHOS-DIS ORTHO    MG/L P  	PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)  	2     	273   	1979-06-19	1992-06-02	  1.00E-01  	  9.00E-02  	  5.07E-02
00680	T ORG C  C        MG/L    	CARBON, TOTAL ORGANIC (MG/L AS C)                 	2     	200   	1979-06-19	1996-09-04	   .00E+00  	  9.80E+00  	  8.36E+00
00681	D ORG C  C        MG/L    	CARBON, DISSOLVED ORGANIC (MG/L AS C)             	4     	8     	1986-03-18	1986-04-02	  1.36E+01  	  9.37E+00  	  1.75E+01
00691	D IORG C C        MG/L    	CARBON, DISSOLVED INORGANIC (MG/L AS C)           	4     	8     	1986-03-18	1986-04-02	  1.66E+00  	  6.02E+00  	  4.03E+00
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	1     	116   	1988-12-01	1998-12-02	  1.20E+01  	  7.20E+01  	  2.93E+01
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	4     	8     	1986-03-18	1986-04-02	  2.59E+00  	  8.36E+00  	  5.56E+00
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	4     	8     	1986-03-18	1986-04-02	  1.05E+00  	  3.00E+00  	  1.78E+00
00930	SODIUM   NA,DISS  MG/L    	SODIUM, DISSOLVED (MG/L AS NA)                    	4     	8     	1986-03-18	1986-04-02	  3.45E+00  	  6.90E+00  	  4.76E+00
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	4     	8     	1986-03-18	1986-04-02	  1.43E+00  	  2.64E+00  	  2.14E+00
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	2     	114   	1970-02-18	1998-12-02	  1.02E+01  	  9.90E+00  	  8.85E+00
00941	CHLORIDE DISS IN  WTR MG/L	CHLORIDE, DISSOLVED IN WATER           MG/L       	4     	8     	1986-03-18	1986-04-02	  1.04E+01  	  9.87E+00  	  9.97E+00
00945	SULFATE  SO4-TOT  MG/L    	SULFATE, TOTAL (MG/L AS SO4)                      	1     	113   	1988-12-01	1998-12-02	  1.08E+01  	  9.20E+00  	  6.64E+00
00946	SULFATE  S04-DISS MG/L    	SULFATE, DISSOLVED (MG/L AS SO4)                  	4     	8     	1986-03-18	1986-04-02	  4.66E+00  	  9.30E-01  	  4.68E+00
00950	FLUORIDE F,DISS   MG/L    	FLUORIDE, DISSOLVED (MG/L AS F)                   	4     	8     	1986-03-18	1986-04-02	  1.00E-01  	  9.00E-02  	  8.13E-02
00951	FLUORIDE F,TOTAL  MG/L    	FLUORIDE, TOTAL (MG/L AS F)                       	1     	45    	1988-12-01	1993-01-04	  1.00E-01  	  5.00E-02  	  1.41E-01
00955	SILICA   DISOLVED MG/L    	SILICA, DISSOLVED (MG/L AS SI02)                  	5     	47    	1986-03-18	1993-02-04	  1.07E+01  	  8.30E-01  	  1.48E+01
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	2     	24    	1971-03-21	1997-05-13	  1.00E+01  	  9.00E+00  	  4.37E+00
01003	ARSENIC  SEDMG/KG DRY WGT 	ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)  	2     	4     	1980-06-09	1993-06-01	  1.10E+00  	  5.00E+00  	  2.45E+00
01012	BERYLIUM BE,TOT   UG/L    	BERYLLIUM, TOTAL (UG/L AS BE)                     	2     	4     	1984-04-02	1991-06-04	  1.00E+01  	  2.50E+00  	  3.63E+00
01013	BERYLIUM SEDMG/KG DRY WGT 	BERYLLIUM IN BOTTOM DEPOSITS(MG/KG AS BE DRY WGT) 	1     	1     	1993-06-01	1993-06-01	  5.00E+00  	  5.00E+00  	  5.00E+00
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	2     	28    	1971-04-26	1997-05-13	  1.00E+01  	  1.00E+00  	  7.36E+00
01028	CD MUD   DRY WGT  MG/KG-CD	CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	2     	4     	1980-06-09	1993-06-01	  1.10E-01  	  5.00E+00  	  1.37E+00
01029	CHROMIUM SEDMG/KG DRY WGT 	CHROMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT) 	2     	4     	1980-06-09	1993-06-01	  4.30E+00  	  7.80E+00  	  5.42E+00
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	2     	35    	1970-04-16	1997-05-13	  1.00E+01  	  1.00E+01  	  1.15E+01
01042	COPPER   CU,TOT   UG/L    	COPPER, TOTAL (UG/L AS CU)                        	2     	38    	1970-04-16	1997-05-13	  1.00E+01  	  1.00E+01  	  1.96E+02
01043	COPPER   SEDMG/KG DRY WGT 	COPPER IN BOTTOM DEPOSITS (MG/KG AS CU DRY WGT)   	2     	4     	1980-06-09	1993-06-01	  1.33E+00  	  9.00E-01  	  2.66E+00
01045	IRON     FE,TOT   UG/L    	IRON, TOTAL (UG/L AS FE)                          	2     	107   	1970-06-30	1997-05-13	  1.00E+04  	  9.90E+02  	  1.36E+03
01051	LEAD     PB,TOT   UG/L    	LEAD, TOTAL (UG/L AS PB)                          	2     	36    	1970-06-30	1997-05-13	  1.00E+01  	  1.00E+01  	  1.19E+01
01052	LEAD     SEDMG/KG DRY WGT 	LEAD IN BOTTOM DEPOSITS (MG/KG AS PB DRY WGT)     	2     	4     	1980-06-09	1993-06-01	  1.01E+01  	  5.00E+00  	  5.28E+00
01055	MANGNESE MN       UG/L    	MANGANESE, TOTAL (UG/L AS MN)                     	2     	109   	1970-04-16	1997-05-13	  1.00E+02  	  9.00E+01  	  1.38E+02
01056	MANGNESE MN,DISS  UG/L    	MANGANESE, DISSOLVED (UG/L AS MN)                 	4     	8     	1986-03-18	1986-04-02	  1.70E+01  	  9.19E+01  	  7.31E+01
01059	THALLIUM TL,TOTAL UG/L    	THALLIUM, TOTAL (UG/L AS TL)                      	2     	4     	1984-04-02	1991-06-04	  1.00E+01  	  5.00E+00  	  4.25E+00
01065	NICKEL   NI,DISS  UG/L    	NICKEL, DISSOLVED (UG/L AS NI)                    	1     	12    	1973-01-03	1978-10-24	  1.00E+02  	  1.00E+01  	  7.75E+01
01067	NICKEL   NI,TOTAL UG/L    	NICKEL, TOTAL (UG/L AS NI)                        	2     	12    	1981-01-27	1997-05-13	  1.00E+02  	  5.00E+00  	  2.79E+01
01068	NICKEL   SEDMG/KG DRY WGT 	NICKEL, TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	2     	4     	1980-06-09	1993-06-01	  1.10E+00  	  5.00E+00  	  2.18E+00
01078	SILVER   SEDMG/KG DRY WGT 	SILVER IN BOTTOM DEPOSITS (MG/KG AS AG DRY WGT)   	1     	1     	1993-06-01	1993-06-01	  5.00E+00  	  5.00E+00  	  5.00E+00
01092	ZINC     ZN,TOT   UG/L    	ZINC, TOTAL (UG/L AS ZN)                          	2     	37    	1970-04-16	1997-05-13	  1.00E+01  	  1.00E+01  	  2.07E+01
