Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370180A        	MASON FARM STP AT CHAPEL HILL NC TO MORGAN CREEK / CAPE FEAR RIVER BASIN / DIGESTER SLUDGE                                                                                    	USEPA REGION 4           	North Carolina                	Orange                        	     35.91	-79.06                                   	 126000E-2  	 	03030002	00008	1981-04-15	      1630	          	        	            	        	                	  	                     	B 	                                                            	
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972                               	 350000E-5  	 	03030002	00010	1981-12-16	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972                               	 500000E-6  	 	03030002	00010	1982-01-12	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972                               	 500000E-5  	 	03030002	00010	1982-02-10	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972                               	 980000E-5  	 	03030002	00010	1982-03-17	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972                               	 700000E-5  	 	03030002	00010	1982-04-07	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972                               	 150000E-4  	 	03030002	00010	1982-04-21	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972                               	 150000E-4  	 	03030002	00010	1982-05-04	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972                               	 238000E-4  	 	03030002	00010	1982-06-01	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
