Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370180A        	MASON FARM STP AT CHAPEL HILL NC TO MORGAN CREEK / CAPE FEAR RIVER BASIN / DIGESTER SLUDGE                                                                                    	USEPA REGION 4           	North Carolina                	Orange                        	     35.91	-79.06     	03030002	               	              	        	                                                            	NC0025241 A,CH-DS    MAS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
121WILEN	BEJNH13        	   ORANGE CO 1110 @ LITTLE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                            	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.887139	-78.984972 	03030002	               	              	        	                                                            	37063                                   	/TYPA/AMBNT/STREAM/BACK                                          	          100	FEET                	S	 	B EVERETT JORDAN LAKE POST-IMP(1SEP81)MONITORING PGM
121WILEN	BEJNH5         	   DURHAM CO 1107 @ NEW HOPE CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                          	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.884806	-78.965889 	03030002	            007	          5.24	OFF     	NEW HOPE CR                                                 	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	          100	FEET                	S	 	B EVERETT JORDAN LAKE POST-IMP(1SEP81)MONITORING PGM
121WILEN	NH-1           	BRG @ RD MASON FARM STP, CHAPEL HILL SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                      	CORPS OF ENGINEERS       	North Carolina                	Orange                        	 35.898889	-79.026333 	03030002	            008	          8.63	OFF     	MORGAN CR                                                   	none                                    	/TYPA/AMBNT/STREAM/BACK                                          	            0	FEET                	S	 	WEISS PRE-IMP WQ DATA (74-76) LOWER HAW & NEW HOPE RIVERS
21NC37GW	OR1035         	HILLSBOROUGH / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Orange                        	 36.173611	-78.978611 	03020201	               	              	        	                                                            	F43X1,100OR1035                         	/TYPA/AMBNT/WELL                                                 	           83	FEET                	 	G	GROUNDWATER MONITORING NETWORK SINCE 1972 AQUIFER MVCC
21NC37GW	OR2428         	LITTLE RIVER TOWNSHIP / SOUTHEAST / NEUSE                                                                                                                                     	NC DE&NR                 	North Carolina                	Orange                        	     36.15	-78.983333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2429         	HILLSBOROUGH / SOUTHEAST / CAPE FEAR                                                                                                                                          	NC DE&NR                 	North Carolina                	Orange                        	 36.016667	-78.983333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          225	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2430         	CHAPEL HILL / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Orange                        	 35.916667	-79        	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          140	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2434         	ROXBORO / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Orange                        	 36.216667	-79.016667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2435         	HILLSBOROUGH / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Orange                        	 36.166667	-79.083333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2437         	CHAPEL HILL / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Orange                        	      35.9	-79.066667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2438         	HILLSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                             	NC DE&NR                 	North Carolina                	Orange                        	        36	-79.166667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          150	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2439         	HILLSBOROUGH / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Orange                        	 36.158333	-79.004167 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2440         	MEBANE / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Orange                        	 36.059722	-79.225    	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2441         	MEBANE / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Orange                        	 36.154167	-79.2125   	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2442         	HILLSBOROUGH / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Orange                        	 36.099444	-79.0875   	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2443         	SR 1543 / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Orange                        	   36.1875	-79.041667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          230	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2444         	HILLSBOROUGH / SOUTHEAST / CAPE FEAR                                                                                                                                          	NC DE&NR                 	North Carolina                	Orange                        	 36.006944	-79.077778 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          500	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2445         	EFLAND / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Orange                        	 36.083333	-79.166667 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2446         	CHAPEL HILL / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Orange                        	 35.901389	-79.061111 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2447         	HILLSBOROUGH / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Orange                        	 36.083333	-79.083333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2448         	MEBANE / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Orange                        	 36.119444	-79.229167 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2449         	CARRBORO / SOUTHEAST / CAPE FEAR                                                                                                                                              	NC DE&NR                 	North Carolina                	Orange                        	 35.915278	-79.131944 	03030002	               	              	        	                                                            	J45C                                    	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2590         	MEBANE / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Orange                        	 35.976389	-79.229722 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          320	FEET                	 	G	GEORGE WORKMAN CONST. CO. C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2591         	HILLSBOROUGH / SOUTHEAST / NEUSE                                                                                                                                              	NC DE&NR                 	North Carolina                	Orange                        	 36.154167	-78.975    	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          140	FEET                	 	G	RICHARD V. COOLEY C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2592         	CHAPEL HILL / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Orange                        	 35.868056	-79.008333 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          130	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2593         	ROUGEMONT / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Orange                        	 36.166667	-79        	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2594         	DURHAM / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Orange                        	 36.083333	-78.983333 	03020201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	OR2595         	CHAPEL HILL / SOUTHEAST / CAPE FEAR                                                                                                                                           	NC DE&NR                 	North Carolina                	Orange                        	    35.875	-79.069444 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          185	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
