
Orange, NC
Number of Stations = 56


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	1     	1     	1981-04-15	1981-04-15	  1.26E+03  	  1.26E+03  	  1.26E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	3     	53    	1974-04-24	1982-11-03	  1.00E+00  	  9.80E+00  	  1.46E+01
00020	AIR      TEMP     CENT    	TEMPERATURE, AIR (DEGREES CENTIGRADE)             	2     	26    	1981-12-16	1982-11-03	   .00E+00  	 -3.50E+00  	  1.69E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	1     	1     	1981-04-15	1981-04-15	  1.98E+03  	  1.98E+03  	  1.98E+03
00060	STREAM   FLOW     CFS     	FLOW, STREAM, MEAN DAILY                       CFS	2     	26    	1981-12-16	1982-11-03	  1.00E+00  	  8.20E+01  	  7.16E+01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	1     	27    	1974-04-24	1976-06-21	  1.00E+01  	  9.40E+01  	  2.27E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	2     	26    	1981-12-16	1982-11-03	  1.00E+01  	  9.60E+01  	  4.52E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	2     	26    	1981-12-16	1982-11-03	  1.03E+02  	  9.40E+01  	  1.26E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	3     	53    	1974-04-24	1982-11-03	  1.00E+02  	  9.90E+01  	  1.33E+02
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	26    	1981-12-16	1982-11-03	  1.00E+01  	  9.60E+00  	  6.72E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	27    	1974-04-24	1976-06-21	  1.00E+01  	  9.50E+00  	  8.93E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	3     	53    	1974-04-24	1982-11-03	  1.01E+02  	  9.64E+01  	  7.38E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	1     	27    	1974-04-24	1976-06-21	  1.30E+00  	  7.00E-01  	  2.32E+00
00315	BOD      7 DAY    MG/L    	BOD, 7 DAY, 20 DEG C                          MG/L	2     	4     	1982-05-04	1982-09-15	  1.20E+00  	  7.00E-01  	  1.13E+00
00400	PH        SU              	PH (STANDARD UNITS)                               	3     	53    	1974-04-24	1982-11-03	  5.80E+00  	  7.40E+00  	  6.78E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	2     	26    	1981-12-16	1982-11-03	  1.38E+01  	  6.44E+01  	  3.38E+01
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	1     	26    	1974-04-24	1976-06-21	  1.04E+01  	  8.00E+00  	  2.90E+01
00515	RESIDUE  DISS-105 C MG/L  	RESIDUE, TOTAL FILTRABLE  (DRIED AT 105C),MG/L    	2     	14    	1981-12-16	1982-05-04	  1.10E+02  	  9.90E+01  	  1.11E+02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	2     	26    	1981-12-16	1982-11-03	  1.00E+01  	  8.00E+00  	  2.69E+01
00592	TOTINORG N WTM G  F/F MG/L	NITROGEN,INORGANIC,TOTAL CALC,WHATMAN GF/F MG/L N 	2     	31    	1981-12-16	1982-11-03	  1.00E-01  	  9.80E-01  	  1.85E+00
00593	NO2&NO3- N TOTWTM GF/FMG/L	NO2 & NO3-N,TOTAL,WHATMAN GF/F FILTERED MG/L      	2     	31    	1981-12-16	1982-11-03	  1.00E+00  	  9.60E-01  	  1.12E+00
00594	AMMONIA- N DISS   WTM GF/F	NH3 & NH4-N,DISS,WHATMAN GF/F FILTERED MG/L       	2     	31    	1981-12-16	1982-11-03	  1.00E+00  	  9.70E-01  	  1.23E+00
