Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 240000E-4  	 	03020204	00010	1995-06-23	      1230	          	        	         .98	        	                	  	                     	B 	                                                            	
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 230000E-4  	 	03020204	00010	1995-06-23	      1225	          	        	           2	        	                	  	                     	B 	                                                            	
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 230000E-4  	 	03020204	00010	1995-06-23	      1215	          	        	           4	        	                	  	                     	B 	                                                            	
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 230000E-4  	 	03020204	00010	1995-06-23	      1220	          	        	        2.98	        	                	  	                     	B 	                                                            	
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 260000E-4  	 	03020204	00010	1995-06-26	      1225	          	        	         .98	        	                	  	                     	B 	                                                            	
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 255000E-4  	 	03020204	00010	1995-06-26	      1220	          	        	           2	        	                	  	                     	B 	                                                            	
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 245000E-4  	 	03020204	00010	1995-06-26	      1215	          	        	        2.98	        	                	  	                     	B 	                                                            	
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 270000E-4  	 	03020204	00010	1995-07-20	      1600	          	        	        2.98	        	                	  	                     	B 	                                                            	
21NCLNBA	J9770000       	SMITH CREEK AT BLACKWELL PT AT ORIENTAL NC / SOUTHEAST / NEUSE                                                                                                                	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pamlico                       	 35.026389	-76.701389                               	 280000E-4  	 	03020204	00010	1995-07-20	      1555	          	        	           2	        	                	  	                     	B 	                                                            	
