Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114GBL 	3705           	BAY RIVER / SOUTHEAST / NORTH CAROLINA COASTAL AREA                                                                                                                           	USEPA HQ                 	North Carolina                	Pamlico                       	 35.183333	-76.583333 	03020105	            008	         99.25	OFF     	PAMLICO SOUND                                               	none                                    	/TYPA/AMBNT/ESTURY                                               	            0	FEET                	S	 	DATA FROM NATIONAL PESTICIDES MONITORING PROGRAM "ORGANOCHLORINE RESIDUES IN ESTUARINE MOLLUSCS, 1965-72" SAMPLE TAKEN FROM BAY RIVER IF CONTAMINENT WAS TESTED FOR BUT NOT DETECTED, IT IS STORED AS "K5.0", MEANING "LESS THAN THE DETECTION LIMIT OF 5".  IF A TRACE OF THE CONTAMINENT HAS BEEN DETECTED, IT IS STORED AS "J7.5", MEANING "APPROXIMATELY 7.5", BUT ACTUALLY MEANING "BETWEEN 5 AND 10 PPB".
21NC37GW	PA1018         	LOWLAND / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Pamlico                       	    35.185	-76.828611 	03020105	               	              	        	                                                            	Q14R1,100PA1018                         	/TYPA/AMBNT/WELL                                                 	          802	FEET                	 	G	none
21NC37GW	PA1024         	HOBUCKEN, B/W NC33 & INTRAWATER N OF NC 304 / SOUTHEAST / NEUSE RIVER                                                                                                         	NC DE&NR                 	North Carolina                	Pamlico                       	 35.255278	-76.595278 	03020104	               	              	        	                                                            	Q15U5,100PA1024                         	/TYPA/AMBNT/WELL                                                 	          740	FEET                	 	G	none
21NC37GW	PA1025         	HOBUCKEN,B/W NC33 &INTRAWATERWAY N OF NC304 / SOUTHEAST / NEUSE RIVER                                                                                                         	NC DE&NR                 	North Carolina                	Pamlico                       	 35.255278	-76.595278 	03020104	               	              	        	                                                            	Q15U3,100PA1025                         	/TYPA/AMBNT/WELL                                                 	          570	FEET                	 	G	none
21NC37GW	PA1031         	HOBUCKEN, B/W NC33 & INTRA WATERWAY N OF NC304 / SOUTHEAST / NEUSE RIVER                                                                                                      	NC DE&NR                 	North Carolina                	Pamlico                       	 35.255278	-76.595278 	03020104	               	              	        	                                                            	Q15U2,100PA1031                         	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21NC37GW	PA1039         	BAYBORO / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Pamlico                       	    35.185	-76.828611 	03020105	               	              	        	                                                            	R17P1,100PA1039                         	/TYPA/AMBNT/WELL                                                 	          248	FEET                	 	G	none
21NC37GW	PA1065         	GRANSBORO / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Pamlico                       	 35.124444	-76.840833 	03020204	               	              	        	                                                            	S18K1,100PA1065                         	/TYPA/AMBNT/WELL                                                 	          220	FEET                	 	G	none
21NC37GW	PA1073         	ARAPAHOE STATION. 100 YDS OFF NC306 NEAR SR1100 / SOUTHEAST / NEUSE RIVER                                                                                                     	NC DE&NR                 	North Carolina                	Pamlico                       	 35.085556	-76.835556 	03020204	               	              	        	                                                            	S18U4,100PA1073                         	/TYPA/AMBNT/WELL                                                 	          780	FEET                	 	G	none
21NC37GW	PA1075         	GRANTSBORO / SOUTHEAST / NEUSE                                                                                                                                                	NC DE&NR                 	North Carolina                	Pamlico                       	 35.085556	-76.835556 	03020204	               	              	        	                                                            	S18U6,100PA1075                         	/TYPA/AMBNT/WELL                                                 	          224	FEET                	 	G	none
