
Pamlico, NC
Number of Stations = 57


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	1     	119   	1995-06-23	1998-09-29	  1.58E+01  	  3.11E+01  	  2.65E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	1     	6     	1998-06-08	1998-09-11	  3.10E+01  	  4.80E+01  	  3.67E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	1     	20    	1995-06-23	1997-09-19	  4.00E-01  	  9.00E-01  	  6.75E-01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	7     	146   	1972-03-22	1998-09-29	  1.00E+04  	  9.50E+02  	  1.31E+04
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	119   	1995-06-23	1998-09-29	  1.05E+01  	  9.60E+00  	  6.79E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	1     	119   	1995-06-23	1998-09-29	  1.01E+02  	  9.88E+01  	  8.31E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	7     	125   	1972-03-22	1998-09-29	  5.90E+00  	  8.80E+00  	  7.74E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	1     	22    	1995-06-23	1997-09-19	  6.30E+00  	  8.60E+00  	  7.80E+00
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	6     	6     	1972-03-22	1975-10-16	  3.20E+02  	  4.50E+02  	  4.11E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	3     	3     	1972-03-22	1975-10-16	   .00E+00  	  1.00E+00  	  3.33E-01
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	1     	113   	1995-06-23	1998-09-29	  1.00E+01  	  9.50E+00  	  1.01E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	1     	28    	1995-06-23	1998-09-29	  1.00E+01  	  9.00E+00  	  2.01E+01
