Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	PK1074         	FORESTRY E.CITY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                              	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.347278	-76.275028                               	 200000E-4  	 	03010205	00010	1975-04-23	      2500	          	        	         500	        	                	  	                     	B 	                                                            	
21NC37GW	PK1080         	FORESTRY E.CITY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                              	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.347222	-76.276944                               	 200000E-4  	 	03010205	00010	1975-04-29	      2500	          	        	         130	        	                	  	                     	B 	                                                            	
21NC37GW	PK1081         	FORESTRY HDQTRS E. CITY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                      	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.347278	-76.275056                               	 167000E-4  	 	03010205	00010	1975-05-14	      2500	          	        	          65	        	                	  	                     	B 	                                                            	
21NC37GW	PK1083         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395333                               	 250000E-4  	 	03010205	00010	1975-06-12	      2500	          	        	        1530	        	                	  	                     	B 	                                                            	
21NC37GW	PK1084         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395361                               	 220000E-4  	 	03010205	00010	1975-06-19	      2500	          	        	        1530	        	                	  	                     	B 	                                                            	
21NC37GW	PK1085         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395389                               	 230000E-4  	 	03010205	00010	1975-06-26	      2500	          	        	        1530	        	                	  	                     	B 	                                                            	
21NC37GW	PK1086         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395417                               	 180000E-4  	 	03010205	00010	1975-07-17	      2500	          	        	        1530	        	                	  	                     	B 	                                                            	
21NC37GW	PK1087         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PAQUOTANK                                                                                                                	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395444                               	 189000E-4  	 	03010205	00010	1975-07-24	      2500	          	        	        1530	        	                	  	                     	B 	                                                            	
21NC37GW	PK1088         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395472                               	 194000E-4  	 	03010205	00010	1975-08-20	      2500	          	        	        1530	        	                	  	                     	B 	                                                            	
