Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	PK1039         	WEEKSVILLE / SOUTHEAST / CHOWAN                                                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.265556	-76.176111 	03010205	               	              	        	                                                            	E10U1,100PK1039                         	/TYPA/AMBNT/WELL                                                 	          126	FEET                	 	G	none
21NC37GW	PK1053         	ELIZABETH CITY / SOUTHEAST / CHOWAN                                                                                                                                           	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.309167	-76.291667 	03010205	               	              	        	                                                            	E11I1,100PK1053                         	/TYPA/AMBNT/WELL                                                 	          113	FEET                	 	G	none
21NC37GW	PK1073         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437222	-76.395333 	03010205	               	              	        	                                                            	C12R2,100PK1073                         	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	PK1074         	FORESTRY E.CITY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                              	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.347278	-76.275028 	03010205	               	              	        	                                                            	D11V5A                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	PK1079         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395306 	03010205	               	              	        	                                                            	C12R3A                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 1459'-1469'
21NC37GW	PK1080         	FORESTRY E.CITY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                              	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.347222	-76.276944 	03010205	               	              	        	                                                            	D11V5,100PK1080                         	/TYPA/AMBNT/WELL                                                 	          130	FEET                	 	G	none
21NC37GW	PK1081         	FORESTRY HDQTRS E. CITY RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                      	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.347278	-76.275056 	03010205	               	              	        	                                                            	D11V6A                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	PK1083         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395333 	03010205	               	              	        	                                                            	C13R3B                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 1300'-1310'
21NC37GW	PK1084         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395361 	03010205	               	              	        	                                                            	C12R3C                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 1133'-1143'
21NC37GW	PK1085         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395389 	03010205	               	              	        	                                                            	C12R3D                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 1004'-1014'
21NC37GW	PK1086         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395417 	03010205	               	              	        	                                                            	C12R3E                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST. SCREENED INTERVAL 802'-812'.
21NC37GW	PK1087         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PAQUOTANK                                                                                                                	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395444 	03010205	               	              	        	                                                            	C12R3F                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 638'-648'
21NC37GW	PK1088         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395472 	03010205	               	              	        	                                                            	C12R3G                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 466'-476'
21NC37GW	PK1093         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437222	-76.395278 	03010205	               	              	        	                                                            	C12R4,100PK1093                         	/TYPA/AMBNT/WELL                                                 	          428	FEET                	 	G	none
21NC37GW	PK1094         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.395333 	03010205	               	              	        	                                                            	C12R4A                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	PK1095         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437278	-76.3955   	03010205	               	              	        	                                                            	C12R3H                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 243'-253'
21NC37GW	PK1096         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437222	-76.395278 	03010205	               	              	        	                                                            	C12R7                                   	/TYPA/AMBNT/WELL                                                 	           37	FEET                	 	G	none
21NC37GW	PK1097         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437222	-76.395278 	03010205	               	              	        	                                                            	C12R6,100PK1097                         	/TYPA/AMBNT/WELL                                                 	          648	FEET                	 	G	none
21NC37GW	PK1098         	MORGANS CORNER RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                               	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.437222	-76.395278 	03010205	               	              	        	                                                            	C12R5,100PK1098                         	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
21NC37GW	PK1229         	BIG FLATTY CREEK RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                             	NC DE&NR                 	North Carolina                	Pasquotank                    	   36.1525	-76.132778 	03010205	               	              	        	                                                            	G9C3,100PK1229                          	/TYPA/AMBNT/WELL                                                 	           70	FEET                	 	G	none
21NC37GW	PK1230         	BIG FLATTY CREEK RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                             	NC DE&NR                 	North Carolina                	Pasquotank                    	   36.1525	-76.132778 	03010205	               	              	        	                                                            	G9C4,100PK1230                          	/TYPA/AMBNT/WELL                                                 	          740	FEET                	 	G	none
21NC37GW	PK1235         	BIG FLATTY CREEK RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                             	NC DE&NR                 	North Carolina                	Pasquotank                    	   36.1525	-76.132778 	03010205	               	              	        	                                                            	G9C6,100PK1235                          	/TYPA/AMBNT/WELL                                                 	          105	FEET                	 	G	none
21NC37GW	PK1237         	HALLS CREEK RESEARCH STATION / SOUTHEAST / CHOIWAN-PASQUOTANK                                                                                                                 	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.220889	-76.283389 	03010205	               	              	        	                                                            	F11I3A                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	PK1238         	HALLS CREEK RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.220889	-76.172278 	03010205	               	              	        	                                                            	F11I3B                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	PK1239         	HALLS CREEK RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.219167	-76.275278 	03010205	               	              	        	                                                            	F11I4,100PK1239                         	/TYPA/AMBNT/WELL                                                 	           70	FEET                	 	G	none
21NC37GW	PK1240         	HALLS CREEK RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.220833	-76.272361 	03010205	               	              	        	                                                            	F11I5                                   	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NC37GW	PK1241         	HALLS CREEK RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                  	NC DE&NR                 	North Carolina                	Pasquotank                    	 36.219167	-76.275278 	03010205	               	              	        	                                                            	F11I6,100PK1241                         	/TYPA/AMBNT/WELL                                                 	           17	FEET                	 	G	none
21NC37GW	PK1247         	WEEKSVILLE SCHOOL RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                            	NC DE&NR                 	North Carolina                	Pasquotank                    	    36.205	-76.167778 	03010205	               	              	        	                                                            	F10K3,100PK1247                         	/TYPA/AMBNT/WELL                                                 	           60	FEET                	 	G	none
