
Pasquotank, NC
Number of Stations = 57


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	19    	19    	1975-04-23	1980-04-18	  1.20E+01  	  2.56E+01  	  1.99E+01
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	2     	3     	1975-04-29	1975-08-20	  2.20E+01  	  5.00E+01  	  3.13E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	23    	47    	1975-01-15	1980-04-18	  1.10E+03  	  9.40E+03  	  5.29E+03
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	1     	1     	1975-04-23	1975-04-23	  9.15E+03  	  9.15E+03  	  9.15E+03
00400	PH        SU              	PH (STANDARD UNITS)                               	25    	42    	1975-01-15	1980-04-18	  6.10E+00  	  9.00E+00  	  7.98E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	9     	9     	1975-04-23	1980-04-18	  6.00E+00  	  8.81E+00  	  7.97E+00
00405	CO2       MG/L            	CARBON DIOXIDE (MG/L AS CO2)                      	1     	1     	1980-04-18	1980-04-18	  1.93E+02  	  1.93E+02  	  1.93E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	24    	42    	1975-04-29	1980-04-18	  1.00E+00  	  8.31E+02  	  4.56E+02
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	23    	28    	1975-04-23	1980-04-18	  1.00E+00  	  9.78E+02  	  4.66E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	27    	41    	1975-01-15	1980-04-18	   .00E+00  	  6.00E+00  	  6.90E+00
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	4     	4     	1975-08-20	1976-01-08	  1.60E+00  	  5.00E-02  	  1.10E+00
00623	KJELDL N DISS     MG/L    	NITROGEN, KJELDAHL, DISSOLVED (MG/L AS N)         	4     	7     	1975-01-15	1975-12-03	  3.00E-01  	  3.40E+00  	  7.43E-01
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	26    	44    	1975-01-15	1980-04-18	   .00E+00  	  9.00E-02  	  8.54E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	22    	37    	1975-01-15	1980-04-18	  1.20E-01  	  5.30E-01  	  1.27E-01
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	28    	51    	1975-01-28	1980-04-18	  1.00E+02  	  9.00E+01  	  3.16E+02
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	24    	40    	1975-04-23	1980-04-18	   .00E+00  	  8.90E+01  	  1.30E+02
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	24    	42    	1975-04-23	1980-04-18	  1.00E+02  	  9.00E+00  	  6.85E+01
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	24    	41    	1975-01-15	1980-04-18	  1.10E+01  	  6.20E+00  	  4.06E+01
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	23    	23    	1975-04-23	1980-04-18	  1.00E+02  	  9.20E+02  	  7.93E+02
00930	SODIUM   NA,DISS  MG/L    	SODIUM, DISSOLVED (MG/L AS NA)                    	14    	25    	1975-01-15	1977-06-05	  1.00E+02  	  8.00E+02  	  1.27E+03
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	22    	33    	1975-01-15	1980-04-18	  1.20E+00  	  7.80E-01  	  2.89E+01
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	28    	51    	1975-01-28	1980-04-18	  1.02E+03  	  9.20E+01  	  1.67E+03
00946	SULFATE  S04-DISS MG/L    	SULFATE, DISSOLVED (MG/L AS SO4)                  	27    	47    	1975-01-15	1980-04-18	  1.00E+02  	  7.00E+00  	  1.87E+02
00951	FLUORIDE F,TOTAL  MG/L    	FLUORIDE, TOTAL (MG/L AS F)                       	26    	43    	1975-01-15	1980-04-18	  1.00E-01  	  7.00E-02  	  8.16E-01
00955	SILICA   DISOLVED MG/L    	SILICA, DISSOLVED (MG/L AS SI02)                  	26    	45    	1975-01-15	1980-04-18	  1.00E+01  	  8.00E+00  	  1.49E+01
01046	IRON     FE,DISS  UG/L    	IRON, DISSOLVED (UG/L AS FE)                      	24    	42    	1975-06-04	1980-04-18	  1.00E+02  	  9.00E-02  	  2.37E+03
01056	MANGNESE MN,DISS  UG/L    	MANGANESE, DISSOLVED (UG/L AS MN)                 	22    	38    	1975-01-15	1980-04-18	  1.00E-01  	  9.30E+02  	  2.11E+02
01090	ZINC     ZN,DISS  UG/L    	ZINC, DISSOLVED (UG/L AS ZN)                      	1     	1     	1975-08-20	1975-08-20	  5.00E-02  	  5.00E-02  	  5.00E-02
