Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113S000	373100         	INTRACOASTAL WW SW OF SURF CITY / QUAD-HOLLY RDG 7.5  STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                         	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-001                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	INTRACOASTAL WATERWAY AT CHANNEL MARKER 72
1113S000	373105         	INTRACOASTAL WW N OF SURF CITY / QUAD-HOLLY RDG 7.5  STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                          	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-002                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	OFF LAST BOAT DOCK NORTH OF THOMAS BAIT SHOP RAMP
1113S000	373110         	INTRACOASTAL WW NW OF SURF CITY / QUAD-HOLLY RDG 7.5  STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                         	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-003                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	BETWEEN POINTS OF ENTRANCE CHANNEL TO THOMAS BOAT RAMP
1113S000	373115         	INTRACOASTAL WW AT SURF CITY / QUAD-HOLLY RDG 7.5  STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                            	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-004                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	BETWEEN POINTS OFF OF BATTS TRAILER PARK SOUTH SIDE OF INTRACOASTAL WATERWAY
1113S000	373120         	INTRACOASTAL WW AT SURF CITY / QUAD-HOLLY RDG 7.5  STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                            	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-005                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	SOUTH BEYOND BATTS TRAILER PARK AT OYSTER LEASE SIGN #371
1113S000	373125         	INTRACOASTAL WW AT SURF CITY / QUAD-HOLLY RDG 7.5  STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                            	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-006                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	MID CHANNEL OFF SURF CITY MOTEL DOCK
1113S000	373140         	INTRACOASTAL WW NE OF SURF CITY / QUAD-HOLLY RDG 7.5  STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                         	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-009                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	INTRACOASTAL WATERWAY AT CHANNEL MARKER 65
1113S000	373145         	BARLOW CK AT MOUTH / QUAD-HOLLY RDG 7.5  STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                                      	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-010                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	MOUTH OF BARLOW CREEK AT OYSTER LEASE SIGN #745
1113S000	373155         	KINGS CK-AT MOUTH & N END OF ISL / QUAD-SPICER BAY 7.5 STRM / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                        	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-SURF-012                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	MOUTH OF KINGS CREEK AT NORTH END OF ISLAND
1113S000	373190         	WELL AT SURF CITY / QUAD-HOLLY RDG 7.5  WELL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	               	              	        	                                                            	FF-W-002                                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	WELL AT THOMAS' TRAILER PARK; N.C. GRID NUMBER AA-26X2.
1113S000	373191         	CANAL ADJACENT WELL NO. 2 / QUAD-HOLLY RDG 7.5  CANL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                               	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-W-002C                               	/TYPA/AMBNT/ESTURY                                               	            0	FEET                	S	 	CANAL STATION ADJACENT TO WELL #2
1113S000	373195         	WELL AT SURF CITY / QUAD-HOLLY RDG 7.5  WELL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	               	              	        	                                                            	FF-W-003                                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	WELL AT BATTS TRAILER PARK; N.C. GRID NUMBER AA-26W1
1113S000	373200         	WELL AT SURF CITY / QUAD-HOLLY RDG 7.5  WELL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	               	              	        	                                                            	FF-W-006                                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	WELL AT YOWS TRAILER PARK; N.C. GRID NUMBER AA-26W4
1113S000	373205         	WELL AT SURF CITY / QUAD-HOLLY RDG 7.5  WELL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	               	              	        	                                                            	FF-W-007                                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	WELL AT BATTS TRAILER PARK; N.C. GRID NUMBER AA-26W5
1113S000	373206         	CANAL ADJACENT WELL NO. 7 / QUAD-HOLLY RDG 7.5  CANL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                               	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-W-007C                               	/TYPA/AMBNT/ESTURY                                               	            0	FEET                	S	 	CANAL STATION ADJACENT TO WELL #7
1113S000	373210         	WELL AT SURF CITY / QUAD-HOLLY RDG 7.5  WELL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	               	              	        	                                                            	FF-W-008                                	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	WELL AT YOWS TRAILER PARK; N.C. GRID NUMBER AA-26W6
1113S000	373211         	CANAL ADJACENT WELL NO. 8 / QUAD-HOLLY RDG 7.5  CANL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                               	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-W-008C                               	/TYPA/AMBNT/ESTURY                                               	            0	FEET                	S	 	CANAL STATION ADJACENT TO WELL #8
1113S000	373280         	SURF CTY-PONDING NR WELL # 8 / QUAD-HOLLY RDG 7.5  WELL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                            	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	               	              	        	                                                            	FF-W-08-POND                            	/AMBNT                                                           	            0	FEET                	S	 	NORTH CAROLINA COASTAL AREA SURF CITY. PONDING - DYED LEACHATE PONDING NEAR WELL # 8
1113S000	373285         	SURF CTY-CANAL NR WELL # 8 / QUAD-HOLLY RDG 7.5  WELL / N.C.COASTAL AREA FINGER FILL CANAL STUDY                                                                              	USEPA REGION 4           	North Carolina                	Pender                        	 34.430556	-77.533333 	03030001	            013	         14.09	OFF     	ONSLOW BAY                                                  	FF-W-08C-DYE                            	/TYPA/AMBNT/ESTURY                                               	            0	FEET                	S	 	NORTH CAROLINA COASTAL AREA-SURF CITY. CANAL - DYE CLOUD IN CANAL NEAR WELL # 8
11NPSWRD	MOCR_MC_BC     	Moores Creek at Boardwalk Crossing / SOUTHEAST / CAPE FEAR RIVER                                                                                                              	NATIONAL PARK SERVICE    	North Carolina                	Pender                        	 34.459361	-78.11325  	03030006	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	Station is located at the boardwalk crossing of Moores Creek in Moores Creek National Battlefield.  The station can be found on the Currie N.C. 7.5' U.S.G.S. topographic quadrangle just downstream of the former crossing of Moores Creek by Highway 210 in Moores Creek National Battlefield.  Data are collected by park personnel at this site using a HydroLab to monitor possible water quality impacts arising from agriculture; industry; and new development.  For additional information on the location and the monitoring program; contact Linda Brown at Moores Creek National Battlefield; Currie N.C. 28435 (tel. 910-283-5591; fax. 910-283-5351).  Data processed and uploaded to STORET by Dean Tucker; NPS Water Resources Division; 1201 Oak Ridge Dr. Suite 250; Fort Collins CO 80525 (tel. 970-225-3516; fax. 970-225-9965).
21NC37GW	PE1216         	SURF CITY / SOUTHEAST / CAPE FEAR                                                                                                                                             	NC DE&NR                 	North Carolina                	Pender                        	 34.445556	-77.561389 	03030001	               	              	        	                                                            	AA26Q1,100PE1216                        	/TYPA/AMBNT/WELL                                                 	          102	FEET                	 	G	none
21NC37GW	PE1329         	BURGAW RESEARCH STATION / SOUTHEAST / CAPE FEAR                                                                                                                               	NC DE&NR                 	North Carolina                	Pender                        	 34.604444	-77.855556 	03030007	               	              	        	                                                            	Y30S3,100PE1329                         	/TYPA/AMBNT/WELL                                                 	          130	FEET                	 	G	none
21NC37GW	PE1336         	BURGAW / SOUTHEAST / CAPE FEAR                                                                                                                                                	NC DE&NR                 	North Carolina                	Pender                        	 34.604444	-77.855556 	03030007	               	              	        	                                                            	Y30S2,100PE1336                         	/TYPA/AMBNT/WELL                                                 	            9	FEET                	 	G	none
21NC37GW	PE1447         	PENDER COUNTY / SOUTHEAST / CAPE FEAR RIVER                                                                                                                                   	NC DE&NR                 	North Carolina                	Pender                        	 34.376389	-77.733333 	03030007	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
