
Pender, NC
Number of Stations = 49


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	9     	230   	1975-02-19	1975-02-20	  5.00E+01  	  5.00E+01  	  5.00E+01
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	14    	841   	1975-02-19	1998-12-02	  1.01E+01  	  9.90E+00  	  2.19E+01
00027	COLLECT  AGENCY   CODE    	CODE NO FOR AGENCY COLLECTING SAMPLE-SEE APPEND.  	17    	795   	1975-02-19	1975-07-12	  2.00E+03  	  3.70E+01  	  1.75E+03
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	4     	24    	1998-03-11	1998-08-10	   .00E+00  	  9.00E-01  	  3.71E-01
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	1     	6     	1996-03-21	1996-06-17	  1.17E+02  	  7.70E+01  	  7.55E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	5     	117   	1996-03-21	1998-12-02	  1.00E+02  	  9.98E+02  	  2.09E+02
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	9     	656   	1975-02-19	1975-07-09	  1.00E+01  	  9.80E+00  	  6.82E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	5     	125   	1996-03-22	1998-12-02	  1.00E+01  	  9.90E+00  	  6.37E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	14    	781   	1975-02-19	1998-12-02	  1.08E+02  	  9.66E+01  	  7.43E+01
00339	COD MUD  DRY WGT  MG/KG   	COD, BOTTOM DEPOSITS, DRY WEIGHT             MG/KG	7     	7     	1975-07-10	1975-07-10	  2.70E+03  	  7.78E+04  	  3.52E+04
00400	PH        SU              	PH (STANDARD UNITS)                               	18    	246   	1975-02-19	1998-12-02	  4.30E+00  	  8.60E+00  	  7.40E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	4     	119   	1996-07-08	1998-12-02	  4.70E+00  	  8.20E+00  	  6.66E+00
00406	PH       FIELD    SU      	PH, FIELD, STANDARD UNITS                       SU	1     	8     	1996-03-21	1996-07-02	  4.97E+00  	  7.19E+00  	  5.81E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	13    	831   	1975-02-19	1998-12-02	   .00E+00  	  5.00E-01  	  2.58E+01
00495	% MOIST. SEDIMENT SAMPLE  	MOISTURE CONTENT (PERCENT OF TOTAL DRY WEIGHT)    	7     	7     	1975-07-10	1975-07-10	  2.62E+01  	  5.82E+01  	  4.19E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	4     	32    	1998-05-06	1998-12-02	  1.00E+01  	  9.00E+00  	  5.38E+00
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	4     	119   	1996-07-08	1998-12-02	  1.00E+00  	  9.60E-01  	  2.63E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	21    	239   	1975-02-19	1998-12-02	  1.00E+01  	  9.90E+00  	  9.43E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	13    	199   	1975-02-19	1998-12-02	  1.28E-06  	  9.75E-03  	  7.14E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	13    	199   	1975-02-19	1998-12-02	  1.56E-06  	  9.66E-03  	  8.68E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	21    	258   	1975-02-19	1998-12-02	  1.00E+01  	  9.70E-01  	  1.54E+00
00626	ORGAN. N MUD D WT MG/KG-N 	NITROGEN,ORG. KJEL.,BOT. DEPOS. (MG/KG-N DRY WGT) 	7     	7     	1975-07-10	1975-07-10	  1.23E+03  	  6.50E+02  	  1.42E+03
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	21    	250   	1975-02-19	1998-12-02	  1.00E-01  	  9.90E-01  	  6.07E-01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	21    	259   	1975-02-19	1998-12-02	  1.00E+00  	  9.90E-01  	  4.18E-01
00668	PHOS MUD DRY WGT  MG/KG-P 	PHOSPHORUS,TOTAL,BOTTOM DEPOSIT (MG/KG-P DRY WGT) 	7     	7     	1975-07-10	1975-07-10	  1.15E+03  	  9.00E+02  	  1.12E+03
00680	T ORG C  C        MG/L    	CARBON, TOTAL ORGANIC (MG/L AS C)                 	17    	150   	1975-02-19	1975-07-12	  1.00E+02  	  9.30E+00  	  1.58E+01
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	8     	35    	1975-02-20	1975-07-12	  1.00E+03  	  8.80E+01  	  3.68E+03
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	1     	27    	1996-07-08	1998-12-01	  1.00E+01  	  5.00E+00  	  1.03E+01
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	1     	27    	1996-07-08	1998-12-01	  1.00E+00  	  2.00E+00  	  1.96E+00
