Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
21NC37GW	PR1030         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459194                               	 200000E-4  	 	03010205	00010	1976-12-21	      2500	          	        	        1165	        	                	  	                     	B 	                                                            	
21NC37GW	PR1031         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.4425                                 	 200000E-4  	 	03010205	00010	1976-10-13	      2500	          	        	          49	        	                	  	                     	B 	                                                            	
21NC37GW	PR1032         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459222                               	 211000E-4  	 	03010205	00010	1977-01-05	      2500	          	        	        1300	        	                	  	                     	B 	                                                            	
21NC37GW	PR1033         	PARKVILLE RESEACH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                     	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.45925                                	 178000E-4  	 	03010205	00010	1976-01-11	      2500	          	        	        1300	        	                	  	                     	B 	                                                            	
21NC37GW	PR1034         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.45925                                	 183000E-4  	 	03010205	00010	1977-01-13	      2500	          	        	        1300	        	                	  	                     	B 	                                                            	
21NC37GW	PR1035         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459306                               	 167000E-4  	 	03010205	00010	1977-01-26	      2500	          	        	        1300	        	                	  	                     	B 	                                                            	
21NC37GW	PR1036         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459361                               	 158000E-4  	 	03010205	00010	1977-02-09	      2500	          	        	        1210	        	                	  	                     	B 	                                                            	
21NC37GW	PR1038         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.459167                               	 590000E-4  	 	03010205	00010	1976-10-13	      2500	          	        	        1019	        	                	  	                     	B 	                                                            	
21NC37GW	PR1039         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.459167                               	 620000E-4  	 	03010205	00010	1977-04-21	      2500	          	        	         351	        	                	  	                     	B 	                                                            	
21NC37GW	PR1042         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.459306                               	 180000E-4  	 	03010205	00010	1977-05-11	      2500	          	        	          82	        	                	  	                     	B 	                                                            	
21NC37GW	PR1044         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.459361                               	 240000E-4  	 	03010205	00010	1977-01-14	      2500	          	        	          82	        	                	  	                     	B 	                                                            	
21NC37GW	PR1030         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459194                               	 850000E-2  	 	03010205	00094	1976-12-21	      2500	          	        	        1165	        	                	  	                     	B 	                                                            	
21NC37GW	PR1031         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.4425                                 	 161000E-2  	 	03010205	00094	1976-10-13	      2500	          	        	          49	        	                	  	                     	B 	                                                            	
21NC37GW	PR1031         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.4425                                 	 130000E-2  	 	03010205	00094	1976-10-13	      2500	          	        	          39	        	                	  	                     	B 	                                                            	
