Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
21NC37GW	PR1018         	WOODVILLE / SOUTHEAST / CHOWAN                                                                                                                                                	NC DE&NR                 	North Carolina                	Perquimans                    	 36.216944	-76.438611 	03010205	               	              	        	                                                            	F12I6,100PR1018                         	/TYPA/AMBNT/WELL                                                 	           20	FEET                	 	G	none
21NC37GW	PR1030         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459194 	03010205	               	              	        	                                                            	E13M2A                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 1155'-1165'
21NC37GW	PR1031         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.4425   	03010205	               	              	        	                                                            	E13M1,100PR1031                         	/TYPA/AMBNT/WELL                                                 	           49	FEET                	 	G	none
21NC37GW	PR1032         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459222 	03010205	               	              	        	                                                            	E13M2B                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 1008' - 1018'
21NC37GW	PR1033         	PARKVILLE RESEACH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                     	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.45925  	03010205	               	              	        	                                                            	E13M2C                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 819'-829'
21NC37GW	PR1034         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.45925  	03010205	               	              	        	                                                            	E13M2D                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 819'-829'
21NC37GW	PR1035         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459306 	03010205	               	              	        	                                                            	E13M2E                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 429'-439'
21NC37GW	PR1036         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298111	-76.459361 	03010205	               	              	        	                                                            	E13M2G                                  	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	STEM TEST SCREENED INTERVAL 110'-120'
21NC37GW	PR1038         	PARKVILLE RESEARCH STATION / SOUTHEAST / CHOWAN-PASQUOTANK                                                                                                                    	NC DE&NR                 	North Carolina                	Perquimans                    	 36.298056	-76.459167 	03010205	               	              	        	                                                            	E13M2,100PR1038                         	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	none
