Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 197900E-2  	 	03010104	00026	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048B        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / EFFLUENT    AFTER CL CONTACT CHAMBER                                                                      	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 197900E-2  	 	03010104	00026	1978-06-07	      0840	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048C        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / SLUDGE      FROM SLUDGE LAGOON                                                                            	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 197900E-2  	 	03010104	00026	1978-06-07	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048C        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / SLUDGE      FROM SLUDGE LAGOON                                                                            	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 292000E-2  	 	03010104	00520	1978-06-07	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048C        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / SLUDGE      FROM SLUDGE LAGOON                                                                            	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 464000E-2  	 	03010104	00530	1978-06-07	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 870000E-5  	 	03010104	00610	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 100000E-6  	K	03010104	00630	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 208000E-4  	 	03010104	00665	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 100000E-4  	K	03010104	01027	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048C        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / SLUDGE      FROM SLUDGE LAGOON                                                                            	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 210000E-4  	 	03010104	01027	1978-06-07	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 418000E-3  	 	03010104	01034	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048C        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / SLUDGE      FROM SLUDGE LAGOON                                                                            	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 608100E-2  	 	03010104	01034	1978-06-07	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 131000E-3  	 	03010104	01042	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048C        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / SLUDGE      FROM SLUDGE LAGOON                                                                            	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 473000E-2  	 	03010104	01042	1978-06-07	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 500000E-4  	K	03010104	01051	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048C        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / SLUDGE      FROM SLUDGE LAGOON                                                                            	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 678000E-3  	 	03010104	01051	1978-06-07	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 500000E-4  	K	03010104	01067	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370048C        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / SLUDGE      FROM SLUDGE LAGOON                                                                            	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 362000E-3  	 	03010104	01067	1978-06-07	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370048A        	ROXBORO STP AT ROXBORO NC TO MARLOWES CREEK / ROANOKE RIVER BASIN / INFLUENT    BEFORE BAR SCREEN                                                                             	USEPA REGION 4           	North Carolina                	Person                        	 36.391667	-78.985                                  	 354000E-3  	 	03010104	01092	1978-06-06	      0001	1978-06-06	    2359	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
