Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370006B        	BURROUGHS WELCOME CO AT GREENVILLE NC PARKER CRK / TAR-PAMLICO RIVER BASIN / DITCH FROM PLANT                                                                                 	USEPA REGION 4           	North Carolina                	Pitt                          	 35.608333	-77.378333                               	 136500E-2  	 	03020103	00008	1982-05-12	      1347	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370006C        	BURROUGHS WELCOME CO AT GREENVILLE NC PARKER CRK / TAR-PAMLICO RIVER BASIN / DITCH FROM PLANT NEAR RAILROAD TRACKS                                                            	USEPA REGION 4           	North Carolina                	Pitt                          	 35.608333	-77.378333                               	 136600E-2  	 	03020103	00008	1982-05-12	      1415	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 900000E-5  	 	03020203	00010	1994-12-12	      1450	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 900000E-5  	 	03020203	00010	1995-01-19	      1425	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 100000E-5  	 	03020203	00010	1995-02-13	      1130	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 100000E-4  	 	03020203	00010	1995-03-13	      1040	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 130000E-4  	 	03020203	00010	1995-04-11	      1150	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 160000E-4  	 	03020203	00010	1995-05-11	      1225	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 190000E-4  	 	03020203	00010	1995-05-25	      1615	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 185000E-4  	 	03020203	00010	1995-06-14	      1145	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 210000E-4  	 	03020203	00010	1995-06-25	      1600	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 240000E-4  	 	03020203	00010	1995-07-18	      1150	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 240000E-4  	 	03020203	00010	1995-07-25	      1415	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 220000E-4  	 	03020203	00010	1995-08-08	      1255	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 220000E-4  	 	03020203	00010	1995-08-21	      0120	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 210000E-4  	 	03020203	00010	1995-09-15	      1100	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 180000E-4  	 	03020203	00010	1995-09-25	      0140	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 175000E-4  	 	03020203	00010	1995-10-11	      1205	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 100000E-4  	 	03020203	00010	1995-11-28	      1215	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 300000E-5  	 	03020203	00010	1995-12-13	      1245	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 700000E-5  	 	03020203	00010	1996-01-16	      0139	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 700000E-5  	 	03020203	00010	1996-02-15	      1245	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 800000E-5  	 	03020203	00010	1996-03-12	      1330	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 100000E-4  	 	03020203	00010	1996-04-09	      1320	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 160000E-4  	 	03020203	00010	1996-05-14	      1415	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 160000E-4  	 	03020203	00010	1996-05-22	      1430	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 235000E-4  	 	03020203	00010	1996-06-11	      1515	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 210000E-4  	 	03020203	00010	1996-06-18	      1100	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 245000E-4  	 	03020203	00010	1996-07-10	      1350	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 220000E-4  	 	03020203	00010	1996-07-15	      1705	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 240000E-4  	 	03020203	00010	1996-08-14	      1705	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 240000E-4  	 	03020203	00010	1996-08-21	      1330	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 220000E-4  	 	03020203	00010	1996-10-18	      1230	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 105000E-4  	 	03020203	00010	1996-11-22	      1720	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 115000E-4  	 	03020203	00010	1996-12-19	      1815	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 800000E-5  	 	03020203	00010	1997-02-12	      1300	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 130000E-4  	 	03020203	00010	1997-03-10	      1300	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 161000E-4  	 	03020203	00010	1997-04-09	      1130	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 176000E-4  	 	03020203	00010	1997-05-12	      1440	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 196000E-4  	 	03020203	00010	1997-05-22	      1315	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 172000E-4  	 	03020203	00010	1997-06-09	      1530	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 206000E-4  	 	03020203	00010	1997-06-17	      1210	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 256000E-4  	 	03020203	00010	1997-07-08	      1620	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 255000E-4  	 	03020203	00010	1997-07-16	      1350	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 228000E-4  	 	03020203	00010	1997-08-11	      1605	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 262000E-4  	 	03020203	00010	1997-08-16	      1110	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 232000E-4  	 	03020203	00010	1997-09-09	      1650	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 234000E-4  	 	03020203	00010	1997-09-18	      1700	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 198000E-4  	 	03020203	00010	1997-10-15	      1255	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 125000E-4  	 	03020203	00010	1997-11-12	      1220	          	        	         .49	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 820000E-5  	 	03020203	00010	1997-12-10	      1330	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 108000E-4  	 	03020203	00010	1998-01-12	      1225	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 850000E-5  	 	03020203	00010	1998-02-10	      1225	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 930000E-5  	 	03020203	00010	1998-03-12	      1240	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 160000E-4  	 	03020203	00010	1998-04-07	      1300	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 210000E-4  	 	03020203	00010	1998-05-07	      1325	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 240000E-4  	 	03020203	00010	1998-05-20	      1515	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 260000E-4  	 	03020203	00010	1998-06-04	      1440	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 260000E-4  	 	03020203	00010	1998-06-18	      1400	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 260000E-4  	 	03020203	00010	1998-07-09	      1440	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 280000E-4  	 	03020203	00010	1998-07-23	      1445	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 240000E-4  	 	03020203	00010	1998-08-06	      1415	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 240000E-4  	 	03020203	00010	1998-08-20	      1400	          	        	            	        	                	  	                     	B 	                                                            	
21NCLNBA	J7690000       	LITTLE CONTENTNEA CK NR FARMVILLE INACT-750407 / SOUTHEAST / NEUSE RIVER                                                                                                      	LOWER NEUSE BASIN ASSOC. 	North Carolina                	Pitt                          	   35.5875	-77.544444                               	 220000E-4  	 	03020203	00010	1998-09-08	      1415	          	        	            	        	                	  	                     	B 	                                                            	
