Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370006B        	BURROUGHS WELCOME CO AT GREENVILLE NC PARKER CRK / TAR-PAMLICO RIVER BASIN / DITCH FROM PLANT                                                                                 	USEPA REGION 4           	North Carolina                	Pitt                          	 35.608333	-77.378333 	03020103	               	              	        	                                                            	NC0001058 B,BW-103   BWC                	/TYPA/AMBNT/LND                                                  	            0	FEET                	S	 	none
1114PEST	370006C        	BURROUGHS WELCOME CO AT GREENVILLE NC PARKER CRK / TAR-PAMLICO RIVER BASIN / DITCH FROM PLANT NEAR RAILROAD TRACKS                                                            	USEPA REGION 4           	North Carolina                	Pitt                          	 35.608333	-77.378333 	03020103	               	              	        	                                                            	NC0001058 C,BW-203   BWC                	/TYPA/AMBNT/LND                                                  	            0	FEET                	S	 	none
21NC37GW	PI1152         	FARMVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Pitt                          	 35.595278	-77.594167 	03020203	               	              	        	                                                            	M27U7,100PI1152                         	/TYPA/AMBNT/WELL                                                 	           60	FEET                	 	G	none
21NC37GW	PI1153         	FARMVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Pitt                          	 35.595278	-77.594167 	03020203	               	              	        	                                                            	M27U8,100PI1153                         	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	PI1154         	BLACKJACK / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Pitt                          	 35.511944	-77.25     	03020103	               	              	        	                                                            	N23U1,100PI1154                         	/TYPA/AMBNT/WELL                                                 	           40	FEET                	 	G	none
21NC37GW	PI1156         	WINTERVILLE / SOUTHEAST / NEUSE                                                                                                                                               	NC DE&NR                 	North Carolina                	Pitt                          	     35.52	-77.475    	03020203	               	              	        	                                                            	N25Q2,100PI1156                         	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	none
21NC37GW	PI1157         	SHELMERDINE / SOUTHEAST / NEUSE                                                                                                                                               	NC DE&NR                 	North Carolina                	Pitt                          	 35.433333	-77.263889 	03020202	               	              	        	                                                            	O23T1,100PI1157                         	/TYPA/AMBNT/WELL                                                 	           36	FEET                	 	G	none
21NC37GW	PI1382         	FARMVILLE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Pitt                          	 35.595278	-77.594167 	03020203	               	              	        	                                                            	M27U1,100PI1382                         	/TYPA/AMBNT/WELL                                                 	          425	FEET                	 	G	none
21NC37GW	PI1383         	PITT COUNTY LINE / SOUTHEAST / NEUSE                                                                                                                                          	NC DE&NR                 	North Carolina                	Pitt                          	 35.428889	-77.188333 	03020202	               	              	        	                                                            	O22V5,100PI1383                         	/TYPA/AMBNT/WELL                                                 	           62	FEET                	 	G	none
21NC37GW	PI1384         	CRAVEN AND PITT CO. LINE / SOUTHEAST / NEUSE                                                                                                                                  	NC DE&NR                 	North Carolina                	Pitt                          	 35.391944	-77.229167 	03020202	               	              	        	                                                            	P22F1,100PI1384                         	/TYPA/AMBNT/WELL                                                 	           72	FEET                	 	G	none
21NC37GW	PI1492         	NORTH PITT H S RESEARCH STATION / SOUTHEAST / TAR-PAMLICO                                                                                                                     	NC DE&NR                 	North Carolina                	Pitt                          	 35.749444	-77.365    	03020103	               	              	        	                                                            	L24B3A                                  	/TYPA/AMBNT/WELL                                                 	          693	FEET                	 	G	none
21NC37GW	PI1495         	NORTH PITT H S RESEARCH STATION / SOUTHEAST / TAR-PAMLICO                                                                                                                     	NC DE&NR                 	North Carolina                	Pitt                          	 35.749444	-77.365    	03020103	               	              	        	                                                            	L24B2,100PI1495                         	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	none
21NC37GW	PI1496         	NORTH PITT H S REAEARCH STATION / SOUTHEAST / TAR-PAMLICO                                                                                                                     	NC DE&NR                 	North Carolina                	Pitt                          	 35.749444	-77.365    	03020103	               	              	        	                                                            	L24B1,100PI1496                         	/TYPA/AMBNT/WELL                                                 	           14	FEET                	 	G	none
21NC37GW	PI1497         	BETHEL / SOUTHEAST / TAR                                                                                                                                                      	NC DE&NR                 	North Carolina                	Pitt                          	 35.749444	-77.365    	03020103	               	              	        	                                                            	L24B3,100PI1497                         	/TYPA/AMBNT/WELL                                                 	          560	FEET                	 	G	none
21NC37GW	PI1498         	NORTH PITT H S RESEARCH STATION / SOUTHEAST / TAR-PAMLICO                                                                                                                     	NC DE&NR                 	North Carolina                	Pitt                          	 35.749444	-77.365    	03020103	               	              	        	                                                            	L24B4,100PI1498                         	/TYPA/AMBNT/WELL                                                 	          370	FEET                	 	G	none
