
Pitt, NC
Number of Stations = 43


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	2     	1982-05-12	1982-05-12	  1.37E+03  	  1.37E+03  	  1.37E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	2     	128   	1994-12-12	1998-12-10	  1.00E+01  	  9.50E+00  	  1.75E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	2     	2     	1982-05-12	1982-05-12	  1.98E+03  	  1.98E+03  	  1.98E+03
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	6     	137   	1980-04-01	1998-12-10	  1.00E+02  	  9.79E+01  	  2.32E+02
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	2     	128   	1994-12-12	1998-12-10	  1.00E+01  	  9.80E+00  	  5.61E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	2     	128   	1994-12-12	1998-12-10	  1.01E+01  	  9.90E+01  	  5.50E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	5     	131   	1980-11-19	1998-12-10	  5.50E+00  	  7.60E+00  	  6.57E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	2     	68    	1994-12-12	1997-11-12	  6.00E+00  	  7.60E+00  	  6.68E+00
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	1     	1     	1980-11-19	1980-11-19	  1.00E+00  	  1.00E+00  	  1.00E+00
00420	OH ALK   CACO3    MG/L    	ALKALINITY, HYDROXIDE (MG/L AS CACO3)             	1     	1     	1980-11-19	1980-11-19	  2.82E+02  	  2.82E+02  	  2.82E+02
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	1     	1     	1980-11-19	1980-11-19	  3.44E+02  	  3.44E+02  	  3.44E+02
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	4     	13    	1980-04-01	1980-11-19	  1.00E+00  	  1.00E+00  	  1.00E+00
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	2     	92    	1994-12-12	1998-12-10	  1.00E+02  	  9.50E+00  	  9.19E+00
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	2     	92    	1994-12-12	1998-12-10	  1.00E+00  	  9.78E+00  	  2.08E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	2     	92    	1994-12-12	1998-12-10	  1.00E-01  	  9.00E-02  	  2.73E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	2     	92    	1994-12-12	1998-12-10	  1.02E-03  	  9.76E-05  	  4.00E-04
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	2     	92    	1994-12-12	1998-12-10	  1.05E-04  	  9.78E-04  	  4.87E-04
00623	KJELDL N DISS     MG/L    	NITROGEN, KJELDAHL, DISSOLVED (MG/L AS N)         	2     	2     	1980-11-19	1980-11-19	  2.00E-01  	  6.00E-01  	  4.00E-01
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	2     	92    	1994-12-12	1998-12-10	  1.00E+00  	  9.90E-01  	  1.49E+00
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	2     	92    	1994-12-12	1998-12-10	  1.00E-01  	  9.50E-01  	  6.10E-01
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	4     	11    	1980-04-01	1980-11-19	  3.80E+00  	  6.00E-02  	  3.92E-01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	2     	92    	1994-12-12	1998-12-10	  1.00E-01  	  9.00E-02  	  3.36E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	3     	6     	1980-04-01	1980-11-19	  5.00E-02  	  9.00E-02  	  7.00E-02
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	4     	10    	1980-04-01	1980-11-19	  1.20E+02  	  8.60E+01  	  4.56E+01
00902	NC HARD  CACO3    MG/L    	HARDNESS, NON-CARBONATE (MG/L AS CACO3)           	4     	13    	1980-04-01	1980-11-19	  1.00E+00  	  6.00E+00  	  3.31E+00
00915	CALCIUM  CA,DISS  MG/L    	CALCIUM, DISSOLVED (MG/L AS CA)                   	4     	6     	1980-11-19	1980-11-19	  1.20E+01  	  3.40E+00  	  5.84E+01
00925	MGNSIUM  MG,DISS  MG/L    	MAGNESIUM, DISSOLVED (MG/L AS MG)                 	2     	2     	1980-11-19	1980-11-19	  2.40E+00  	  5.60E+00  	  4.00E+00
00930	SODIUM   NA,DISS  MG/L    	SODIUM, DISSOLVED (MG/L AS NA)                    	4     	10    	1980-04-01	1980-11-19	  1.00E+03  	  3.40E+01  	  9.27E+02
00935	PTSSIUM  K,DISS   MG/L    	POTASSIUM, DISSOLVED (MG/L AS K)                  	3     	6     	1980-04-01	1980-11-19	  1.60E+00  	  6.60E+00  	  8.57E+00
00940	CHLORIDE TOTAL    MG/L    	CHLORIDE,TOTAL IN WATER                MG/L       	4     	10    	1980-04-01	1980-11-19	  1.70E+01  	  9.10E+02  	  3.04E+02
00946	SULFATE  S04-DISS MG/L    	SULFATE, DISSOLVED (MG/L AS SO4)                  	4     	11    	1980-04-01	1980-11-19	  3.00E+02  	  6.50E+02  	  2.03E+02
00951	FLUORIDE F,TOTAL  MG/L    	FLUORIDE, TOTAL (MG/L AS F)                       	2     	3     	1980-04-01	1980-11-19	  1.00E-01  	  7.00E-01  	  3.00E-01
00955	SILICA   DISOLVED MG/L    	SILICA, DISSOLVED (MG/L AS SI02)                  	3     	8     	1980-04-01	1980-11-19	  1.10E+01  	  5.00E+00  	  9.10E+00
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	2     	2     	1982-05-12	1982-05-12	  8.00E+01  	  8.00E+01  	  8.00E+01
01040	COPPER   CU,DISS  UG/L    	COPPER, DISSOLVED (UG/L AS CU)                    	2     	4     	1980-04-01	1980-04-01	  4.00E+01  	  4.00E+01  	  4.00E+01
01046	IRON     FE,DISS  UG/L    	IRON, DISSOLVED (UG/L AS FE)                      	2     	5     	1980-04-01	1980-11-19	  1.00E+02  	  4.00E+02  	  2.60E+02
01056	MANGNESE MN,DISS  UG/L    	MANGANESE, DISSOLVED (UG/L AS MN)                 	3     	7     	1980-11-19	1980-11-19	  5.00E+01  	  6.00E+01  	  5.43E+01
01090	ZINC     ZN,DISS  UG/L    	ZINC, DISSOLVED (UG/L AS ZN)                      	2     	2     	1980-04-01	1980-04-01	  1.80E+03  	  6.00E+01  	  9.30E+02
01092	ZINC     ZN,TOT   UG/L    	ZINC, TOTAL (UG/L AS ZN)                          	2     	2     	1982-05-12	1982-05-12	  1.90E+01  	  2.60E+01  	  2.25E+01
01106	ALUMINUM AL,DISS  UG/L    	ALUMINUM, DISSOLVED (UG/L AS AL)                  	4     	12    	1980-04-01	1980-11-19	  1.00E+02  	  2.00E+02  	  1.17E+02
