Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 465100E-2  	 	03050105	00008	1973-10-01	      0900	1973-10-02	    0800	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 466000E-2  	 	03050105	00008	1973-10-01	      1740	          	        	            	        	                	  	                     	B 	                                                            	
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 465900E-2  	 	03050105	00008	1973-10-01	      1400	          	        	            	        	                	  	                     	B 	                                                            	
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 465800E-2  	 	03050105	00008	1973-10-01	      0900	          	        	            	        	                	  	                     	B 	                                                            	
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 462600E-2  	 	03050105	00008	1973-10-01	      0935	          	        	            	        	                	  	                     	B 	                                                            	
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 474400E-2  	 	03050105	00008	1973-10-02	      0900	1973-10-03	    0800	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 481200E-2  	 	03050105	00008	1973-10-02	      1100	          	        	            	        	                	  	                     	B 	                                                            	
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 481300E-2  	 	03050105	00008	1973-10-02	      1705	          	        	            	        	                	  	                     	B 	                                                            	
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944                               	 466400E-2  	 	03050105	00008	1973-10-02	      1000	          	        	            	        	                	  	                     	B 	                                                            	
