Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113S000	373000         	VAUGHAN CK TRYON STP EFFLUENT / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                               	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944 	03050105	            072	           .29	OFF     	*D                                                          	SC-T                                    	/TYPA/MUN/TREATD/OUTFL/STREAM                                    	            0	FEET                	 	 	EXTENDED AERATION- DESIGN FLOW 0.8 MGD- OWNED BY CITY OF TRYON- NO POST CHLORINATION
1113S000	373001         	N PACOLET R TRYON PROC EFF / POLK / SANTEE-COOPER     GREENVILLE-SPARTANBURG                                                                                                  	USEPA REGION 4           	North Carolina                	Polk                          	 35.211944	-82.221944 	03050105	            072	           .29	OFF     	*D                                                          	SC-TP-1                                 	/TYPA/MUN/TREATD/OUTFL/STREAM                                    	            0	FEET                	 	 	TRYON PROCESSING, PLANT EFFLUENT, FROM WASTE TREATMENT SYSTEM. DISCHARGES INTO N. PACOLET R. NR TRYON, N.C.
12ELS1  	3A2-030        	LAKE ADGER /  /                                                                                                                                                               	EPA ENVIRONMENTAL RES LAB	North Carolina                	Polk                          	 35.338056	-82.204167 	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/LAKE                                                 	           75	FEET                	S	 	THIS DATA WAS COLLECTED DURING THE EASTERN LAKE SURVEY-PHASE I (ELS-I) AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY, AQUATIC EFFECTS RESEARCH PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITATIONS ARE DESCRIBED IN: LINTHURST, R. A. ET AL. 1986. CHARACTERISTICS OF LAKES IN THE EASTERN UNITED STATES. VOL. I. POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/4-86/007A. U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. 136 PP. THE DATA PRESENTED HERE ARE THOSE REPORTED IN LINTHURST ET AL. (1986) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; AND (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07831L       	NORTH POCOLET RIVER /  /                                                                                                                                                      	EPA ENVIRONMENTAL RES LAB	North Carolina                	Polk                          	 35.215278	-82.218056 	03050105	               	              	        	                                                            	2AS2A07831L                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
12NSS   	2A07831U       	NORTH POCOLET RIVER /  /                                                                                                                                                      	EPA ENVIRONMENTAL RES LAB	North Carolina                	Polk                          	 35.195556	-82.350833 	03050105	               	              	        	                                                            	2AS2A07831U                             	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	THESE DATA WERE COLLECTED DURING PHASE I OF THE NATIONAL STREAM SURVEY AS PART OF EPA'S NATIONAL SURFACE WATER SURVEY AND AQUATIC EFFECTS RESEARCH PROGRAM UNDER THE NATIONAL ACID PRECIPITATION ASSESSMENT PROGRAM.  THE SURVEY DESIGN, METHODS, AND DATA LIMITAITONS ARE DESCRIBED IN: KAUFMANN, P.R., ET AL. 1988. CHEMICAL CHARACTERISTICS OF STREAMS IN THE MID-ATLANTIC AND SOUTHEASTERN UNITED STATES.  VOL.I: POPULATION DESCRIPTIONS AND PHYSICO-CHEMICAL RELATIONSHIPS. EPA/600/3-88/021A, U.S. ENVIRON. PROT. AGENCY, WASHINGTON, D.C. THE DATA IN STORET ARE THOSE REPORTED IN KAUFMANN ET AL. (1988) WITH THE FOLLOWING EXCEPTIONS: (1) UNITS FOR CHEMICAL PARAMETERS ARE TYPICALLY IN MG/L RATHER THAN MICROEQ/L; (2) NO SUBSTITUTED VALUES ARE PROVIDED FOR SUSPECT DATA; (3) TAGS AND FLAGS USED TO IDENTIFY SUSPICIOUS DATA ARE NOT SHOWN; (4) CALCULATED OR DERIVED VARIABLES ARE EXCLUDED.
21NC37GW	PO1001         	COLUMBIA / SOUTHEAST / CATAWBA-BROAD                                                                                                                                          	NC DE&NR                 	North Carolina                	Polk                          	 35.230556	-82.186111 	03050105	               	              	        	                                                            	R82I1                                   	/TYPA/AMBNT/WELL                                                 	          245	FEET                	 	G	none
21NC37GW	PO1199         	SALUDA / SOUTHEAST / CATAWBA                                                                                                                                                  	NC DE&NR                 	North Carolina                	Polk                          	 35.244444	-82.348056 	03050105	               	              	        	                                                            	R84A1,100PO1199                         	/TYPA/AMBNT/WELL                                                 	          500	FEET                	 	G	none
21NC37GW	PO1357         	MILLS SPRINGS / SOUTHEAST / CATAWBA                                                                                                                                           	NC DE&NR                 	North Carolina                	Polk                          	     35.25	-82.083333 	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          365	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	PO1358         	MILL SPRINGS / SOUTHEAST / CATAWBA                                                                                                                                            	NC DE&NR                 	North Carolina                	Polk                          	     35.25	-82.083333 	03050105	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          405	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
