
Polk, NC
Number of Stations = 29


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	17    	1973-10-01	1973-10-04	  4.63E+03  	  4.81E+03  	  4.72E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	5     	17    	1973-10-01	1985-07-02	  1.10E+01  	  9.20E+00  	  2.01E+01
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	7     	1985-03-19	1985-07-02	  1.40E+00  	  5.80E-01  	  1.17E+00
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	1     	1     	1984-11-25	1984-11-25	  2.30E+00  	  2.30E+00  	  2.30E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	3     	8     	1984-11-25	1985-07-02	  1.00E+01  	  4.00E+01  	  2.19E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	3     	8     	1984-11-25	1985-07-02	  1.42E+02  	  8.60E+01  	  6.26E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	1     	1     	1984-11-25	1984-11-25	  1.38E+00  	  1.38E+00  	  1.38E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	7     	1985-03-19	1985-07-02	  1.02E+01  	  9.70E+00  	  9.46E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	2     	7     	1985-03-19	1985-07-02	  8.53E+01  	  9.37E+01  	  8.97E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	2     	8     	1973-10-01	1973-10-04	  3.40E+01  	  7.30E+01  	  3.93E+01
00335	COD      LOWLEVEL MG/L    	COD, .025N K2CR2O7                            MG/L	1     	2     	1973-10-01	1973-10-03	  1.90E+01  	  3.10E+01  	  2.50E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	2     	8     	1973-10-01	1973-10-04	  1.94E+02  	  6.00E+01  	  1.82E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	2     	4     	1973-10-02	1973-10-04	  7.20E+00  	  8.00E+00  	  7.50E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	5     	16    	1973-10-01	1985-07-02	  6.86E+00  	  7.70E+00  	  7.32E+00
