Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370158A        	ASHEBORO STP AT ASHEBORO NC TO HACKETTS CREEK / CAPE FEAR RIVER BASIN / DRYING BED SLUDGE                                                                                     	USEPA REGION 4           	North Carolina                	Randolph                      	 35.708333	-79.811667                               	 518000E-3  	 	03040103	00008	1980-12-04	      1100	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 235000E-4  	 	03040103	00010	1998-06-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 240000E-4  	 	03040103	00010	1998-07-16	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 210000E-4  	 	03040103	00010	1998-08-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 245000E-4  	 	03040103	00010	1998-08-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 230000E-4  	 	03040103	00010	1998-09-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 200000E-4  	 	03040103	00010	1998-10-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 100000E-4  	 	03040103	00010	1998-10-23	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 100000E-4  	 	03040103	00010	1998-11-19	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 500000E-5  	 	03040103	00010	1998-12-29	      2500	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370158A        	ASHEBORO STP AT ASHEBORO NC TO HACKETTS CREEK / CAPE FEAR RIVER BASIN / DRYING BED SLUDGE                                                                                     	USEPA REGION 4           	North Carolina                	Randolph                      	 35.708333	-79.811667                               	 198100E-2  	 	03040103	00026	1980-12-04	      1100	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 371000E-4  	 	03040103	00076	1998-06-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 590000E-5  	 	03040103	00076	1998-07-16	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 167000E-4  	 	03040103	00076	1998-08-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 148000E-4  	 	03040103	00076	1998-09-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 102000E-4  	 	03040103	00076	1998-10-23	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 520000E-5  	 	03040103	00076	1998-11-19	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 254000E-4  	 	03040103	00076	1998-12-29	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 107000E-3  	 	03040103	00094	1998-06-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 141200E-3  	 	03040103	00094	1998-07-16	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 115000E-3  	 	03040103	00094	1998-08-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 114000E-3  	 	03040103	00094	1998-08-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 105900E-3  	 	03040103	00094	1998-09-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 119000E-3  	 	03040103	00094	1998-10-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 128000E-3  	 	03040103	00094	1998-10-23	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 131900E-3  	 	03040103	00094	1998-11-19	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 108300E-3  	 	03040103	00094	1998-12-29	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 730000E-5  	 	03040103	00300	1998-06-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 480000E-5  	 	03040103	00300	1998-07-16	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 540000E-5  	 	03040103	00300	1998-08-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 440000E-5  	 	03040103	00300	1998-08-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 450000E-5  	 	03040103	00300	1998-09-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 540000E-5  	 	03040103	00300	1998-10-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 860000E-5  	 	03040103	00300	1998-10-23	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 850000E-5  	 	03040103	00300	1998-11-19	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 114000E-4  	 	03040103	00300	1998-12-29	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 839080E-4  	$	03040103	00301	1998-06-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 564706E-4  	$	03040103	00301	1998-07-16	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 600000E-4  	$	03040103	00301	1998-08-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 517647E-4  	$	03040103	00301	1998-08-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 517241E-4  	$	03040103	00301	1998-09-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 586956E-4  	$	03040103	00301	1998-10-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 761062E-4  	$	03040103	00301	1998-10-23	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 752212E-4  	$	03040103	00301	1998-11-19	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 890625E-4  	$	03040103	00301	1998-12-29	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 754000E-5  	 	03040103	00400	1998-06-04	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 738000E-5  	 	03040103	00400	1998-07-16	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 723000E-5  	 	03040103	00400	1998-08-05	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 696000E-5  	 	03040103	00400	1998-08-18	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 738000E-5  	 	03040103	00400	1998-09-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 668000E-5  	 	03040103	00400	1998-10-08	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 694000E-5  	 	03040103	00400	1998-10-23	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 673000E-5  	 	03040103	00400	1998-11-19	      2500	          	        	            	        	                	  	                     	B 	                                                            	
21NCYADK	Q6705000       	Uwharrie River @ NC Hwy 49 near Farmer /  /                                                                                                                                   	DEPT HEALTH NATURAL RES  	North Carolina                	Randolph                      	 35.658611	-79.982222                               	 700000E-5  	 	03040103	00400	1998-12-29	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276128      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	     35.65	-79.816667                               	 490000E-4  	 	03040104	00662	1984-11-07	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276550      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	 35.733333	-79.716667                               	 420000E-4  	K	03030003	00662	1984-11-07	      1130	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276596      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	      35.6	-79.85                                   	 690000E-4  	 	03040104	00662	1985-04-04	      0930	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370158A        	ASHEBORO STP AT ASHEBORO NC TO HACKETTS CREEK / CAPE FEAR RIVER BASIN / DRYING BED SLUDGE                                                                                     	USEPA REGION 4           	North Carolina                	Randolph                      	 35.708333	-79.811667                               	 860000E-2  	 	03040103	00917	1980-12-04	      1100	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276128      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	     35.65	-79.816667                               	 870000E-5  	 	03040104	00918	1984-11-07	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276550      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	 35.733333	-79.716667                               	 344000E-4  	 	03030003	00918	1984-11-07	      1130	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276596      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	      35.6	-79.85                                   	 164000E-4  	 	03040104	00918	1985-04-04	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276128      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	     35.65	-79.816667                               	 718000E-5  	 	03040104	00921	1984-11-07	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276550      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	 35.733333	-79.716667                               	 104000E-4  	 	03030003	00921	1984-11-07	      1130	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276596      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	      35.6	-79.85                                   	 917000E-5  	 	03040104	00921	1985-04-04	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276128      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	     35.65	-79.816667                               	 141000E-4  	 	03040104	00923	1984-11-07	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276550      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	 35.733333	-79.716667                               	 143000E-4  	 	03030003	00923	1984-11-07	      1130	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276596      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	      35.6	-79.85                                   	 886000E-5  	 	03040104	00923	1985-04-04	      0930	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370158A        	ASHEBORO STP AT ASHEBORO NC TO HACKETTS CREEK / CAPE FEAR RIVER BASIN / DRYING BED SLUDGE                                                                                     	USEPA REGION 4           	North Carolina                	Randolph                      	 35.708333	-79.811667                               	 152000E-2  	 	03040103	00924	1980-12-04	      1100	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370158A        	ASHEBORO STP AT ASHEBORO NC TO HACKETTS CREEK / CAPE FEAR RIVER BASIN / DRYING BED SLUDGE                                                                                     	USEPA REGION 4           	North Carolina                	Randolph                      	 35.708333	-79.811667                               	 200000E-3  	 	03040103	00934	1980-12-04	      1100	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276128      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	     35.65	-79.816667                               	 104000E-5  	 	03040104	00939	1984-11-07	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276550      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	 35.733333	-79.716667                               	 291000E-5  	 	03030003	00939	1984-11-07	      1130	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276596      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	      35.6	-79.85                                   	 712000E-6  	 	03040104	00939	1985-04-04	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276128      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	     35.65	-79.816667                               	 500000E-5  	K	03040104	00978	1984-11-07	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276550      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	 35.733333	-79.716667                               	 500000E-5  	K	03030003	00978	1984-11-07	      1130	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276596      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	      35.6	-79.85                                   	 500000E-5  	K	03040104	00978	1985-04-04	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276128      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	     35.65	-79.816667                               	 600000E-5  	K	03040104	00979	1984-11-07	      0930	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276550      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	 35.733333	-79.716667                               	 600000E-5  	K	03030003	00979	1984-11-07	      1130	          	        	            	        	                	  	                     	B 	                                                            	
12OWNIRS	NC0276596      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Randolph                      	      35.6	-79.85                                   	 600000E-5  	K	03040104	00979	1985-04-04	      0930	          	        	            	        	                	  	                     	B 	                                                            	
