Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
11EPALES	370201         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Richmond                      	    35.075	-79.896111 	03040104	            005	          2.01	OFF     	PEE DEE R                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	            7	FEET                	S	 	LOCATED BETWEEN TWO SMALL GROUPS OF ISLANDS ABOUT 1/4 MILE APART AT NORTH END OF RESERVOIR. COMMENTS: 3-23, EXTREMELY MUDDY FROM HEAVY RAINS; (108,55,46)(75,65,26) (65,40,26)=-19 FOR +19 OFFSET. 7-11 ULE 18. USGS MAP: MANGUM QUAD
11EPALES	370202         	BLEWETT FALLS LAKE /  /                                                                                                                                                       	USEPA                    	North Carolina                	Richmond                      	 35.004722	-79.893611 	03040104	            001	          2.26	OFF     	PEE DEE R                                                   	none                                    	/TYPA/AMBNT/LAKE                                                 	           25	FEET                	S	 	MID-RESERVOIR AT MOUTH OF LARGE COVE ENTERING FROM THE WEST. COMMENTS: ULE 20, EXTREME TURBIDITY FROM RECENT RAINS; NO EMERGENT OR FLOATING VEGETATION OR ALGAE SCUM. 7-5 ULE 17. USGS MAP: MANGUM QUAD
21NC37GW	RI1051         	ELLERBE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Richmond                      	 35.076111	-79.758611 	03040104	               	              	        	                                                            	T53A1,100RI1051                         	/TYPA/AMBNT/WELL                                                 	          115	FEET                	 	G	none
21NC37GW	RI1438         	NORMAN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Richmond                      	 35.172222	-79.725556 	03040104	               	              	        	                                                            	R52X1,100RI1438                         	/TYPA/AMBNT/WELL                                                 	           90	FEET                	 	G	none
21NC37GW	RI1558         	ELLERBE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Richmond                      	 35.083333	-79.75     	03040104	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           68	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1559         	ROCKINGHAM / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC DE&NR                 	North Carolina                	Richmond                      	 34.916667	-79.75     	03040201	            020	          5.74	OFF     	HITCHCOCK CR                                                	none                                    	/TYPA/AMBNT/WELL                                                 	           76	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1560         	HAMLET / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Richmond                      	 34.833333	-79.666667 	03040201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           94	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1561         	HAMLET / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Richmond                      	 34.833333	-79.666667 	03040201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           92	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1562         	NORMAN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Richmond                      	 35.083333	-79.666667 	03040201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          123	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1568         	HOFFMAN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Richmond                      	 35.026111	-79.548611 	03040203	               	              	        	                                                            	T50R6,100RI1568                         	/TYPA/AMBNT/WELL                                                 	           80	FEET                	 	G	none
21NC37GW	RI1569         	HOFFMAN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Richmond                      	 35.026111	-79.548611 	03040203	               	              	        	                                                            	T50R7,100RI1569                         	/TYPA/AMBNT/WELL                                                 	           80	FEET                	 	G	none
21NC37GW	RI1570         	HAMLET / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Richmond                      	 34.833333	-79.666667 	03040201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          193	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1571         	HAMLET / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Richmond                      	 34.833333	-79.666667 	03040201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          184	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1572         	ELLERBE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Richmond                      	 35.066667	-79.733333 	03040201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           86	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1573         	ELLERBE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Richmond                      	 35.083333	-79.666667 	03040201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RI1581         	HOFFMAN / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                          	NC DE&NR                 	North Carolina                	Richmond                      	 35.026111	-79.548611 	03040203	               	              	        	                                                            	T50R8,100RI1581                         	/TYPA/AMBNT/WELL                                                 	          122	FEET                	 	G	none
21NCGWNW	RI1632         	HOFFMAN RS / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                       	NC ENV. HTH. NAT. RES.   	North Carolina                	Richmond                      	 35.026111	-79.548611 	03040203	               	              	        	                                                            	T50R6                                   	/TYPA/AMBNT/WELL                                                 	            0	FEET                	 	G	none
21NCYADK	Q9320000       	Littel Creek @ SR 1148 near Ellerbe /  /                                                                                                                                      	DEPT HEALTH NATURAL RES  	North Carolina                	Richmond                      	 35.106389	-79.916111 	03040104	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	Sig. Trib. to the Pee Dee River
21NCYADK	Q9340000       	Toms Branch @ NCSR 1310 near Ellerbe /  /                                                                                                                                     	DEPT HEALTH NATURAL RES  	North Carolina                	Richmond                      	 35.111389	-79.791111 	03040104	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	Downstream of Ellerbe WWTP
21NCYADK	Q9400000       	Pee Dee River @ US Hwy 74 near Rockingham /  /                                                                                                                                	DEPT HEALTH NATURAL RES  	North Carolina                	Richmond                      	 34.962222	-79.869167 	03040201	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	Mainstem - duplicates ambient station 02129000
