Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 161060E-1  	 	03040203	00029	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 161050E-1  	 	03040203	00029	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 920000E-6  	U	03040203	30344	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 940000E-6  	 	03040203	30344	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 247000E-5  	U	03040203	30345	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 910000E-6  	 	03040203	30345	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 185000E-5  	U	03040203	30346	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 313000E-5  	 	03040203	30346	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 138000E-5  	U	03040203	30347	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 370000E-6  	 	03040203	30347	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 440000E-6  	 	03040203	30348	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 505000E-5  	 	03040203	30348	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 920000E-6  	U	03040203	30349	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 245400E-4  	 	03040203	30349	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 780000E-6  	U	03040203	30350	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 720000E-6  	 	03040203	30350	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 850000E-6  	U	03040203	30351	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 116000E-5  	J	03040203	30351	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 284000E-5  	U	03040203	30352	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 300000E-6  	J	03040203	30352	1987-12-02	      0059	          	        	         511	        	                	  	                     	B 	                                                            	
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333                               	 285000E-5  	U	03040203	30353	1987-12-02	      0126	          	        	          81	        	                	  	                     	B 	                                                            	
