Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
111WS   	123NSP         	LUMBERTON WATER PLANT / SOUTHEAST / YADKIN-PEE DEE-LOWER PEE DEE RIVER                                                                                                        	USEPA HQ                 	North Carolina                	Robeson                       	          	           	03040203	            016	         18.17	ON      	LUMBER R                                                    	none                                    	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	          999	FEET                	 	 	NATIONAL SURVEY FOR ALDRIN,DIELDRIN,AND DDT IN DRINKING WATER RAW WATER SAMPLE AT MUNICIPAL WATER WORKS SURFACE WATER SOURCE
11BIOACC	3342           	LUMBER RIVER @ LUMBERTON /  /                                                                                                                                                 	U.S. EPA MDSD            	North Carolina                	Robeson                       	 34.608333	-78.983333 	03040203	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM                                               	            0	FEET                	S	 	none
21NC37GW	RB1025         	REX RENNERT SCHOOL RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                   	NC DE&NR                 	North Carolina                	Robeson                       	 34.844167	-79.085833 	03040203	               	              	        	                                                            	V45U2,100RB1025                         	/TYPA/AMBNT/WELL                                                 	          353	FEET                	 	G	none
21NC37GW	RB1026         	REX RENNERT SCHOOL RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                   	NC DE&NR                 	North Carolina                	Robeson                       	 34.844167	-79.085833 	03040203	               	              	        	                                                            	V45U3,100RB1026                         	/TYPA/AMBNT/WELL                                                 	           95	FEET                	 	G	none
21NC37GW	RB1027         	REX RENNERT SCHOOL RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                   	NC DE&NR                 	North Carolina                	Robeson                       	 34.844167	-79.085833 	03040203	               	              	        	                                                            	V45U4,100RB1027                         	/TYPA/AMBNT/WELL                                                 	          132	FEET                	 	G	none
21NC37GW	RB1028         	LUMBER BRIDGE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Robeson                       	 34.844167	-79.085833 	03040203	               	              	        	                                                            	V45U5,100RB1028                         	/TYPA/AMBNT/WELL                                                 	           30	FEET                	 	G	none
21NC37GW	RB1030         	RED SPRINGS / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                      	NC DE&NR                 	North Carolina                	Robeson                       	 34.844167	-79.085833 	03040203	               	              	        	                                                            	V45U7,100RB1030                         	/TYPA/AMBNT/WELL                                                 	           30	FEET                	 	G	none
21NC37GW	RB1123         	LUMBERTON / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Robeson                       	 34.687222	-79.058056 	03040203	               	              	        	                                                            	X44Q1,100RB1123                         	/TYPA/AMBNT/WELL                                                 	          342	FEET                	 	G	none
21NC37GW	RB1132         	LUMBERTON / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Robeson                       	 34.671389	-79.026389 	03040203	               	              	        	                                                            	X44V1,100RB1132                         	/TYPA/AMBNT/WELL                                                 	            9	FEET                	 	G	none
21NC37GW	RB1164         	RED BANKS RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                            	NC DE&NR                 	North Carolina                	Robeson                       	 34.723889	-79.261667 	03040203	               	              	        	                                                            	X47K1,100RB1164                         	/TYPA/AMBNT/WELL                                                 	          462	FEET                	 	G	none
21NC37GW	RB1165         	PEMBROKE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                         	NC DE&NR                 	North Carolina                	Robeson                       	 34.723889	-79.261667 	03040203	               	              	        	                                                            	X47K2,100RB1165                         	/TYPA/AMBNT/WELL                                                 	           38	FEET                	 	G	none
21NC37GW	RB1185         	LITTLEFIELD SCHOOL RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                   	NC DE&NR                 	North Carolina                	Robeson                       	 34.643333	-78.905278 	03040203	               	              	        	                                                            	Y42F3,100RB1185                         	/TYPA/AMBNT/WELL                                                 	          474	FEET                	 	G	none
21NC37GW	RB1186         	LITTLEFIELD SCHOOL RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE -LUMBER                                                                                                    	NC DE&NR                 	North Carolina                	Robeson                       	 34.643333	-78.905278 	03040203	               	              	        	                                                            	Y42F4,100RB1186                         	/TYPA/AMBNT/WELL                                                 	          315	FEET                	 	G	none
21NC37GW	RB1190         	LUMBERTON / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                        	NC DE&NR                 	North Carolina                	Robeson                       	 34.643333	-78.905278 	03040203	               	              	        	                                                            	Y42F8,100RB1190                         	/TYPA/AMBNT/WELL                                                 	           21	FEET                	 	G	none
21NC37GW	RB1191         	LITTLEFIELD RESEARCH STATION / SOUTHEAST / YADKIN - PEE DEE - LUMBER                                                                                                          	NC DE&NR                 	North Carolina                	Robeson                       	 34.643333	-78.913611 	03040203	               	              	        	                                                            	Y42F9                                   	/TYPA/AMBNT/WELL                                                 	          468	FEET                	 	G	none
