Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1113WSWQ	RO-13          	DAN RIVER JUST ABOVE MOUTH OF SMITH RIVER / SOUTHEAST / ROANOKE RIVER                                                                                                         	USEPA REGION 3           	North Carolina                	Rockingham                    	 36.491667	-79.754167                               	 974000E-3  	 	03010103	00008	1987-06-09	      1731	1987-06-09	    1831	            	        	                	A 	                    3	G 	Spatial Composite                                           	Water
1113WSWQ	RO-13          	DAN RIVER JUST ABOVE MOUTH OF SMITH RIVER / SOUTHEAST / ROANOKE RIVER                                                                                                         	USEPA REGION 3           	North Carolina                	Rockingham                    	 36.491667	-79.754167                               	 973000E-3  	 	03010103	00008	1987-06-09	      1730	1987-06-09	    1830	            	        	                	A 	                    3	G 	Spatial Composite                                           	Water
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 158100E-2  	 	03030002	00008	1979-06-26	      0730	1979-06-27	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 158200E-2  	 	03030002	00008	1979-06-27	      0730	1979-06-28	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 158300E-2  	 	03030002	00008	1979-06-26	      0730	1979-06-27	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 158400E-2  	 	03030002	00008	1979-06-27	      0730	1979-06-28	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114C        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / SLUDGE-RANDOM GRABS FROM DRYING BEDS                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 158500E-2  	 	03030002	00008	1979-06-26	      1445	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 280000E-4  	 	03030002	00010	1979-06-26	      1310	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 320000E-4  	 	03030002	00010	1979-06-27	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 290000E-4  	 	03030002	00010	1979-06-28	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 220000E-4  	 	03030002	00010	1979-06-27	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 230000E-4  	 	03030002	00010	1979-06-28	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-26	      0730	1979-06-27	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-26	      1310	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-27	      0730	1979-06-28	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-27	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-28	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-26	      0730	1979-06-27	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-26	      1430	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-27	      0730	1979-06-28	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-27	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 197900E-2  	 	03030002	00026	1979-06-28	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114C        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / SLUDGE-RANDOM GRABS FROM DRYING BEDS                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 198000E-2  	 	03030002	00026	1979-06-26	      1445	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 800000E-5  	 	03030002	00300	1979-06-26	      1430	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 700000E-5  	 	03030002	00300	1979-06-28	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 804598E-4  	$	03030002	00301	1979-06-28	      0800	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 160000E-3  	 	03030002	00310	1979-06-26	      0730	1979-06-27	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 156000E-3  	 	03030002	00310	1979-06-27	      0730	1979-06-28	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 880000E-5  	 	03030002	00310	1979-06-26	      0730	1979-06-27	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 400000E-5  	K	03030002	00310	1979-06-27	      0730	1979-06-28	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 583000E-3  	 	03030002	00340	1979-06-26	      0730	1979-06-27	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 612000E-3  	 	03030002	00340	1979-06-27	      0730	1979-06-28	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667                               	 550000E-4  	 	03030002	00340	1979-06-26	      0730	1979-06-27	    0730	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
