Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1113WSWQ	RO-13          	DAN RIVER JUST ABOVE MOUTH OF SMITH RIVER / SOUTHEAST / ROANOKE RIVER                                                                                                         	USEPA REGION 3           	North Carolina                	Rockingham                    	 36.491667	-79.754167 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/STREAM/SOLIDS                                        	            0	FEET                	S	 	none
1114PEST	370114A        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / INFLUENT AFTER BARMINUTOR                                                                                   	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667 	03030002	            024	           9.3	OFF     	TROUBLESOME CR                                              	NC0025071 A,MBI      MBS                	/TYPA/MUN/NTRTMT/INTAKE/NONAMB/PIPE                              	            0	FEET                	 	 	none
1114PEST	370114B        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / EFFLUENT WEIR AFTER CHLORINE CONTACT                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667 	03030002	            024	           9.3	OFF     	TROUBLESOME CR                                              	NC0025071 B,MB-001   MBS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370114C        	MEBANE BRIDGE STP AT EDEN NC TO DAN RIVER / ROANOKE RIVER BASIN / SLUDGE-RANDOM GRABS FROM DRYING BEDS                                                                        	USEPA REGION 4           	North Carolina                	Rockingham                    	      36.3	-79.766667 	03030002	            024	           9.3	OFF     	TROUBLESOME CR                                              	NC0025071 C,MB-DS    MBS                	/TYPA/MUN/INPLNT/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
21NC37GW	RK1085         	STONEVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	 36.460833	-79.9075   	03010103	               	              	        	                                                            	C54O1,100RK1085                         	/TYPA/AMBNT/WELL                                                 	          193	FEET                	 	G	none
21NC37GW	RK1097         	MADISON / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Rockingham                    	 36.311389	-79.941389 	03010103	               	              	        	                                                            	E55I1,100RK1097                         	/TYPA/AMBNT/WELL                                                 	          160	FEET                	 	G	none
21NC37GW	RK2623         	GREENSBORO / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Rockingham                    	     36.25	-79.916667 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          250	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2624         	REIDSVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	 36.416667	-79.533333 	03010104	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2625         	REIDSVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	 36.383333	-79.9      	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2626         	STONEVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	 36.416667	-79.833333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          145	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2627         	STONEVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	 36.433333	-79.883333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          200	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2628         	STONEVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	     36.45	-79.866667 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          100	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2629         	MAYODAN / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Rockingham                    	 36.433333	-79.983333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          325	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2630         	STONEVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	      36.5	-79.833333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          325	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2631         	STONEVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	      36.5	-79.833333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          300	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2632         	MADISON / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Rockingham                    	 36.333333	-79.933333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          400	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2633         	STONEVILLE / SOUTHEAST / ROANOKE                                                                                                                                              	NC DE&NR                 	North Carolina                	Rockingham                    	      36.5	-79.833333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          240	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2634         	MAYODAN / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Rockingham                    	 36.466667	-80        	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          275	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2635         	MAYODAN / SOUTHEAST / ROANOKE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Rockingham                    	 36.416667	-79.983333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          450	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2636         	RUFFIN / SOUTHEAST / ROANOKE                                                                                                                                                  	NC DE&NR                 	North Carolina                	Rockingham                    	     36.45	-79.583333 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	          225	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2637         	REIDSVILLE / SOUTHEAST / CAPE FEAR                                                                                                                                            	NC DE&NR                 	North Carolina                	Rockingham                    	 36.295833	-79.734722 	03030002	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           55	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
21NC37GW	RK2638         	REIDSVILLE / SOUTHEAST / TAR                                                                                                                                                  	NC DE&NR                 	North Carolina                	Rockingham                    	 36.302778	-79.869444 	03010103	               	              	        	                                                            	none                                    	/TYPA/AMBNT/WELL                                                 	           67	FEET                	 	G	C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH
