
Rockingham, NC
Number of Stations = 48


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	4     	7     	1979-06-26	1987-06-09	  1.58E+03  	  9.74E+02  	  1.41E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	2     	5     	1979-06-26	1979-06-28	  2.20E+01  	  3.20E+01  	  2.68E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	3     	11    	1979-06-26	1979-06-28	  1.98E+03  	  1.98E+03  	  1.98E+03
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	1     	2     	1979-06-26	1979-06-28	  7.00E+00  	  8.00E+00  	  7.50E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	1     	1     	1979-06-28	1979-06-28	  8.05E+01  	  8.05E+01  	  8.05E+01
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	2     	4     	1979-06-26	1979-06-27	  1.56E+02  	  8.80E+00  	  8.22E+01
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	2     	4     	1979-06-26	1979-06-27	  5.50E+01  	  9.00E+01  	  3.35E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	2     	5     	1979-06-26	1979-06-28	  6.40E+00  	  8.20E+00  	  6.90E+00
00495	% MOIST. SEDIMENT SAMPLE  	MOISTURE CONTENT (PERCENT OF TOTAL DRY WEIGHT)    	1     	2     	1987-06-09	1987-06-09	  4.10E+01  	  5.90E+01  	  5.00E+01
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	2     	4     	1979-06-26	1979-06-27	  1.04E+02  	  4.80E+01  	  8.33E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	2     	4     	1979-06-26	1979-06-27	  1.20E-01  	  7.50E+00  	  3.54E+00
00916	CALCIUM  CA-TOT   MG/L    	CALCIUM, TOTAL (MG/L AS CA)                       	2     	4     	1979-06-26	1979-06-27	  1.30E+01  	  3.70E+01  	  2.00E+01
00917	CA MUD   DRY WGT  MG/KG-CA	CALCIUM IN BOTTOM DEPOSITS (MG/KG AS CA DRY WGT)  	2     	3     	1979-06-26	1987-06-09	  1.19E+03  	  1.69E+03  	  1.38E+03
00924	MG MUD   DRY WGT  MG/KG-MG	MAGNESIUM IN BOTTOM DEPOS. (MG/KG AS MG DRY WGT)  	2     	3     	1979-06-26	1987-06-09	  3.60E+03  	  5.57E+03  	  4.30E+03
00927	MGNSIUM  MG,TOT   MG/L    	MAGNESIUM, TOTAL (MG/L AS MG)                     	2     	4     	1979-06-26	1979-06-27	  3.60E+00  	  4.50E+00  	  3.88E+00
00929	SODIUM   NA,TOT   MG/L    	SODIUM, TOTAL (MG/L AS NA)                        	2     	4     	1979-06-26	1979-06-27	  1.18E+02  	  9.80E+01  	  9.80E+01
00934	NA MUD   DRY WGT  MG/KG-NA	SODIUM IN BOTTOM DEPOSITS (MG/KG AS NA DRY WGT)   	2     	3     	1979-06-26	1987-06-09	  2.60E+03  	  8.40E+01  	  9.23E+02
01002	ARSENIC  AS,TOT   UG/L    	ARSENIC, TOTAL (UG/L AS AS)                       	2     	4     	1979-06-26	1979-06-27	  2.50E+01  	  2.50E+01  	  2.50E+01
01003	ARSENIC  SEDMG/KG DRY WGT 	ARSENIC IN BOTTOM DEPOSITS (MG/KG AS AS DRY WGT)  	2     	3     	1979-06-26	1987-06-09	  1.00E+01  	  8.90E+00  	  1.30E+01
01007	BARIUM   BA,TOT   UG/L    	BARIUM, TOTAL (UG/L AS BA)                        	2     	4     	1979-06-26	1979-06-27	  3.80E+01  	  9.60E+01  	  6.55E+01
01008	BA MUD   DRY WGT  MG/KG-BA	BARIUM IN BOTTOM DEPOSITS (MG/KG AS BA DRY WGT)   	2     	3     	1979-06-26	1987-06-09	  1.24E+02  	  1.89E+02  	  5.75E+02
01012	BERYLIUM BE,TOT   UG/L    	BERYLLIUM, TOTAL (UG/L AS BE)                     	2     	4     	1979-06-26	1979-06-27	  1.00E+01  	  1.00E+01  	  1.00E+01
01013	BERYLIUM SEDMG/KG DRY WGT 	BERYLLIUM IN BOTTOM DEPOSITS(MG/KG AS BE DRY WGT) 	1     	2     	1987-06-09	1987-06-09	  1.70E+00  	  2.40E+00  	  2.05E+00
01027	CADMIUM  CD,TOT   UG/L    	CADMIUM, TOTAL (UG/L AS CD)                       	2     	4     	1979-06-26	1979-06-27	  1.00E+01  	  1.00E+01  	  1.00E+01
01028	CD MUD   DRY WGT  MG/KG-CD	CADMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	2     	3     	1979-06-26	1987-06-09	  2.20E+00  	  5.00E+00  	  3.73E+00
01029	CHROMIUM SEDMG/KG DRY WGT 	CHROMIUM,TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT) 	2     	3     	1979-06-26	1987-06-09	  3.30E+01  	  6.92E+02  	  2.60E+02
01034	CHROMIUM CR,TOT   UG/L    	CHROMIUM, TOTAL (UG/L AS CR)                      	2     	4     	1979-06-26	1979-06-27	  1.00E+01  	  1.00E+01  	  1.00E+01
01037	COBALT   CO,TOTAL UG/L    	COBALT, TOTAL (UG/L AS CO)                        	2     	4     	1979-06-26	1979-06-27	  2.50E+01  	  2.50E+01  	  2.50E+01
01038	CO MUD   DRY WGT  MG/KG-CO	COBALT IN BOTTOM DEPOSITS (MG/KG AS CO DRY WGT)   	1     	2     	1987-06-09	1987-06-09	  1.40E+01  	  2.50E+01  	  1.95E+01
01042	COPPER   CU,TOT   UG/L    	COPPER, TOTAL (UG/L AS CU)                        	2     	4     	1979-06-26	1979-06-27	  1.01E+02  	  6.80E+01  	  1.10E+02
01043	COPPER   SEDMG/KG DRY WGT 	COPPER IN BOTTOM DEPOSITS (MG/KG AS CU DRY WGT)   	2     	3     	1979-06-26	1987-06-09	  1.80E+01  	  3.00E+01  	  6.76E+02
01051	LEAD     PB,TOT   UG/L    	LEAD, TOTAL (UG/L AS PB)                          	2     	4     	1979-06-26	1979-06-27	  2.50E+01  	  2.50E+01  	  2.50E+01
01052	LEAD     SEDMG/KG DRY WGT 	LEAD IN BOTTOM DEPOSITS (MG/KG AS PB DRY WGT)     	2     	3     	1979-06-26	1987-06-09	  1.30E+01  	  5.10E+01  	  6.67E+01
01053	MN MUD   DRY WGT  MG/KG-MN	MANGANESE IN BOTTOM DEPOSITS (MG/KG AS MN DRY WGT)	2     	3     	1979-06-26	1987-06-09	  4.00E+02  	  7.12E+02  	  5.23E+02
01055	MANGNESE MN       UG/L    	MANGANESE, TOTAL (UG/L AS MN)                     	2     	4     	1979-06-26	1979-06-27	  1.00E+02  	  8.00E+01  	  9.50E+01
01062	MOLY     MO,TOT   UG/L    	MOLYBDENUM, TOTAL (UG/L AS MO)                    	2     	4     	1979-06-26	1979-06-27	  2.00E+01  	  2.00E+01  	  2.00E+01
01064	TELLURUM TE.TOT.  UG/L    	TELLURIUM, TOTAL IN WHOLE WATER SAMPLE (UG/L)     	2     	4     	1979-06-26	1979-06-27	  4.00E+01  	  4.00E+01  	  4.00E+01
01067	NICKEL   NI,TOTAL UG/L    	NICKEL, TOTAL (UG/L AS NI)                        	2     	4     	1979-06-26	1979-06-27	  2.00E+01  	  2.00E+01  	  2.00E+01
01068	NICKEL   SEDMG/KG DRY WGT 	NICKEL, TOTAL IN BOTTOM DEPOSITS (MG/KG,DRY WGT)  	2     	3     	1979-06-26	1987-06-09	  1.40E+01  	  4.00E+01  	  2.60E+01
01077	SILVER   AG,TOT   UG/L    	SILVER, TOTAL (UG/L AS AG)                        	2     	4     	1979-06-26	1979-06-27	  1.00E+01  	  1.00E+01  	  1.00E+01
01078	SILVER   SEDMG/KG DRY WGT 	SILVER IN BOTTOM DEPOSITS (MG/KG AS AG DRY WGT)   	2     	3     	1979-06-26	1987-06-09	  2.90E+00  	  4.20E+00  	  1.50E+01
01082	STRONTUM SR,TOT   UG/L    	STRONTIUM, TOTAL (UG/L AS SR)                     	2     	4     	1979-06-26	1979-06-27	  5.20E+01  	  8.40E+01  	  6.45E+01
01083	SR MUD   DRY WGT  MG/KG-SR	STRONTIUM IN BOTTOM DEPOSITS(MG/KG AS SR DRY WGT) 	1     	1     	1979-06-26	1979-06-26	  9.40E+01  	  9.40E+01  	  9.40E+01
01087	VANADIUM V,TOT    UG/L    	VANADIUM, TOTAL (UG/L AS V)                       	2     	4     	1979-06-26	1979-06-27	  1.00E+01  	  1.00E+01  	  1.00E+01
