Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370160A        	TOWN CR STP NR SALISBURY NC TO TOWN CREEK / YADKIN-PEE DEE R BASIN / FILTERED SLUDGE                                                                                          	USEPA REGION 4           	North Carolina                	Rowan                         	 35.533333	-80.583333                               	 517000E-3  	 	03040105	00008	1980-12-03	      1115	          	        	            	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 610600E-2  	 	03040103	00008	1973-03-24	      1450	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 610700E-2  	 	03040103	00008	1973-03-24	      1450	          	        	          20	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 610800E-2  	 	03040103	00008	1973-03-24	      1450	          	        	          12	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 611000E-2  	 	03040103	00008	1973-03-24	      1450	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 610900E-2  	 	03040103	00008	1973-03-24	      1450	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 109980E-1  	 	03040103	00008	1973-07-12	      0950	          	        	          23	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 109970E-1  	 	03040103	00008	1973-07-12	      0950	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 109960E-1  	 	03040103	00008	1973-07-12	      0950	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 109950E-1  	 	03040103	00008	1973-07-12	      0950	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 141380E-1  	 	03040103	00008	1973-09-19	      1020	          	        	          20	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 141370E-1  	 	03040103	00008	1973-09-19	      1020	          	        	           5	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 141360E-1  	 	03040103	00008	1973-09-19	      1020	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 106000E-4  	 	03040103	00010	1973-03-24	      1450	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 107000E-4  	 	03040103	00010	1973-03-24	      1450	          	        	          20	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 116000E-4  	 	03040103	00010	1973-03-24	      1450	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 107000E-4  	 	03040103	00010	1973-03-24	      1450	          	        	          12	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 256000E-4  	 	03040103	00010	1973-07-12	      0950	          	        	          23	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 271000E-4  	 	03040103	00010	1973-07-12	      0950	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222                               	 279000E-4  	 	03040103	00010	1973-07-12	      0950	          	        	           0	        	                	  	                     	B 	                                                            	
