Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370160A        	TOWN CR STP NR SALISBURY NC TO TOWN CREEK / YADKIN-PEE DEE R BASIN / FILTERED SLUDGE                                                                                          	USEPA REGION 4           	North Carolina                	Rowan                         	 35.533333	-80.583333 	03040105	            018	         16.33	OFF     	COLDWATER CR                                                	NC0023892 A,SAL-FS   TCS                	/TYPA/MUN/TREATD/OUTFL/NONAMB/PIPE/SOLIDS                        	            0	FEET                	 	 	none
11EPALES	370602         	HIGH ROCK LAKE /  /                                                                                                                                                           	USEPA                    	North Carolina                	Rowan                         	 35.637222	-80.292222 	03040103	            035	           .14	OFF     	YADKIN R                                                    	none                                    	/TYPA/AMBNT/LAKE                                                 	           34	FEET                	S	 	330 DEGREES FROM DAM (BARELY VISIBLE IN DISTANCE), 220 DEGREES FROM HIGH RED CLAY BANKS, UPLAKE ABOUT 2 MILES FROM DAM, 030 DEGREES FROM LARGE PENINSULA TIP. COMMENTS: 3-24, ULE 20, NO ALGAE BLOOMS OR VISIBLE VEGETATION; HIGHLY SILTED FROM RECENT STORMS. 7-12 ULE 17 USGS MAP: SOUTHMONT QUAD
12OWNIRS	NC0113129      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Rowan                         	 35.566667	-80.566667 	03040103	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	            1	FEET                	 	 	none
12OWNIRS	NC0180055      	SOMEWHERE IN PUBLIC WATER SUPPLY SYSTEM / NIRSDATA / NIRSDATA                                                                                                                 	EPA/ODW                  	North Carolina                	Rowan                         	 35.583333	-80.45     	03040103	               	              	        	                                                            	none                                    	/TYPA/MUN/INPLNT/INTAKE/NONAMB/PIPE/DISTR                        	           80	FEET                	 	 	none
21NC37GW	RO1034         	NORTH SALISBURY / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                  	NC DE&NR                 	North Carolina                	Rowan                         	   35.7125	-80.465278 	03040103	               	              	        	                                                            	L61M1,100RO1034                         	/TYPA/AMBNT/WELL                                                 	           38	FEET                	 	G	NORTH SALISBURY FLOYD EAGLE SPENCER, NORTH CAROLINA C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINCE 1974 MEASURED MONTHLY AQUIFER WT 1 MILE N. OF SALISBURY ON W. SIDE OF SR1910 AT JCT. WITH SR1923- 0.2 MI. NORTH OF SR1914
21NC37GW	RO1293         	CHINA GROVE / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                      	NC DE&NR                 	North Carolina                	Rowan                         	 35.556944	-80.5875   	03040103	               	              	        	                                                            	N63J1,100RO1293                         	/TYPA/AMBNT/WELL                                                 	          775	FEET                	 	G	CHINA GROVE CHINA GROVE COTTEN MILL CHINA GROVE, NORTH CAROLINA C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH WATER LEVEL MONITORING NETWORK SINE 1974 MEASURED MONTHLY AQUIFER DIGB RD # 1237 BEHIND CHINA GROVE COTTEN MILL
21NC37GW	RO1294         	LANDIS / SOUTHEAST / YADKIN-PEE DEE                                                                                                                                           	NC DE&NR                 	North Carolina                	Rowan                         	 35.541944	-80.606944 	03040103	               	              	        	                                                            	N63L1,100RO1294                         	/TYPA/AMBNT/WELL                                                 	          999	FEET                	 	G	LANDIS TOWN OF LANDIS LANDIS, NORTH CAROLINA C/INT C/TYP C/DIA C/WAL  G/INT G/PLA G/MAT SC/INT SC/TYP SC/SLT SCR/OH TOTAL DEPTH OF WELL 1108 WATER LEVEL MONITORING NETWORK SINCE 1970 MEASURED MONTHLY AQUIFER DIGB * RECORDING WELL 0.25 MI. SW OF SR 1210 (E RYDER AVE) AT LANDIS PAVILLON PICNIC AREA
21NC37GW	RO2596         	KANNAPOLIS, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                    	NC DE&NR                 	North Carolina                	Rowan                         	 35.558056	-80.691667 	03040105	               	              	        	                                                            	N64I2                                   	/TYPA/AMBNT/WELL                                                 	          125	FEET                	 	G	none
21NC37GW	RO3144         	CHINA GROVE, NC / SOUTHEAST / YADKIN-PEEDEE                                                                                                                                   	NC DE&NR                 	North Carolina                	Rowan                         	   35.5575	-80.6925   	03040105	               	              	        	                                                            	N64I1                                   	/TYPA/AMBNT/WELL                                                 	          306	FEET                	 	G	none
