
Rowan, NC
Number of Stations = 118


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	2     	13    	1973-03-24	1980-12-03	  1.10E+04  	  6.11E+03  	  9.03E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	7     	65    	1973-03-24	1998-12-11	  1.05E+01  	  9.00E+00  	  1.98E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	1     	1     	1980-12-03	1980-12-03	  1.98E+03  	  1.98E+03  	  1.98E+03
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	1     	11    	1973-03-24	1973-09-19	  2.50E+01  	  8.10E+01  	  5.15E+01
00076	TURB     TRBIDMTR HACH FTU	TURBIDITY,HACH TURBIDIMETER (FORMAZIN TURB UNIT)  	6     	42    	1998-06-03	1998-12-11	  1.16E+01  	  8.90E+00  	  1.28E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	1     	3     	1973-03-24	1973-09-19	  1.00E+01  	  3.60E+01  	  2.60E+01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	13    	63    	1973-09-19	1998-12-11	  1.05E+02  	  9.90E+01  	  3.16E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	5     	13    	1973-03-24	1981-02-06	  5.50E+01  	  8.70E+01  	  6.39E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	7     	63    	1973-03-24	1998-12-11	  1.04E+01  	  9.60E+00  	  7.86E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	7     	62    	1973-03-24	1998-12-11	  1.00E+02  	  9.89E+01  	  8.36E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	9     	68    	1973-03-24	1998-12-11	  6.48E+00  	  8.14E+00  	  7.40E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	4     	4     	1981-01-27	1981-02-06	  6.70E+00  	  7.30E+00  	  6.93E+00
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	5     	16    	1973-03-24	1981-02-06	  1.00E+01  	  4.30E+01  	  1.91E+01
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	4     	4     	1981-01-27	1981-02-06	  2.20E+01  	  5.20E+01  	  3.10E+01
00445	CO3 ION  CO3      MG/L    	CARBONATE ION (MG/L AS CO3)                       	4     	4     	1981-01-27	1981-02-06	  1.00E+00  	  1.00E+00  	  1.00E+00
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	1     	7     	1998-06-04	1998-12-11	  1.00E+00  	  4.80E+01  	  1.89E+01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	5     	34    	1973-03-24	1998-12-11	  1.00E-01  	  6.70E-01  	  1.58E-01
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	4     	32    	1973-03-24	1998-12-11	  1.06E-03  	  9.47E-04  	  1.39E-03
00619	UN-IONZD NH3-NH3  MG/L    	AMMONIA, UNIONIZED (CALC FR TEMP-PH-NH4)  (MG/L)  	4     	32    	1973-03-24	1998-12-11	  1.04E-03  	  9.05E-04  	  1.69E-03
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	4     	33    	1973-03-24	1998-12-11	  1.00E+00  	  8.50E-01  	  8.94E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	4     	33    	1973-03-24	1998-12-11	  1.00E+01  	  9.60E-01  	  1.76E+00
00631	NO2&NO3  N-DISS   MG/L    	NITRITE PLUS NITRATE, DISS. 1 DET. (MG/L AS N)    	4     	4     	1981-01-27	1981-02-06	  1.10E+00  	  8.50E-01  	  6.93E-01
00662	PHOSPHOR WTR  TOT REC UG/L	PHOSPHORUS (P), WATER, TOTAL RECOVERABLE      UG/L	2     	2     	1985-11-13	1985-11-19	  4.20E+01  	  8.50E+01  	  6.35E+01
00665	PHOS-TOT  MG/L P          	PHOSPHORUS, TOTAL (MG/L AS P)                     	4     	33    	1973-03-24	1998-12-11	  1.00E-01  	  9.50E-02  	  7.89E-01
00666	PHOS-DIS  MG/L P          	PHOSPHORUS, DISSOLVED (MG/L AS P)                 	4     	4     	1981-01-27	1981-02-06	  5.00E-02  	  7.00E-02  	  5.75E-02
00671	PHOS-DIS ORTHO    MG/L P  	PHOSPHORUS, DISSOLVED ORTHOPHOSPHATE (MG/L AS P)  	1     	12    	1973-03-24	1973-09-19	  1.00E-02  	  9.00E-03  	  1.86E-02
00900	TOT HARD CACO3    MG/L    	HARDNESS, TOTAL (MG/L AS CACO3)                   	4     	4     	1981-01-27	1981-02-06	  1.20E+01  	  3.00E+01  	  1.90E+01
