Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1113S000	370004         	SECOND BROAD R S. OF CLIFFSIDE / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                         	USEPA REGION 4           	North Carolina                	Rutherford                    	 35.517222	-81.974444                               	 646000E-2  	 	03050105	00008	1972-05-10	      1100	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370006         	BROAD R AT FOREST CITY WTP / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                             	USEPA REGION 4           	North Carolina                	Rutherford                    	 35.330556	-81.838889                               	 645900E-2  	 	03050105	00008	1972-05-10	      1130	          	        	           1	        	                	  	                     	B 	                                                            	
1113S000	370008         	BROAD R 2 MI BELOW LAKE LURE DAM / SOUTHEAST / SANTEE-COOPER RIVER    BROAD RIVER STUDY                                                                                       	USEPA REGION 4           	North Carolina                	Rutherford                    	 35.427222	-82.164722                               	 645800E-2  	 	03050105	00008	1972-05-09	      1200	          	        	           1	        	                	  	                     	B 	                                                            	
1114PEST	370164A        	BURLINGTON INDUSTRIES AT FOREST CITY NC / SANTEE-COOPER RIV BASIN / OUTFALL 001 TO THE SECOND BROAD RIVER                                                                     	USEPA REGION 4           	North Carolina                	Rutherford                    	     35.34	-81.863333                               	 604000E-3  	 	03050105	00008	1980-12-09	      1245	1980-12-10	    1230	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370164A        	BURLINGTON INDUSTRIES AT FOREST CITY NC / SANTEE-COOPER RIV BASIN / OUTFALL 001 TO THE SECOND BROAD RIVER                                                                     	USEPA REGION 4           	North Carolina                	Rutherford                    	     35.34	-81.863333                               	 605000E-3  	 	03050105	00008	1980-12-10	      1215	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370174A        	SPINDALE STP AT SPINDALE NC TO HOLLAND CREEK / SANTEE-COOPER RIV BASIN / DRYING BED                                                                                           	USEPA REGION 4           	North Carolina                	Rutherford                    	 35.363333	-81.925                                  	 103600E-2  	 	03050105	00008	1981-03-16	      1600	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370164A        	BURLINGTON INDUSTRIES AT FOREST CITY NC / SANTEE-COOPER RIV BASIN / OUTFALL 001 TO THE SECOND BROAD RIVER                                                                     	USEPA REGION 4           	North Carolina                	Rutherford                    	     35.34	-81.863333                               	 195000E-4  	 	03050105	00010	1980-12-10	      1215	          	        	            	        	                	  	                     	B 	                                                            	
11NPSWRD	COWP_NURE_1    	NCRU555R / SOUTHEAST / CATAWBA-WATEREE; CONGAREE RIVERS                                                                                                                       	NATIONAL PARK SERVICE    	North Carolina                	Rutherford                    	 35.200611	-81.9485                                 	 700000E-5  	 	03050105	00010	1977-01-06	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A2-029        	(NO NAME) /  /                                                                                                                                                                	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.408333	-82.2025                                 	 600000E-5  	 	03050105	00010	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A3-065        	FOREST LAKE /  /                                                                                                                                                              	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.364167	-81.879167                               	 810000E-5  	 	03050105	00010	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370164A        	BURLINGTON INDUSTRIES AT FOREST CITY NC / SANTEE-COOPER RIV BASIN / OUTFALL 001 TO THE SECOND BROAD RIVER                                                                     	USEPA REGION 4           	North Carolina                	Rutherford                    	     35.34	-81.863333                               	 198100E-2  	 	03050105	00026	1980-12-09	      1245	1980-12-10	    1230	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
1114PEST	370164A        	BURLINGTON INDUSTRIES AT FOREST CITY NC / SANTEE-COOPER RIV BASIN / OUTFALL 001 TO THE SECOND BROAD RIVER                                                                     	USEPA REGION 4           	North Carolina                	Rutherford                    	     35.34	-81.863333                               	 198100E-2  	 	03050105	00026	1980-12-10	      1215	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370174A        	SPINDALE STP AT SPINDALE NC TO HOLLAND CREEK / SANTEE-COOPER RIV BASIN / DRYING BED                                                                                           	USEPA REGION 4           	North Carolina                	Rutherford                    	 35.363333	-81.925                                  	 198100E-2  	 	03050105	00026	1981-03-16	      1600	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A2-029        	(NO NAME) /  /                                                                                                                                                                	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.408333	-82.2025                                 	 120000E-5  	 	03050105	00078	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A3-065        	FOREST LAKE /  /                                                                                                                                                              	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.364167	-81.879167                               	 145000E-5  	 	03050105	00078	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A2-029        	(NO NAME) /  /                                                                                                                                                                	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.408333	-82.2025                                 	 500000E-4  	 	03050105	00080	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A3-065        	FOREST LAKE /  /                                                                                                                                                              	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.364167	-81.879167                               	 700000E-4  	 	03050105	00080	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370164A        	BURLINGTON INDUSTRIES AT FOREST CITY NC / SANTEE-COOPER RIV BASIN / OUTFALL 001 TO THE SECOND BROAD RIVER                                                                     	USEPA REGION 4           	North Carolina                	Rutherford                    	     35.34	-81.863333                               	 132000E-3  	 	03050105	00082	1980-12-09	      1245	1980-12-10	    1230	            	        	                	A 	                     	B 	Temporal Composite                                          	Water
11NPSWRD	COWP_NURE_1    	NCRU555R / SOUTHEAST / CATAWBA-WATEREE; CONGAREE RIVERS                                                                                                                       	NATIONAL PARK SERVICE    	North Carolina                	Rutherford                    	 35.200611	-81.9485                                 	 390000E-4  	 	03050105	00095	1977-01-06	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A2-029        	(NO NAME) /  /                                                                                                                                                                	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.408333	-82.2025                                 	 356000E-4  	 	03050105	00095	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A3-065        	FOREST LAKE /  /                                                                                                                                                              	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.364167	-81.879167                               	 389000E-4  	 	03050105	00095	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
12ELS1  	3A2-029        	(NO NAME) /  /                                                                                                                                                                	EPA ENVIRONMENTAL RES LAB	North Carolina                	Rutherford                    	 35.408333	-82.2025                                 	 138000E-5  	 	03050105	00154	1984-11-25	      2500	          	        	            	        	                	  	                     	B 	                                                            	
