
Rutherford, NC
Number of Stations = 55


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	5     	6     	1972-05-09	1981-03-16	  1.04E+03  	  6.46E+03  	  3.60E+03
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	4     	4     	1977-01-06	1984-11-25	  1.95E+01  	  8.10E+00  	  1.02E+01
00026	TOXICS   EPA IDEN FY      	TOXICS-IDENTIFY DATA COLLECTION BY EPA DIRECTIVE  	2     	3     	1980-12-09	1981-03-16	  1.98E+03  	  1.98E+03  	  1.98E+03
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	2     	2     	1984-11-25	1984-11-25	  1.20E+00  	  1.45E+00  	  1.33E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	2     	2     	1984-11-25	1984-11-25	  5.00E+01  	  7.00E+01  	  6.00E+01
00082	COLOR    WTR SMPL ADMI    	COLOR,SPECTROPHOTO,WATER SMPL AT7.6PH ADMI UNITS  	1     	1     	1980-12-09	1980-12-09	  1.32E+02  	  1.32E+02  	  1.32E+02
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	3     	3     	1977-01-06	1984-11-25	  3.56E+01  	  3.90E+01  	  3.78E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	2     	2     	1984-11-25	1984-11-25	  1.38E+00  	  1.74E+00  	  1.56E+00
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	1     	1     	1980-12-09	1980-12-09	  8.00E+00  	  8.00E+00  	  8.00E+00
00340	COD      HI LEVEL MG/L    	COD, .25N K2CR2O7                             MG/L	1     	1     	1980-12-09	1980-12-09	  2.30E+02  	  2.30E+02  	  2.30E+02
00400	PH        SU              	PH (STANDARD UNITS)                               	2     	2     	1977-01-06	1980-12-10	  5.70E+00  	  6.60E+00  	  6.15E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	2     	2     	1984-11-25	1984-11-25	  7.14E+00  	  7.45E+00  	  7.30E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	2     	2     	1984-11-25	1984-11-25	  2.61E+02  	  2.91E+02  	  2.76E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	1     	1     	1977-01-06	1977-01-06	  1.00E+00  	  1.00E+00  	  1.00E+00
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	1     	1     	1980-12-09	1980-12-09	  4.62E+02  	  4.62E+02  	  4.62E+02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	1     	1     	1980-12-09	1980-12-09	  4.20E+01  	  4.20E+01  	  4.20E+01
00545	RESIDUE  SETTLBLE ML/L    	RESIDUE, SETTLEABLE (ML/L)                        	1     	1     	1980-12-10	1980-12-10	  1.00E-01  	  1.00E-01  	  1.00E-01
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	1     	1     	1980-12-09	1980-12-09	  5.00E-02  	  5.00E-02  	  5.00E-02
00625	TOT KJEL N        MG/L    	NITROGEN, KJELDAHL, TOTAL, (MG/L AS N)            	3     	3     	1972-05-09	1972-05-10	  1.90E-01  	  4.00E-01  	  2.97E-01
00630	NO2&NO3  N-TOTAL  MG/L    	NITRITE PLUS NITRATE, TOTAL 1 DET. (MG/L AS N)    	3     	3     	1972-05-09	1972-05-10	  1.30E-01  	  3.10E-01  	  1.57E-01
