
Sampson, NC
Number of Stations = 46


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	4     	120   	1996-07-16	1998-11-30	  1.01E+01  	  9.40E+00  	  1.72E+01
00045	PRECIP   TOT DAY  IN      	PRECIPITATION, TOTAL (INCHES PER DAY)             	4     	24    	1998-03-09	1998-08-03	   .00E+00  	  3.80E+00  	  6.50E-01
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	4     	120   	1996-07-16	1998-11-30	  1.00E+02  	  9.90E+01  	  9.60E+01
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	4     	120   	1996-07-16	1998-11-30	   .00E+00  	  9.80E+00  	  6.15E+00
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	4     	120   	1996-07-16	1998-11-30	   .00E+00  	  9.41E+00  	  6.08E+01
00400	PH        SU              	PH (STANDARD UNITS)                               	4     	104   	1996-07-16	1998-11-30	  5.10E+00  	  7.50E+00  	  6.41E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	4     	120   	1996-07-16	1998-11-30	  5.70E+00  	  7.30E+00  	  6.51E+00
00480	SALINITY  PPTH            	SALINITY - PARTS PER THOUSAND                     	4     	120   	1996-07-16	1998-11-30	   .00E+00  	  1.00E-01  	  1.17E-02
00530	RESIDUE  TOT NFLT MG/L    	RESIDUE, TOTAL NONFILTRABLE (MG/L)                	4     	32    	1998-05-04	1998-11-30	  1.00E+01  	  9.00E+00  	  4.03E+00
00600	TOTAL N  N        MG/L    	NITROGEN, TOTAL (MG/L AS N)                       	4     	120   	1996-07-16	1998-11-30	  1.00E+00  	  9.80E-01  	  1.26E+00
00610	NH3+NH4- N TOTAL  MG/L    	NITROGEN, AMMONIA, TOTAL (MG/L AS N)              	4     	100   	1996-07-16	1998-11-30	  1.00E-01  	  9.00E-02  	  6.98E-02
00612	UN-IONZD NH3-N    MG/L    	AMMONIA, UNIONZED                      (MG/L AS N)	4     	100   	1996-07-16	1998-11-30	  1.40E-06  	  9.52E-06  	  1.13E-04
