
Scotland, NC
Number of Stations = 3


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
50042	DISCHARG RATE IN  GPM     	DISCHARGE RATE                      GALLONS/MINUTE	1     	1     	1969-08-01	1969-08-01	  6.08E+02  	  6.08E+02  	  6.08E+02
72001	TOT DPTH OF HOLE  FT      	DEPTH, TOTAL OF HOLE (FT BELOW LAND SURFACE DATUM)	1     	1     	1969-08-01	1969-08-01	  3.18E+02  	  3.18E+02  	  3.18E+02
72002	TOP DPTH WB ZONE  FT      	DEPTH TO TOP OF WATER-BEARING ZONE SAMPLED (FT)   	1     	1     	1969-08-01	1969-08-01	  4.50E+01  	  4.50E+01  	  4.50E+01
72003	BOT DPTH WB ZONE  FT      	DEPTH TO BOTTOM OF WATER-BEARING ZONE SAMPLED (FT)	1     	1     	1969-08-01	1969-08-01	  5.80E+01  	  5.80E+01  	  5.80E+01
72008	TOT DPTH OF WELL  FT      	DEPTH, TOTAL OF WELL (FT BELOW LAND SURFACE DATUM)	1     	1     	1969-08-01	1969-08-01	  3.18E+02  	  3.18E+02  	  3.18E+02
72019	DEPTH-FT BL LAND  SURFACE 	DEPTH TO WATER LEVEL (FEET BELOW LAND SURFACE)    	3     	11    	1969-08-01	1979-11-11	  1.01E+02  	  9.90E+01  	  8.95E+01
72038	PUMPING  LVL BELW M.P. FT 	PUMPING WATER LEVEL  FEET BELOW MEASURING POINT FT	1     	1     	1969-08-01	1969-08-01	  1.47E+02  	  1.47E+02  	  1.47E+02
72057	SCREEN   TOP 1ST  FR MP FT	DEPTH TO TOP OF FIRST SCREEN FROM M.P.  FEET      	1     	1     	1969-08-01	1969-08-01	  4.50E+01  	  4.50E+01  	  4.50E+01
72058	CASING   TOP 1ST  FR MP FT	DEPTH TO TOP OF 1ST CASING FROM M.P.  (FEET)      	1     	1     	1969-08-01	1969-08-01	   .00E+00  	   .00E+00  	   .00E+00
72059	SCREEN   BOT 1ST  FR MP FT	DEPTH TO BOTTOM OF 1ST SCREEN FROM M.P.  (FEET)   	1     	1     	1969-08-01	1969-08-01	  5.80E+01  	  5.80E+01  	  5.80E+01
72060	CASING   BOT 1ST  FR MP FT	DEPTH TO BOTTOM OF 1ST CASING FROM M.P.  (FEET)   	1     	1     	1969-08-01	1969-08-01	  2.00E+01  	  2.00E+01  	  2.00E+01
72061	CASING   TOP 2ND  FR MP FT	DEPTH TO TOP OF 2ND CASING FROM M.P.  (FEET)      	1     	1     	1969-08-01	1969-08-01	  7.70E+01  	  7.70E+01  	  7.70E+01
72062	CASING   BOT 2ND  FR MP FT	DEPTH TO BOTTOM OF 2ND CASING FROM M.P. (FEET)    	1     	1     	1969-08-01	1969-08-01	  8.70E+01  	  8.70E+01  	  8.70E+01
72063	CASING   TOP 3RD  FR MP FT	DEPTH TO TOP OF 3RD CASING FROM M.P.  (FEET)      	1     	1     	1969-08-01	1969-08-01	  9.80E+01  	  9.80E+01  	  9.80E+01
72064	CASING   BOT 3RD  FR MP FT	DEPTH TO BOTTOM OF 3RD CASING FROM M.P.  (FEET)   	1     	1     	1969-08-01	1969-08-01	  1.15E+02  	  1.15E+02  	  1.15E+02
72065	GROUT    TOP 1ST  FR MP FT	DEPTH TO TOP OF FIRST GROUT FROM M.P. (FEET)      	1     	1     	1969-08-01	1969-08-01	   .00E+00  	   .00E+00  	   .00E+00
72068	GROUT    BOT 1ST  FR MP FT	DEPTH TO BOTTOM OF 1ST GROUT FROM M.P.  (FEET)    	1     	1     	1969-08-01	1969-08-01	  2.00E+01  	  2.00E+01  	  2.00E+01
72071	SCREEN   BOT 2ND  FR MP FT	DEPTH TO BOTTOM OF 2ND SCREEN FROM M.P.  (FEET)   	1     	1     	1969-08-01	1969-08-01	  7.70E+01  	  7.70E+01  	  7.70E+01
72072	SCREEN   BOT 3RD  FR MP FT	DEPTH TO BOTTOM OF 3RD SCREEN FROM M.P.  (FEET)   	1     	1     	1969-08-01	1969-08-01	  9.80E+01  	  9.80E+01  	  9.80E+01
72073	SCREEN   TOP 2ND  FR MP FT	DEPTH TO TOP OF SECOND SCREEN FROM M.P.  FEET     	1     	1     	1969-08-01	1969-08-01	  6.80E+01  	  6.80E+01  	  6.80E+01
72074	SCREEN   TOP 3RD  FR MP FT	DEPTH TO TOP OF THIRD SCREEN FROM M.P.  FEET      	1     	1     	1969-08-01	1969-08-01	  8.70E+01  	  8.70E+01  	  8.70E+01
72075	TOP DPTH 2ND WB   ZONE(FT)	DEPTH TO TOP OF 2ND WATER-BEARING ZONE SAMPLED(FT)	1     	1     	1969-08-01	1969-08-01	  6.80E+01  	  6.80E+01  	  6.80E+01
72076	BOT DPTH 2ND WB   ZONE(FT)	DEPTH TO BOTTOM OF 2ND WATER-BEARING ZONE SAMP(FT)	1     	1     	1969-08-01	1969-08-01	  7.70E+01  	  7.70E+01  	  7.70E+01
