Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
1114PEST	370028A        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / SANTEE-COOPER RIV BASIN / COOLING WATER COLLECTED@DISCHARGE CRK                                                                  	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333                               	 300000E-3  	 	03040105	00008	1979-02-08	      1210	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370028B        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / SANTEE-COOPER RIV BASIN / COOLING WAT@CULVERT BEF DISCH TO RESRVR                                                                	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333                               	 299000E-3  	 	03040105	00008	1979-02-08	      1200	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370028C        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / SANTEE-COOPER RIV BASIN / @ SPILLWAY 50YD UPSTRM FR NPDES OUTFL003                                                               	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333                               	 302000E-3  	 	03040105	00008	1979-02-07	      1740	          	        	            	        	                	  	                     	B 	                                                            	
1114PEST	370028D        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / YADKIN-PEE DEE R BASIN / @ SPILLWAY 10YD UPSTRM FR NPDES OUTFL003                                                                	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333                               	 301000E-3  	 	03040105	00008	1979-02-07	      1745	          	        	            	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 629200E-2  	 	03040103	00008	1973-03-23	      1350	          	        	         166	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 629600E-2  	 	03040103	00008	1973-03-23	      1350	          	        	          80	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 629800E-2  	 	03040103	00008	1973-03-23	      1350	          	        	          45	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 628600E-2  	 	03040103	00008	1973-03-23	      1350	          	        	          22	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 628800E-2  	 	03040103	00008	1973-03-23	      1350	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 628900E-2  	 	03040103	00008	1973-03-23	      1350	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 628700E-2  	 	03040103	00008	1973-03-23	      1350	          	        	          14	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 628500E-2  	 	03040103	00008	1973-03-23	      1350	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 629700E-2  	 	03040103	00008	1973-03-23	      1350	          	        	          65	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 629500E-2  	 	03040103	00008	1973-03-23	      1350	          	        	         100	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 629300E-2  	 	03040103	00008	1973-03-23	      1350	          	        	         145	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 629400E-2  	 	03040103	00008	1973-03-23	      1350	          	        	         125	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108630E-1  	 	03040103	00008	1973-07-11	      0945	          	        	         156	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108580E-1  	 	03040103	00008	1973-07-11	      0945	          	        	          30	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108560E-1  	 	03040103	00008	1973-07-11	      0945	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108550E-1  	 	03040103	00008	1973-07-11	      0945	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108570E-1  	 	03040103	00008	1973-07-11	      0945	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108590E-1  	 	03040103	00008	1973-07-11	      0945	          	        	          50	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108620E-1  	 	03040103	00008	1973-07-11	      0945	          	        	         125	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108600E-1  	 	03040103	00008	1973-07-11	      0945	          	        	          75	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 108610E-1  	 	03040103	00008	1973-07-11	      0945	          	        	         100	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142340E-1  	 	03040103	00008	1973-09-19	      1405	          	        	           5	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142350E-1  	 	03040103	00008	1973-09-19	      1405	          	        	          15	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142360E-1  	 	03040103	00008	1973-09-19	      1405	          	        	          40	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142370E-1  	 	03040103	00008	1973-09-19	      1405	          	        	          70	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142380E-1  	 	03040103	00008	1973-09-19	      1405	          	        	          80	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142390E-1  	 	03040103	00008	1973-09-19	      1405	          	        	         105	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142400E-1  	 	03040103	00008	1973-09-19	      1405	          	        	         130	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142410E-1  	 	03040103	00008	1973-09-19	      1405	          	        	         155	        	                	  	                     	B 	                                                            	
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056                               	 142330E-1  	 	03040103	00008	1973-09-19	      1405	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167                               	 645900E-2  	 	03040103	00008	1973-03-24	      0940	          	        	          51	        	                	  	                     	B 	                                                            	
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167                               	 646000E-2  	 	03040103	00008	1973-03-24	      0940	          	        	          35	        	                	  	                     	B 	                                                            	
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167                               	 646200E-2  	 	03040103	00008	1973-03-24	      0940	          	        	          18	        	                	  	                     	B 	                                                            	
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167                               	 646500E-2  	 	03040103	00008	1973-03-24	      0940	          	        	           0	        	                	  	                     	B 	                                                            	
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167                               	 646400E-2  	 	03040103	00008	1973-03-24	      0940	          	        	           6	        	                	  	                     	B 	                                                            	
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167                               	 646300E-2  	 	03040103	00008	1973-03-24	      0940	          	        	          12	        	                	  	                     	B 	                                                            	
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167                               	 646100E-2  	 	03040103	00008	1973-03-24	      0940	          	        	          25	        	                	  	                     	B 	                                                            	
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167                               	 108680E-1  	 	03040103	00008	1973-07-11	      1100	          	        	          45	        	                	  	                     	B 	                                                            	
