Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude  	HUC     	Rchmile Segment	Miles Up Reach	Rchonoff	Rchname                                                     	Station Alias                           	Station Type                                                     	Station Depth	Depth Units         	S	G	Description
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------	--------	---------------	--------------	--------	------------------------------------------------------------	----------------------------------------	-----------------------------------------------------------------	-------------	--------------------	-	-	--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1114PEST	370028A        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / SANTEE-COOPER RIV BASIN / COOLING WATER COLLECTED@DISCHARGE CRK                                                                  	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333 	03040105	            011	          1.55	OFF     	ROCKY R                                                     	NC0004308 A,AL-001   ALU                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370028B        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / SANTEE-COOPER RIV BASIN / COOLING WAT@CULVERT BEF DISCH TO RESRVR                                                                	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333 	03040105	            011	          1.55	OFF     	ROCKY R                                                     	NC0004308 B,AL-002   ALU                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370028C        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / SANTEE-COOPER RIV BASIN / @ SPILLWAY 50YD UPSTRM FR NPDES OUTFL003                                                               	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333 	03040105	            011	          1.55	OFF     	ROCKY R                                                     	NC0004308 C,AL-UP1   ALU                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370028D        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / YADKIN-PEE DEE R BASIN / @ SPILLWAY 10YD UPSTRM FR NPDES OUTFL003                                                                	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333 	03040105	            011	          1.55	OFF     	ROCKY R                                                     	NC0004308 D,AL-UP2   ALU                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370028E        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / YADKIN-PEE DEE R BASIN / NPDES OUTFALL 005                                                                                       	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333 	03040105	            011	          1.55	OFF     	ROCKY R                                                     	NC0004308 E,AL005    ALU                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370028F        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / YADKIN-PEE DEE R BASIN / NPDES OUTFALL 003                                                                                       	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333 	03040105	            011	          1.55	OFF     	ROCKY R                                                     	NC0004308 F,AL003    ALU                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
1114PEST	370028G        	ALUMINUM CO OF AMERICA (ALCOA) AT BADIN NC / YADKIN-PEE DEE R BASIN / NPDES OUTFALL 004                                                                                       	USEPA REGION 4           	North Carolina                	Stanly                        	      35.2	-80.283333 	03040105	            011	          1.55	OFF     	ROCKY R                                                     	NC0004308 G,AL004    ALU                	/TYPA/IND/TREATD/OUTFL/NONAMB/PIPE                               	            0	FEET                	 	 	none
11EPALES	370101         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.422222	-80.093056 	03040103	            011	           .35	OFF     	BADIN LAKE                                                  	none                                    	/TYPA/AMBNT/LAKE                                                 	          170	FEET                	S	 	200 YDS 340 DEGREES NORTH OF CENTER OF DAM. COMMENTS: 3-23, ULE 21, NO VEGETATION NOTED; LARGELY WOODED SHORELINE; UNDER HIGHLY MUDDY CONDITIONS FROM HEAVY RAINS. 7-11 ULE 15. USGS MAP: ALBEMARLE QUAD
11EPALES	370102         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.415833	-80.109167 	03040103	            012	           9.4	OFF     	BADIN LAKE                                                  	none                                    	/TYPA/AMBNT/LAKE                                                 	           55	FEET                	S	 	080 DEGREES AND 3/4 MILE FROM LARGE SMOKESTACK IN TOWN OF BADIN, OPPOSITE MOUTH OF COVE TO THE EAST IN MIDDLE FROM EAST TO WEST. COMMENTS: 3-24, ULE 20, NO EMERGENT, FLOATING VEGETATION, OR ALGAE SCUME, HIGHLY SILTED FROM RECENT STORMS. 7-11 ULE 17; 20% EMERGENTS ALONG SHORELINE. USGS MAP: ALBEMARLE QUAD
11EPALES	370103         	BADIN LAKE /  /                                                                                                                                                               	USEPA                    	North Carolina                	Stanly                        	 35.440833	-80.100278 	03040103	            011	          1.94	OFF     	BADIN LAKE                                                  	none                                    	/TYPA/AMBNT/LAKE                                                 	          119	FEET                	S	 	MID-LAKE (IN NORTHWEST-SOUTHWEST DIRECTION) BETWEEN LONG PENINSULA TO THE NORTH AND LARGE ISLAND TO THE SOUTH (ABOUT 250 YDS AWAY). COMMENTS: 3-24, ULE 20, NO AQUATIC VEGETATION NOTED, FORESTED SHORELINE, NO ALGAE CONCENTRATION. 7-11 ULE 16, 2 THERMOCLINES 8 TO 11 FT, 74 TO 97 FT; TURBIDITY PROFILES INDICATE ROUGH CORRELATION OF TURBID WATER WITH THERMOCLINES; CONDUCTIVITY INCREASE CORRESPONDS TO DEEPER OF TURBID PEAKS; EMERGENTS GREATER THAN 50% IN CLOSED COVES, 10% IN OPEN LAKE. USGS MAP: USGS ALBEMARLE QUAD
