Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
--------	---------------	------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------------------	------------------------------	------------------------------	----------	-----------------------------------------	------------	-	--------	-----	----------	----------	----------	--------	------------	--------	----------------	--	---------------------	--	------------------------------------------------------------	------------------------------------------------------------
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 227000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	        3114	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 272000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	        3113	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 450000E-4  	 	03010103	00019	1974-05-15	      0050	          	        	        3111	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 910000E-4  	 	03010103	00019	1974-05-15	      0050	          	        	         319	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 118000E-2  	 	03010103	00019	1974-05-15	      0050	          	        	         317	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 908000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	         315	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 772000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	         313	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 104400E-2  	 	03010103	00019	1974-05-15	      0050	          	        	         311	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 168000E-2  	 	03010103	00019	1974-05-15	      0050	          	        	         124	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 908000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	         121	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 190700E-2  	 	03010103	00019	1974-05-15	      0050	          	        	         122	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 181600E-2  	 	03010103	00019	1974-05-15	      0050	          	        	         123	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 589000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	         125	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 499000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	         312	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 199800E-2  	 	03010103	00019	1974-05-15	      0050	          	        	         314	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 409000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	         316	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 409000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	         318	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 450000E-4  	 	03010103	00019	1974-05-15	      0050	          	        	        3110	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 590000E-3  	 	03010103	00019	1974-05-15	      0050	          	        	        3112	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 269000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	        3114	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 462000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         123	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 462000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         124	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 462000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         125	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 409000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         311	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 307000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         312	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 363000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         313	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 488000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         314	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 411000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         315	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 310000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         316	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 394000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         121	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 505000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         122	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 284000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	        3113	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 188000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	        3111	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 206000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         319	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 432000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         317	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 338000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	         318	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 188000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	        3110	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 371000E-3  	 	03010103	00039	1974-05-15	      0050	          	        	        3112	        	                	  	                     	B 	                                                            	
21NC37GW	SO2136         	KING / SOUTHEAST / ROANOKE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Stokes                        	 36.328333	-80.295                                  	 600000E-4  	 	03010103	50042	1980-08-23	      2500	          	        	         285	        	                	  	                     	B 	                                                            	
21NC37GW	SO2138         	SANDY RIDGE / SOUTHEAST / ROANOKE                                                                                                                                             	NC DE&NR                 	North Carolina                	Stokes                        	     36.45	-80.083333                               	 600000E-5  	 	03010103	50042	1981-11-30	      2500	          	        	         200	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 178000E-5  	 	03010103	71930	1974-05-15	      0050	          	        	        3114	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 163000E-5  	 	03010103	71930	1974-05-15	      0050	          	        	        3113	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 142000E-5  	 	03010103	71930	1974-05-15	      0050	          	        	        3111	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 160000E-5  	 	03010103	71930	1974-05-15	      0050	          	        	         319	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 330000E-5  	 	03010103	71930	1974-05-15	      0050	          	        	         317	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 352000E-5  	 	03010103	71930	1974-05-15	      0050	          	        	         315	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 175000E-5  	 	03010103	71930	1974-05-15	      0050	          	        	         313	        	                	  	                     	B 	                                                            	
31CLEM  	SCHG5          	BELEWS LAKE EAST OF WALNUT COVE / SOUTHEAST / ROANOKE RIVER                                                                                                                   	CLEMSON UNIV (SC)        	North Carolina                	Stokes                        	 36.293333	-80.038333                               	 450000E-6  	 	03010103	71930	1974-05-15	      0050	          	        	         121	        	                	  	                     	B 	                                                            	
